Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,GEO Accession
SRR4343385,16414190,656567600,40,424,SRX2210372,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727532,SAMN05861599,simple,4932,Saccharomyces cerevisiae,GSM2335470,GEO,SRA481915,05,2017,Zinshteyn,YWG1245 (YAJ3),YPA_WT_pre_shift_footprints,YWG1245 (YAJ3),YWG1245 (YAJ3),GSM2335470
SRR4343386,16471538,658861520,40,428,SRX2210373,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727533,SAMN05861598,simple,4932,Saccharomyces cerevisiae,GSM2335471,GEO,SRA481915,05,2017,Zinshteyn,YWG1245 (YAJ3),YPA_WT_0h_footprints,YWG1245 (YAJ3),YWG1245 (YAJ3),GSM2335471
SRR4343387,13853189,554127560,40,352,SRX2210374,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727534,SAMN05861597,simple,4932,Saccharomyces cerevisiae,GSM2335472,GEO,SRA481915,05,2017,Zinshteyn,YWG1245 (YAJ3),YPA_WT_2h_footprints,YWG1245 (YAJ3),YWG1245 (YAJ3),GSM2335472
SRR4343388,15830212,633208480,40,405,SRX2210375,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727535,SAMN05861596,simple,4932,Saccharomyces cerevisiae,GSM2335473,GEO,SRA481915,05,2017,Zinshteyn,YWG1246 (YAJ41),YPA_4Gts_pre_shift_footprints,YWG1246 (YAJ41),YWG1246 (YAJ41),GSM2335473
SRR4343389,14209461,568378440,40,367,SRX2210376,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727536,SAMN05861595,simple,4932,Saccharomyces cerevisiae,GSM2335474,GEO,SRA481915,05,2017,Zinshteyn,YWG1246 (YAJ41),YPA_4Gts_0h_footprints,YWG1246 (YAJ41),YWG1246 (YAJ41),GSM2335474
SRR4343390,14639412,585576480,40,375,SRX2210377,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727537,SAMN05861594,simple,4932,Saccharomyces cerevisiae,GSM2335475,GEO,SRA481915,05,2017,Zinshteyn,YWG1246 (YAJ41),YPA_4Gts_2h_footprints,YWG1246 (YAJ41),YWG1246 (YAJ41),GSM2335475
SRR4343391,14821911,592876440,40,389,SRX2210378,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727538,SAMN05861593,simple,4932,Saccharomyces cerevisiae,GSM2335476,GEO,SRA481915,05,2017,Zinshteyn,YWG1245 (YAJ3),YPA_WT_pre_shift_mRNA,YWG1245 (YAJ3),YWG1245 (YAJ3),GSM2335476
SRR4343392,13889980,555599200,40,364,SRX2210379,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727539,SAMN05861592,simple,4932,Saccharomyces cerevisiae,GSM2335477,GEO,SRA481915,05,2017,Zinshteyn,YWG1245 (YAJ3),YPA_WT_0h_mRNA,YWG1245 (YAJ3),YWG1245 (YAJ3),GSM2335477
SRR4343393,16224358,648974320,40,424,SRX2210380,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727540,SAMN05861591,simple,4932,Saccharomyces cerevisiae,GSM2335478,GEO,SRA481915,05,2017,Zinshteyn,YWG1245 (YAJ3),YPA_WT_2h_mRNA,YWG1245 (YAJ3),YWG1245 (YAJ3),GSM2335478
SRR4343394,13619777,544791080,40,359,SRX2210381,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727541,SAMN05861590,simple,4932,Saccharomyces cerevisiae,GSM2335479,GEO,SRA481915,05,2017,Zinshteyn,YWG1246 (YAJ41),YPA_4Gts_pre_shift_mRNA,YWG1246 (YAJ41),YWG1246 (YAJ41),GSM2335479
SRR4343395,16810225,672409000,40,440,SRX2210382,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727542,SAMN05861589,simple,4932,Saccharomyces cerevisiae,GSM2335480,GEO,SRA481915,05,2017,Zinshteyn,YWG1246 (YAJ41),YPA_4Gts_0h_mRNA,YWG1246 (YAJ41),YWG1246 (YAJ41),GSM2335480
SRR4343396,17062357,682494280,40,448,SRX2210383,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090827,PRJNA345383,28546148,"",SRS1727543,SAMN05861625,simple,4932,Saccharomyces cerevisiae,GSM2335481,GEO,SRA481915,05,2017,Zinshteyn,YWG1246 (YAJ41),YPA_4Gts_2h_mRNA,YWG1246 (YAJ41),YWG1246 (YAJ41),GSM2335481
