Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,rna fragment size selection,co-ip,protocol,GEO Accession
SRR10315302,114118245,11411824500,100,4291,SRX7026362,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546826,SAMN13065542,simple,4932,Saccharomyces cerevisiae,GSM4131392,GEO,SRA982494,06,2020,Wagner,cell culture,yeast unselected 40S 1-1,cell culture,SY182 (eIF3a/TIF32-FLAG),approximately 18 to 85,no,RNA 40S footprint,GSM4131392
SRR10315303,124346987,12434698700,100,4764,SRX7026363,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546827,SAMN13065541,simple,4932,Saccharomyces cerevisiae,GSM4131393,GEO,SRA982494,06,2020,Wagner,cell culture,yeast unselected 40S 1-2,cell culture,H25 (eIF3c/NIP1-FLAG),approximately 18 to 85,no,RNA 40S footprint,GSM4131393
SRR10315304,140328919,14032891900,100,5296,SRX7026364,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546828,SAMN13065540,simple,4932,Saccharomyces cerevisiae,GSM4131394,GEO,SRA982494,06,2020,Wagner,cell culture,yeast unselected 40S 1-3,cell culture,SY194 (eIF2beta/SUI3-FLAG),approximately 18 to 85,no,RNA 40S footprint,GSM4131394
SRR10315305,99998928,9999892800,100,3778,SRX7026365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546829,SAMN13065539,simple,4932,Saccharomyces cerevisiae,GSM4131395,GEO,SRA982494,06,2020,Wagner,cell culture,yeast eIF3a bound 40S 1-1,cell culture,SY182 (eIF3a/TIF32-FLAG),approximately 18 to 85,"yes (anti-FLAG, Sigma A2220)",RNA 40S footprint,GSM4131395
SRR10315306,94091470,9409147000,100,3641,SRX7026366,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546830,SAMN13065538,simple,4932,Saccharomyces cerevisiae,GSM4131396,GEO,SRA982494,06,2020,Wagner,cell culture,yeast eIF3c bound 40S 1-2,cell culture,H25 (eIF3c/NIP1-FLAG),approximately 18 to 85,"yes (anti-FLAG, Sigma A2220)",RNA 40S footprint,GSM4131396
SRR10315307,111944323,11194432300,100,4226,SRX7026367,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546831,SAMN13065537,simple,4932,Saccharomyces cerevisiae,GSM4131397,GEO,SRA982494,06,2020,Wagner,cell culture,yeast eIF2beta bound 40S 1-3,cell culture,SY194 (eIF2beta/SUI3-FLAG),approximately 18 to 85,"yes (anti-FLAG, Sigma A2220)",RNA 40S footprint,GSM4131397
SRR10315308,127214658,12721465800,100,4742,SRX7026368,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546832,SAMN13065536,simple,4932,Saccharomyces cerevisiae,GSM4131398,GEO,SRA982494,06,2020,Wagner,cell culture,yeast unselected 80S 1-1,cell culture,SY182 (eIF3a/TIF32-FLAG),approximately 18 to 85,no,RNA 80S footprint,GSM4131398
SRR10315309,124213175,12421317500,100,4758,SRX7026369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546833,SAMN13065535,simple,4932,Saccharomyces cerevisiae,GSM4131399,GEO,SRA982494,06,2020,Wagner,cell culture,yeast unselected 80S 1-2,cell culture,H25 (eIF3c/NIP1-FLAG),approximately 18 to 85,no,RNA 80S footprint,GSM4131399
SRR10315310,108235613,10823561300,100,4034,SRX7026370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546834,SAMN13065534,simple,4932,Saccharomyces cerevisiae,GSM4131400,GEO,SRA982494,06,2020,Wagner,cell culture,yeast unselected 80S 1-3,cell culture,SY194 (eIF2beta/SUI3-FLAG),approximately 18 to 85,no,RNA 80S footprint,GSM4131400
SRR10315311,39392771,1969638550,50,1452,SRX7026371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226388,PRJNA578566,32589964,"",SRS5546835,SAMN13065533,simple,4932,Saccharomyces cerevisiae,GSM4131401,GEO,SRA982494,06,2020,Wagner,cell culture,yeast unselected 80S 2-1,cell culture,SY182 (eIF3a/TIF32-FLAG),approximately 18 to 85,no,RNA 80S footprint,GSM4131401
