Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name
ERR5211750,33347666,2530206418,75,870,ERX5015785,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639261,SAMEA7892025,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892025,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, 1h before sunrise, replicate 1",2021-03-09,2021-01-29,SAMEA7892025,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.A1,Synechocystis,Cult1_RNAseq.A1
ERR5211751,29803336,2261507006,75,779,ERX5015786,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639262,SAMEA7892026,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892026,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, 1h before sunrise, replicate 2",2021-03-09,2021-01-29,SAMEA7892026,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.A2,Synechocystis,Cult1_RNAseq.A2
ERR5211752,29513698,2239104403,75,716,ERX5015787,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639263,SAMEA7892027,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892027,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, 1h after sunrise, replicate 1",2021-03-09,2021-01-29,SAMEA7892027,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.B1,Synechocystis,Cult1_RNAseq.B1
ERR5211753,26966757,2046302414,75,712,ERX5015788,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639264,SAMEA7892028,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892028,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, 1h after sunrise, replicate 2",2021-03-09,2021-01-29,SAMEA7892028,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.B2,Synechocystis,Cult1_RNAseq.B2
ERR5211754,28185785,2138208556,75,742,ERX5015789,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639265,SAMEA7892029,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892029,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, midday, replicate 1",2021-03-09,2021-01-29,SAMEA7892029,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.C1,Synechocystis,Cult1_RNAseq.C1
ERR5211755,30135916,2287044392,75,787,ERX5015790,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639266,SAMEA7892030,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892030,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, midday, replicate 2",2021-03-09,2021-01-29,SAMEA7892030,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.C2,Synechocystis,Cult1_RNAseq.C2
ERR5211756,29915007,2266323088,75,777,ERX5015791,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639267,SAMEA7892031,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892031,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, 1h before sunset, replicate 1",2021-03-09,2021-01-29,SAMEA7892031,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.D1,Synechocystis,Cult1_RNAseq.D1
ERR5211757,21475958,1629827649,75,564,ERX5015792,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639268,SAMEA7892032,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892032,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, 1h before sunset, replicate 2",2021-03-09,2021-01-29,SAMEA7892032,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.D2,Synechocystis,Cult1_RNAseq.D2
ERR5211758,25521877,1935786293,75,623,ERX5015793,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639269,SAMEA7892033,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892033,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, 1h after sunset, replicate 1",2021-03-09,2021-01-29,SAMEA7892033,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.E1,Synechocystis,Cult1_RNAseq.E1
ERR5211759,28242523,2141768187,75,735,ERX5015794,unspecified,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP126684,PRJEB42778,1,"",ERS5639270,SAMEA7892034,simple,1148,Synechocystis sp. PCC 6803,SAMEA7892034,"KTH, SCIENCE FOR LIFE LABORATORY",ERA3347711,03,2021,Makar,"","RNA seq, 1h after sunset, replicate 2",2021-03-09,2021-01-29,SAMEA7892034,"KTH, SCIENCE FOR LIFE LABORATORY","KTH, SCIENCE FOR LIFE LABORATORY",2021-03-09T14:37:03Z,2021-01-29T15:13:20Z,public,Cult1_RNAseq.E2,Synechocystis,Cult1_RNAseq.E2
