Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,reporter cell line,lentiviral library received,tissue
SRR9165268,17396805,1304760375,75,430,SRX5938043,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851004,SAMN11897705,simple,9606,Homo sapiens,GSM3834408,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_EGFP_Lib A_Unsorted_Replicate 1 (HM9),HCT116 colon cancer cell line,control EGFP reporter,GeCKO v2_Library A,HCT116 colon cancer cell line
SRR9165269,19520478,1464035850,75,486,SRX5938044,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851005,SAMN11897704,simple,9606,Homo sapiens,GSM3834409,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_EGFP_Lib B_Unsorted_Replicate 1 (HM10),HCT116 colon cancer cell line,control EGFP reporter,GeCKO v2_Library B,HCT116 colon cancer cell line
SRR9165270,20205179,1515388425,75,506,SRX5938045,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851006,SAMN11897703,simple,9606,Homo sapiens,GSM3834410,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_EGFP_Lib A_Bright_Replicate 1 (HM1),HCT116 colon cancer cell line,control EGFP reporter,GeCKO v2_Library A,HCT116 colon cancer cell line
SRR9165271,20742178,1555663350,75,512,SRX5938046,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851007,SAMN11897702,simple,9606,Homo sapiens,GSM3834411,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_EGFP_Lib B_Bright_Replicate 1 (HM3),HCT116 colon cancer cell line,control EGFP reporter,GeCKO v2_Library B,HCT116 colon cancer cell line
SRR9165272,22702675,1702700625,75,560,SRX5938047,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851008,SAMN11897701,simple,9606,Homo sapiens,GSM3834412,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_5p-UTR_Lib A_Unsorted_Replicate 1 (HM31),HCT116 colon cancer cell line,MYC 5' UTR reporter,GeCKO v2_Library A,HCT116 colon cancer cell line
SRR9165273,24180422,1813531650,75,595,SRX5938048,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851009,SAMN11897700,simple,9606,Homo sapiens,GSM3834413,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_5p-UTR_Lib B_Unsorted_Replicate 1 (HM32),HCT116 colon cancer cell line,MYC 5' UTR reporter,GeCKO v2_Library B,HCT116 colon cancer cell line
SRR9165274,16594110,1244558250,75,405,SRX5938049,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851010,SAMN11897699,simple,9606,Homo sapiens,GSM3834414,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_5p-UTR_Lib A_Bright_Replicate 1 (HM23),HCT116 colon cancer cell line,MYC 5' UTR reporter,GeCKO v2_Library A,HCT116 colon cancer cell line
SRR9165275,18485596,1386419700,75,443,SRX5938050,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851011,SAMN11897698,simple,9606,Homo sapiens,GSM3834415,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_5p-UTR_Lib B_Bright_Replicate 1 (HM25),HCT116 colon cancer cell line,MYC 5' UTR reporter,GeCKO v2_Library B,HCT116 colon cancer cell line
SRR9165276,24303890,1822791750,75,600,SRX5938051,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851012,SAMN11897696,simple,9606,Homo sapiens,GSM3834416,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_EGFP_Lib A_Unsorted_Replicate 2 (HM11),HCT116 colon cancer cell line,control EGFP reporter,GeCKO v2_Library A,HCT116 colon cancer cell line
SRR9165277,13162159,987161925,75,321,SRX5938052,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199982,PRJNA545621,31801078,"",SRS4851013,SAMN11897695,simple,9606,Homo sapiens,GSM3834417,GEO,SRA892551,12,2019,Manjunath,HCT116 colon cancer cell line,HCT116_EGFP_Lib B_Unsorted_Replicate 2 (HM12),HCT116 colon cancer cell line,control EGFP reporter,GeCKO v2_Library B,HCT116 colon cancer cell line
