Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,vector,treatment,cell line
SRR18017759,39737979,1410249673,35,553,SRX14171956,GSM5899098,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995919,SAMN25941504,simple,9606,Homo sapiens,GSM5899098,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EV-1,epithelial,EV,untreated,H1299
SRR18017758,43370799,1556535976,35,616,SRX14171957,GSM5899099,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995920,SAMN25941503,simple,9606,Homo sapiens,GSM5899099,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EV-3,epithelial,EV,untreated,H1299
SRR18017757,21009133,749651635,35,294,SRX14171958,GSM5899100,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995921,SAMN25941502,simple,9606,Homo sapiens,GSM5899100,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EV-4,epithelial,EV,untreated,H1299
SRR18017756,32164341,1160103328,36,451,SRX14171959,GSM5899101,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995922,SAMN25941501,simple,9606,Homo sapiens,GSM5899101,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EV-5,epithelial,EV,untreated,H1299
SRR18017755,40365518,1449589721,35,566,SRX14171960,GSM5899102,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995923,SAMN25941500,simple,9606,Homo sapiens,GSM5899102,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EVG418-1,epithelial,EV,G418,H1299
SRR18017754,30353059,1080159839,35,424,SRX14171961,GSM5899103,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995924,SAMN25941499,simple,9606,Homo sapiens,GSM5899103,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EVG418-2,epithelial,EV,G418,H1299
SRR18017753,27312241,979282851,35,387,SRX14171962,GSM5899104,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995925,SAMN25941498,simple,9606,Homo sapiens,GSM5899104,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EVG418-4,epithelial,EV,G418,H1299
SRR18017752,25445851,905530774,35,349,SRX14171963,GSM5899105,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995926,SAMN25941497,simple,9606,Homo sapiens,GSM5899105,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EVG418-5,epithelial,EV,G418,H1299
SRR18017751,26731371,955428287,35,368,SRX14171964,GSM5899106,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995927,SAMN25941496,simple,9606,Homo sapiens,GSM5899106,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EV5FUR-1,epithelial,EV,FUr,H1299
SRR18017750,30839652,1109049666,35,434,SRX14171965,GSM5899107,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995928,SAMN25941495,simple,9606,Homo sapiens,GSM5899107,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EV5FUR-2,epithelial,EV,FUr,H1299
