Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,genotype,rna source,sample name,Experimental Factor: compound,Experimental Factor: chx pre-treatment,Experimental Factor: genotype
ERR2003518,37068610,2804773487,75,1177,ERX2063387,gcn2.AT.mrna.3_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782701,SAMEA104118808,simple,4896,Schizosaccharomyces pombe,SAMEA104118808,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",gcn2.AT.mrna.3,2018-02-01,2017-06-09,SAMEA104118808,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:gcn2.AT.mrna.3,ArrayExpress,fission yeast,gcn2delta,rRNA-depleted total RNA,E-MTAB-5810:gcn2.AT.mrna.3,"3-Amino-1,2,4-triazole (3-AT)",CHX,gcn2delta
ERR2003519,32243483,2439588430,75,879,ERX2063388,gcn2.AT.mrna.4_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782702,SAMEA104118809,simple,4896,Schizosaccharomyces pombe,SAMEA104118809,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",gcn2.AT.mrna.4,2018-02-01,2017-06-09,SAMEA104118809,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:gcn2.AT.mrna.4,ArrayExpress,fission yeast,gcn2delta,rRNA-depleted total RNA,E-MTAB-5810:gcn2.AT.mrna.4,"3-Amino-1,2,4-triazole (3-AT)",CHX,gcn2delta
ERR2003520,31434722,1571736100,50,599,ERX2063389,gcn2.AT.ribo.3_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782703,SAMEA104118810,simple,4896,Schizosaccharomyces pombe,SAMEA104118810,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",gcn2.AT.ribo.3,2018-02-01,2017-06-09,SAMEA104118810,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:gcn2.AT.ribo.3,ArrayExpress,fission yeast,gcn2delta,Ribosome protected fragments (RPF),E-MTAB-5810:gcn2.AT.ribo.3,"3-Amino-1,2,4-triazole (3-AT)",CHX,gcn2delta
ERR2003521,56596125,2829806250,50,1350,ERX2063390,gcn2.AT.ribo.4_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782704,SAMEA104118811,simple,4896,Schizosaccharomyces pombe,SAMEA104118811,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",gcn2.AT.ribo.4,2018-02-01,2017-06-09,SAMEA104118811,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:gcn2.AT.ribo.4,ArrayExpress,fission yeast,wild type genotype,Ribosome protected fragments (RPF),E-MTAB-5810:gcn2.AT.ribo.4,"3-Amino-1,2,4-triazole (3-AT)",CHX,wild type genotype
ERR2003522,16204245,1226035737,75,515,ERX2063391,gcn2.noAT.mrna.3_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782705,SAMEA104118812,simple,4896,Schizosaccharomyces pombe,SAMEA104118812,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",gcn2.noAT.mrna.3,2018-02-01,2017-06-09,SAMEA104118812,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:gcn2.noAT.mrna.3,ArrayExpress,fission yeast,gcn2delta,rRNA-depleted total RNA,E-MTAB-5810:gcn2.noAT.mrna.3,Mock,CHX,gcn2delta
ERR2003523,33797257,2557225027,75,923,ERX2063392,gcn2.noAT.mrna.4_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782706,SAMEA104118813,simple,4896,Schizosaccharomyces pombe,SAMEA104118813,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",gcn2.noAT.mrna.4,2018-02-01,2017-06-09,SAMEA104118813,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:gcn2.noAT.mrna.4,ArrayExpress,fission yeast,gcn2delta,rRNA-depleted total RNA,E-MTAB-5810:gcn2.noAT.mrna.4,Mock,CHX,gcn2delta
ERR2003524,31214960,1560748000,50,591,ERX2063393,gcn2.noAT.ribo.3_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782707,SAMEA104118814,simple,4896,Schizosaccharomyces pombe,SAMEA104118814,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",gcn2.noAT.ribo.3,2018-02-01,2017-06-09,SAMEA104118814,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:gcn2.noAT.ribo.3,ArrayExpress,fission yeast,gcn2delta,Ribosome protected fragments (RPF),E-MTAB-5810:gcn2.noAT.ribo.3,Mock,CHX,gcn2delta
ERR2003525,106865118,5343255900,50,2566,ERX2063394,gcn2.noAT.ribo.4_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782708,SAMEA104118815,simple,4896,Schizosaccharomyces pombe,SAMEA104118815,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",gcn2.noAT.ribo.4,2018-02-01,2017-06-09,SAMEA104118815,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:gcn2.noAT.ribo.4,ArrayExpress,fission yeast,wild type genotype,Ribosome protected fragments (RPF),E-MTAB-5810:gcn2.noAT.ribo.4,Mock,CHX,wild type genotype
ERR2003526,52513972,2625698600,50,947,ERX2063395,wt.AT.CHX.mrna.11_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782709,SAMEA104118816,simple,4896,Schizosaccharomyces pombe,SAMEA104118816,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",wt.AT.CHX.mrna.11,2018-02-01,2017-06-09,SAMEA104118816,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:wt.AT.CHX.mrna.11,ArrayExpress,fission yeast,wild type genotype,rRNA-depleted total RNA,E-MTAB-5810:wt.AT.CHX.mrna.11,"3-Amino-1,2,4-triazole (3-AT)",CHX,wild type genotype
ERR2003527,35611500,1780575000,50,716,ERX2063396,wt.AT.CHX.mrna.13_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023462,PRJEB21224,1,"",ERS1782710,SAMEA104118817,simple,4896,Schizosaccharomyces pombe,SAMEA104118817,Department of Biochemistry University of Cambridge UK,ERA955947,02,2018,Makar,"",wt.AT.CHX.mrna.13,2018-02-01,2017-06-09,SAMEA104118817,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2018-02-01T17:03:25Z,2017-06-09T01:51:07Z,public,E-MTAB-5810:wt.AT.CHX.mrna.13,ArrayExpress,fission yeast,wild type genotype,rRNA-depleted total RNA,E-MTAB-5810:wt.AT.CHX.mrna.13,"3-Amino-1,2,4-triazole (3-AT)",CHX,wild type genotype
