Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,strategy,treatment,GEO Accession
SRR1223686,23135864,971706288,42,549,SRX513393,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041039,PRJNA244101,25119046,"",SRS590322,SAMN02721676,simple,4932,Saccharomyces cerevisiae,GSM1365918,GEO,SRA156986,07,2015,Zid,yeast BY4741,BY-Ribo_logphase_Replicate1,yeast BY4741,BY4741,Ribosome Profiling,+Glucose,GSM1365918
SRR1223687,16101967,821200317,51,423,SRX513394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590323,SAMN02721681,simple,4932,Saccharomyces cerevisiae,GSM1365919,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_logphase_Replicate1,yeast EY0690,EY0690,Ribosome Profiling,+Glucose,GSM1365919
SRR1223688,41451837,2072591850,50,1231,SRX513394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590323,SAMN02721681,simple,4932,Saccharomyces cerevisiae,GSM1365919,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_logphase_Replicate1,yeast BY4741,BY4741,RNA-seq,+Glucose,GSM1365920
SRR1223689,49550717,2477535850,50,1552,SRX513395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590324,SAMN02721680,simple,4932,Saccharomyces cerevisiae,GSM1365920,GEO,SRA156986,07,2014,Zid,yeast BY4741,BY-RNA_logphase_Total_Replicate1,yeast BY4741,BY4741,RNA-seq,+Glucose,GSM1365921
SRR1223690,32658689,1632934450,50,981,SRX513395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590324,SAMN02721680,simple,4932,Saccharomyces cerevisiae,GSM1365920,GEO,SRA156986,07,2014,Zid,yeast BY4741,BY-RNA_logphase_Total_Replicate1,yeast EY0690,EY0690,RNA-seq,+Glucose,GSM1365922
SRR1223691,19491861,818658162,42,433,SRX513396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041039,PRJNA244101,25119046,"",SRS590325,SAMN02721677,simple,4932,Saccharomyces cerevisiae,GSM1365921,GEO,SRA156986,07,2015,Zid,yeast BY4741,BY-RNA_logphase_polyA_Replicate1,yeast EY0690,EY0690,RNA-seq,+Glucose,GSM1365923
SRR1223692,22641779,1132088950,50,733,SRX513397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590326,SAMN02721682,simple,4932,Saccharomyces cerevisiae,GSM1365922,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_logphase_Total_Replicate1,yeast EY0690,EY0690,RNA-seq,+Glucose,GSM1365924
SRR1223693,13592624,679631200,50,423,SRX513397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590326,SAMN02721682,simple,4932,Saccharomyces cerevisiae,GSM1365922,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_logphase_Total_Replicate1,yeast BY4741,BY4741,Ribosome Profiling,-Glucose15m,GSM1365925
SRR1223694,31977655,1598882750,50,1005,SRX513398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590327,SAMN02721678,simple,4932,Saccharomyces cerevisiae,GSM1365923,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_logphase_RiboZero_Replicate1,yeast EY0690,EY0690,Ribosome Profiling,-Glucose15m,GSM1365926
SRR1223695,13992051,699602550,50,423,SRX513398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590327,SAMN02721678,simple,4932,Saccharomyces cerevisiae,GSM1365923,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_logphase_RiboZero_Replicate1,yeast BY4741,BY4741,RNA-seq,-Glucose15m,GSM1365927
SRR1223696,21075312,1074840912,51,563,SRX513399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590328,SAMN02721684,simple,4932,Saccharomyces cerevisiae,GSM1365924,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_logphase_polyA_Replicate1,yeast BY4741,BY4741,RNA-seq,-Glucose15m,GSM1365928
SRR1223697,19360675,813148350,42,426,SRX513400,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041039,PRJNA244101,25119046,"",SRS590329,SAMN02721683,simple,4932,Saccharomyces cerevisiae,GSM1365925,GEO,SRA156986,07,2015,Zid,yeast BY4741,BY-Ribo_-Glu15_Replicate1,yeast EY0690,EY0690,RNA-seq,-Glucose15m,GSM1365929
SRR1223698,25664498,1308889398,51,691,SRX513401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590330,SAMN02721686,simple,4932,Saccharomyces cerevisiae,GSM1365926,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_-Glu15_Replicate1,yeast EY0690,EY0690,RNA-seq,-Glucose15m,GSM1365930
SRR1223699,46043180,2302159000,50,1401,SRX513401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590330,SAMN02721686,simple,4932,Saccharomyces cerevisiae,GSM1365926,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_-Glu15_Replicate1,yeast EY0690,EY0690,RNA-seq,-Glucose15m,GSM1365931
SRR1223700,77123881,3856194050,50,2334,SRX513402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590331,SAMN02721687,simple,4932,Saccharomyces cerevisiae,GSM1365927,GEO,SRA156986,07,2014,Zid,yeast BY4741,BY-RNA_-Glu15_Total_Replicate1,yeast BY4741,BY4741,Ribosome Profiling,+Glucose,GSM1387087
SRR1223701,16536415,694529430,42,382,SRX513403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041039,PRJNA244101,25119046,"",SRS590332,SAMN02721688,simple,4932,Saccharomyces cerevisiae,GSM1365928,GEO,SRA156986,07,2015,Zid,yeast BY4741,BY-RNA_-Glu15_polyA_Replicate1,yeast EY0690,EY0690,Ribosome Profiling,+Glucose,GSM1387088
