Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell subtype,GEO Accession
SRR12833386,18647351,932367550,50,527,SRX9300950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534288,SAMN16475050,simple,9606,Homo sapiens,GSM4832653,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 1,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832653
SRR12833387,18722104,936105200,50,571,SRX9300950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534288,SAMN16475050,simple,9606,Homo sapiens,GSM4832653,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 1,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832654
SRR12833388,18477322,923866100,50,564,SRX9300950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534288,SAMN16475050,simple,9606,Homo sapiens,GSM4832653,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 1,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832655
SRR12833389,20960605,1048030250,50,443,SRX9300950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534288,SAMN16475050,simple,9606,Homo sapiens,GSM4832653,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 1,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832656
SRR12833390,21797543,1089877150,50,469,SRX9300950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534288,SAMN16475050,simple,9606,Homo sapiens,GSM4832653,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 1,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832657
SRR12833391,21818313,1090915650,50,470,SRX9300950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534288,SAMN16475050,simple,9606,Homo sapiens,GSM4832653,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 1,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832658
SRR12833392,25577556,1278877800,50,778,SRX9300951,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534285,SAMN16475049,simple,9606,Homo sapiens,GSM4832654,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 1,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832653
SRR12833393,25702573,1285128650,50,789,SRX9300951,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534285,SAMN16475049,simple,9606,Homo sapiens,GSM4832654,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 1,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832654
SRR12833394,25435113,1271755650,50,779,SRX9300951,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534285,SAMN16475049,simple,9606,Homo sapiens,GSM4832654,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 1,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832655
SRR12833395,25327411,1266370550,50,534,SRX9300951,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534285,SAMN16475049,simple,9606,Homo sapiens,GSM4832654,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 1,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832656
SRR12833396,26467394,1323369700,50,554,SRX9300951,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534285,SAMN16475049,simple,9606,Homo sapiens,GSM4832654,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 1,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832657
SRR12833397,26506338,1325316900,50,554,SRX9300951,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534285,SAMN16475049,simple,9606,Homo sapiens,GSM4832654,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 1,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832658
SRR12833398,16910399,845519950,50,483,SRX9300952,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534293,SAMN16475086,simple,9606,Homo sapiens,GSM4832655,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 2,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832653
SRR12833399,17001545,850077250,50,490,SRX9300952,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534293,SAMN16475086,simple,9606,Homo sapiens,GSM4832655,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 2,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832654
SRR12833400,16798104,839905200,50,484,SRX9300952,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534293,SAMN16475086,simple,9606,Homo sapiens,GSM4832655,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 2,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832655
SRR12833401,17897362,894868100,50,383,SRX9300952,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534293,SAMN16475086,simple,9606,Homo sapiens,GSM4832655,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 2,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832656
SRR12833402,18632468,931623400,50,400,SRX9300952,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534293,SAMN16475086,simple,9606,Homo sapiens,GSM4832655,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 2,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832657
SRR12833403,18656890,932844500,50,401,SRX9300952,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534293,SAMN16475086,simple,9606,Homo sapiens,GSM4832655,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 2,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832658
SRR12833404,24154876,1207743800,50,730,SRX9300953,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534287,SAMN16475085,simple,9606,Homo sapiens,GSM4832656,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 2,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832653
SRR12833405,24253377,1212668850,50,739,SRX9300953,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534287,SAMN16475085,simple,9606,Homo sapiens,GSM4832656,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 2,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832654
SRR12833406,24065196,1203259800,50,731,SRX9300953,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534287,SAMN16475085,simple,9606,Homo sapiens,GSM4832656,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 2,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832655
SRR12833407,24343378,1217168900,50,510,SRX9300953,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534287,SAMN16475085,simple,9606,Homo sapiens,GSM4832656,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 2,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832656
SRR12833408,25289551,1264477550,50,530,SRX9300953,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534287,SAMN16475085,simple,9606,Homo sapiens,GSM4832656,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 2,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832657
SRR12833409,25339393,1266969650,50,531,SRX9300953,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534287,SAMN16475085,simple,9606,Homo sapiens,GSM4832656,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 2,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832658
