Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,shRNA status,molecule type,GEO Accession
SRR12730631,24517239,882620604,36,633,SRX9203985,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438919,SAMN16282463,simple,9606,Homo sapiens,GSM4805330,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RiboProfiling-shNC-RapMinus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shNC,ribosome-protected RNA,GSM4805330
SRR12730632,27293369,982561284,36,700,SRX9203986,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438922,SAMN16282462,simple,9606,Homo sapiens,GSM4805331,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RiboProfiling-shNC-RapPlus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shNC,ribosome-protected RNA,GSM4805331
SRR12730633,24600451,885616236,36,626,SRX9203987,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438920,SAMN16282461,simple,9606,Homo sapiens,GSM4805332,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RiboProfiling-shBCDIN3D-RapMinus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,ribosome-protected RNA,GSM4805332
SRR12730634,24475486,881117496,36,620,SRX9203988,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438921,SAMN16282460,simple,9606,Homo sapiens,GSM4805333,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RiboProfiling-shBCDIN3D-RapPlus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,ribosome-protected RNA,GSM4805333
SRR12730635,30049537,1081783332,36,768,SRX9203989,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438923,SAMN16282459,simple,9606,Homo sapiens,GSM4805334,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RiboProfiling-shNC-RapMinus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shNC,ribosome-protected RNA,GSM4805334
SRR12730636,24962119,898636284,36,636,SRX9203990,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438924,SAMN16282458,simple,9606,Homo sapiens,GSM4805335,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RiboProfiling-shNC-RapPlus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shNC,ribosome-protected RNA,GSM4805335
SRR12730637,23186090,834699240,36,597,SRX9203991,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438925,SAMN16282456,simple,9606,Homo sapiens,GSM4805336,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RiboProfiling-shBCDIN3D-RapMinus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,ribosome-protected RNA,GSM4805336
SRR12730638,21763513,783486468,36,559,SRX9203992,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438926,SAMN16282455,simple,9606,Homo sapiens,GSM4805337,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RiboProfiling-shBCDIN3D-RapPlus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,ribosome-protected RNA,GSM4805337
SRR12730639,27777253,4166587950,75,2606,SRX9203993,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438927,SAMN16282454,simple,9606,Homo sapiens,GSM4805338,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RNASeq-shNC-RapMinus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shNC,total RNA,GSM4805338
SRR12730640,31393112,4708966800,75,2945,SRX9203994,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438928,SAMN16282453,simple,9606,Homo sapiens,GSM4805339,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RNASeq-shNC-RapPlus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shNC,total RNA,GSM4805339
