Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,fraction,GEO Accession
SRR8309245,41716230,1141059683,27,488,SRX5123175,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136490,SAMN10564081,simple,9606,Homo sapiens,GSM3506277,GEO,SRA822679,12,2018,Walczak,Membrane fraction from UFM1-KO HEK293 cells,ufm1_memb_a,Membrane fraction from UFM1-KO HEK293 cells,Clonal UFM1-KO HEK293 cells generated with Cas9,membrane,GSM3506277
SRR8309246,14527561,396487544,27,169,SRX5123176,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136491,SAMN10564076,simple,9606,Homo sapiens,GSM3506278,GEO,SRA822679,12,2018,Walczak,Membrane fraction from UFM1-KO HEK293 cells,ufm1_memb_b,Membrane fraction from UFM1-KO HEK293 cells,Clonal UFM1-KO HEK293 cells generated with Cas9,membrane,GSM3506278
SRR8309247,22488328,607594813,27,270,SRX5123177,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136492,SAMN10564070,simple,9606,Homo sapiens,GSM3506279,GEO,SRA822679,12,2018,Walczak,Cytosolic fraction from UFM1-KO HEK293 cells,ufm1_cyto_a,Cytosolic fraction from UFM1-KO HEK293 cells,Clonal UFM1-KO HEK293 cells generated with Cas9,cytosolic,GSM3506279
SRR8309248,17985014,495752835,27,219,SRX5123178,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136493,SAMN10564064,simple,9606,Homo sapiens,GSM3506280,GEO,SRA822679,12,2018,Walczak,Cytosolic fraction from UFM1-KO HEK293 cells,ufm1_cyto_b,Cytosolic fraction from UFM1-KO HEK293 cells,Clonal UFM1-KO HEK293 cells generated with Cas9,cytosolic,GSM3506280
SRR8309249,24814868,668104198,26,285,SRX5123179,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136494,SAMN10564057,simple,9606,Homo sapiens,GSM3506281,GEO,SRA822679,12,2018,Walczak,Membrane fraction from UFSP2-KO HEK293 cells,ufsp2_memb_a,Membrane fraction from UFSP2-KO HEK293 cells,Clonal UFSP2-KO HEK293 cells generated with Cas9,membrane,GSM3506281
SRR8309250,32313165,847522761,26,367,SRX5123180,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136495,SAMN10564050,simple,9606,Homo sapiens,GSM3506282,GEO,SRA822679,12,2018,Walczak,Membrane fraction from UFSP2-KO HEK293 cells,ufsp2_memb_b,Membrane fraction from UFSP2-KO HEK293 cells,Clonal UFSP2-KO HEK293 cells generated with Cas9,membrane,GSM3506282
SRR8309251,11338832,317434253,28,139,SRX5123181,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136496,SAMN10564043,simple,9606,Homo sapiens,GSM3506283,GEO,SRA822679,12,2018,Walczak,Cytosolic fraction from UFSP2-KO HEK293 cells,ufsp2_cyto_a,Cytosolic fraction from UFSP2-KO HEK293 cells,Clonal UFSP2-KO HEK293 cells generated with Cas9,cytosolic,GSM3506283
SRR8309252,30614715,874940586,28,380,SRX5123182,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136497,SAMN10564039,simple,9606,Homo sapiens,GSM3506284,GEO,SRA822679,12,2018,Walczak,Cytosolic fraction from UFSP2-KO HEK293 cells,ufsp2_cyto_b,Cytosolic fraction from UFSP2-KO HEK293 cells,Clonal UFSP2-KO HEK293 cells generated with Cas9,cytosolic,GSM3506284
SRR8309253,26709734,713756433,26,306,SRX5123183,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136498,SAMN10564032,simple,9606,Homo sapiens,GSM3506285,GEO,SRA822679,12,2018,Walczak,Membrane fraction from HEK293 cells,wt_memb_a,Membrane fraction from HEK293 cells,HEK 293,membrane,GSM3506285
SRR8309254,53000928,1395899622,26,602,SRX5123184,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136499,SAMN10564027,simple,9606,Homo sapiens,GSM3506286,GEO,SRA822679,12,2018,Walczak,Membrane fraction from HEK293 cells,wt_memb_b,Membrane fraction from HEK293 cells,HEK 293,membrane,GSM3506286
SRR8309255,11379968,322259719,28,140,SRX5123185,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136500,SAMN10564021,simple,9606,Homo sapiens,GSM3506287,GEO,SRA822679,12,2018,Walczak,Cytosolic fraction from HEK293 cells,wt_cyto_a,Cytosolic fraction from HEK293 cells,HEK 293,cytosolic,GSM3506287
SRR8309256,31031295,913726194,29,382,SRX5123186,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP173217,PRJNA509149,30626644,"",SRS4136501,SAMN10564014,simple,9606,Homo sapiens,GSM3506288,GEO,SRA822679,12,2018,Walczak,Cytosolic fraction from HEK293 cells,wt_cyto_b,Cytosolic fraction from HEK293 cells,HEK 293,cytosolic,GSM3506288
