Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,treatment,tissue,fraction,GEO Accession
SRR7074408,35080062,3529547539,0,1504,SRX4004205,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226071,SAMN08995494,simple,10090,Mus musculus,GSM3119459,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Control 1,C57BL/6 cortex,C57BL/6,basal,cortex,input RNA,GSM3119459
SRR7074409,32645341,3282682217,0,1400,SRX4004206,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226070,SAMN08995493,simple,10090,Mus musculus,GSM3119460,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Control 2,C57BL/6 cortex,C57BL/6,basal,cortex,input RNA,GSM3119460
SRR7074410,42997632,4322694466,0,1914,SRX4004207,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226069,SAMN08995492,simple,10090,Mus musculus,GSM3119461,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Control 3,C57BL/6 cortex,C57BL/6,basal,cortex,input RNA,GSM3119461
SRR7074411,32424094,3260624490,0,1394,SRX4004208,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226072,SAMN08995491,simple,10090,Mus musculus,GSM3119462,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Control 4,C57BL/6 cortex,C57BL/6,basal,cortex,input RNA,GSM3119462
SRR7074412,31972605,3214974187,0,1371,SRX4004209,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226073,SAMN08995490,simple,10090,Mus musculus,GSM3119463,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Control 5,C57BL/6 cortex,C57BL/6,basal,cortex,input RNA,GSM3119463
SRR7074413,28408549,2857415026,0,1214,SRX4004210,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226074,SAMN08995489,simple,10090,Mus musculus,GSM3119464,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Control 6,C57BL/6 cortex,C57BL/6,basal,cortex,input RNA,GSM3119464
SRR7074414,23260927,2338924554,0,1007,SRX4004211,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226075,SAMN08995488,simple,10090,Mus musculus,GSM3119465,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Stress 1,C57BL/6 cortex,C57BL/6,acute stress,cortex,input RNA,GSM3119465
SRR7074415,27961047,2812455581,0,1197,SRX4004212,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226076,SAMN08995487,simple,10090,Mus musculus,GSM3119466,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Stress 2,C57BL/6 cortex,C57BL/6,acute stress,cortex,input RNA,GSM3119466
SRR7074416,30058613,3021651933,0,1297,SRX4004213,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226077,SAMN08995486,simple,10090,Mus musculus,GSM3119467,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Stress 3,C57BL/6 cortex,C57BL/6,acute stress,cortex,input RNA,GSM3119467
SRR7074417,24676073,2481303901,0,1057,SRX4004214,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226079,SAMN08995485,simple,10090,Mus musculus,GSM3119468,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Stress 4,C57BL/6 cortex,C57BL/6,acute stress,cortex,input RNA,GSM3119468
SRR7074418,57909820,5823242520,0,2581,SRX4004215,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226078,SAMN08995484,simple,10090,Mus musculus,GSM3119469,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Stress 5,C57BL/6 cortex,C57BL/6,acute stress,cortex,input RNA,GSM3119469
SRR7074419,39759760,3996779609,0,1695,SRX4004216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226080,SAMN08995483,simple,10090,Mus musculus,GSM3119470,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Total RNA of Stress 6,C57BL/6 cortex,C57BL/6,acute stress,cortex,input RNA,GSM3119470
SRR7074420,16126418,1625555087,0,827,SRX4004217,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226081,SAMN08995482,simple,10090,Mus musculus,GSM3119471,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Control 1,C57BL/6 cortex,C57BL/6,basal,cortex,ribosome bound fraction,GSM3119471
SRR7074421,19890998,2004820879,0,1033,SRX4004218,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226082,SAMN08995481,simple,10090,Mus musculus,GSM3119472,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Control 2,C57BL/6 cortex,C57BL/6,basal,cortex,ribosome bound fraction,GSM3119472
