Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,mrna type,splice status,cell line,GEO Accession
SRR7067542,68273932,6827393200,50,2231,SRX3998343,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222365,SAMN08985542,simple,9606,Homo sapiens,GSM3112181,GEO,SRA695700,01,2019,Krishnamoorthy,C643,C643_RNA_1,C643,mRNA,WT-splice,C643,GSM3112181
SRR7067543,74577467,7457746700,50,2492,SRX3998344,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222363,SAMN08985541,simple,9606,Homo sapiens,GSM3112182,GEO,SRA695700,01,2019,Krishnamoorthy,C643,C643_RNA_2,C643,mRNA,WT-splice,C643,GSM3112182
SRR7067544,78653729,7865372900,50,2609,SRX3998345,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222364,SAMN08985540,simple,9606,Homo sapiens,GSM3112183,GEO,SRA695700,01,2019,Krishnamoorthy,C643,C643_RNA_3,C643,mRNA,WT-splice,C643,GSM3112183
SRR7067545,86795817,8679581700,50,2905,SRX3998346,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222366,SAMN08985539,simple,9606,Homo sapiens,GSM3112184,GEO,SRA695700,01,2019,Krishnamoorthy,C643,C643-spl-rev_RNA_1,C643,mRNA,Splice Reversed,C643,GSM3112184
SRR7067546,81232141,8123214100,50,2743,SRX3998347,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222367,SAMN08985538,simple,9606,Homo sapiens,GSM3112185,GEO,SRA695700,01,2019,Krishnamoorthy,C643,C643-spl-rev_RNA_2,C643,mRNA,Splice Reversed,C643,GSM3112185
SRR7067547,72196640,7219664000,50,2390,SRX3998348,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222368,SAMN08985537,simple,9606,Homo sapiens,GSM3112186,GEO,SRA695700,01,2019,Krishnamoorthy,C643,C643-spl-rev_RNA_3,C643,mRNA,Splice Reversed,C643,GSM3112186
SRR7067548,89622157,8962215700,50,2949,SRX3998349,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222369,SAMN08985536,simple,9606,Homo sapiens,GSM3112187,GEO,SRA695700,01,2019,Krishnamoorthy,CAL62,CAL62_RNA_1,CAL62,mRNA,WT no splice,CAL62,GSM3112187
SRR7067549,77864398,7786439800,50,2539,SRX3998350,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222370,SAMN08985535,simple,9606,Homo sapiens,GSM3112188,GEO,SRA695700,01,2019,Krishnamoorthy,CAL62,CAL62_RNA_2,CAL62,mRNA,WT no splice,CAL62,GSM3112188
SRR7067550,80938045,8093804500,50,2672,SRX3998351,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222371,SAMN08985534,simple,9606,Homo sapiens,GSM3112189,GEO,SRA695700,01,2019,Krishnamoorthy,CAL62,CAL62_RNA_3,CAL62,mRNA,WT no splice,CAL62,GSM3112189
SRR7067551,92375589,9237558900,50,3081,SRX3998352,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222372,SAMN08985533,simple,9606,Homo sapiens,GSM3112190,GEO,SRA695700,01,2019,Krishnamoorthy,CAL62,CAL62_splice_RNA_1,CAL62,mRNA,Splice Induced,CAL62,GSM3112190
SRR7067552,76280132,7628013200,50,2524,SRX3998353,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222373,SAMN08985510,simple,9606,Homo sapiens,GSM3112191,GEO,SRA695700,01,2019,Krishnamoorthy,CAL62,CAL62_splice_RNA_2,CAL62,mRNA,Splice Induced,CAL62,GSM3112191
SRR7067553,79905927,7990592700,50,2692,SRX3998354,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP142722,PRJNA453686,30305285,"",SRS3222374,SAMN08985509,simple,9606,Homo sapiens,GSM3112192,GEO,SRA695700,01,2019,Krishnamoorthy,CAL62,CAL62_splice_RNA_3,CAL62,mRNA,Splice Induced,CAL62,GSM3112192
