Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,age,assay type,biological replicate,biomaterial_provider,cell_line,expressing,isolate,sex,tissue,treatment,collection_date,geo_loc_name,BioSampleModel
DRR428600,15783800,789190000,50,354,DRX413775,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279338,SAMD00571135,simple,9606,Homo sapiens,SAMD00571135,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells expressing shScramble, replicate 1",K562 shScramble RPF rep 1,53,ribosomal profiling,biological replicate 1,JCRB cell bank,K562,shScramble,not collected,female,pleural effusion,no,missing,missing,Human
DRR428601,15396377,769818850,50,343,DRX413776,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279339,SAMD00571136,simple,9606,Homo sapiens,SAMD00571136,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells expressing shScramble, replicate 2",K562 shScramble RPF rep 2,53,ribosomal profiling,biological replicate 2,JCRB cell bank,K562,shScramble,not collected,female,pleural effusion,no,missing,missing,Human
DRR428602,16732926,836646300,50,365,DRX413777,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279340,SAMD00571137,simple,9606,Homo sapiens,SAMD00571137,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells expressing shDDX41, replicate 1",K562 shDDX41 RPF rep 1,53,ribosomal profiling,biological replicate 1,JCRB cell bank,K562,shDDX41,not collected,female,pleural effusion,no,missing,missing,Human
DRR428603,16345221,817261050,50,354,DRX413778,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279341,SAMD00571138,simple,9606,Homo sapiens,SAMD00571138,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells expressing shDDX41, replicate 2",K562 shDDX41 RPF rep 2,53,ribosomal profiling,biological replicate 2,JCRB cell bank,K562,shDDX41,not collected,female,pleural effusion,no,missing,missing,Human
DRR428604,10259058,512952900,50,243,DRX413779,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279342,SAMD00571139,simple,9606,Homo sapiens,SAMD00571139,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells treated with DMSO, replicate 1",K562 DMSO RPF rep 1,53,ribosomal profiling,biological replicate 1,JCRB cell bank,K562,no,not collected,female,pleural effusion,DMSO,missing,missing,Human
DRR428605,10297020,514851000,50,246,DRX413780,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279343,SAMD00571140,simple,9606,Homo sapiens,SAMD00571140,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells treated with DMSO, replicate 2",K562 DMSO RPF rep 2,53,ribosomal profiling,biological replicate 2,JCRB cell bank,K562,no,not collected,female,pleural effusion,DMSO,missing,missing,Human
DRR428606,10723366,536168300,50,254,DRX413781,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279344,SAMD00571141,simple,9606,Homo sapiens,SAMD00571141,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells treated with CX5461, replicate 1",K562 CX5461 RPF rep 1,53,ribosomal profiling,biological replicate 1,JCRB cell bank,K562,no,not collected,female,pleural effusion,CX5461,missing,missing,Human
DRR428607,10906452,545322600,50,259,DRX413782,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279345,SAMD00571142,simple,9606,Homo sapiens,SAMD00571142,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells treated with CX5461, replicate 2",K562 CX5461 RPF rep 2,53,ribosomal profiling,biological replicate 2,JCRB cell bank,K562,no,not collected,female,pleural effusion,CX5461,missing,missing,Human
DRR428608,16340475,817023750,50,368,DRX413783,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279346,SAMD00571143,simple,9606,Homo sapiens,SAMD00571143,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells expressing shScramble RNA-seq, replicate 1",K562 shScramble RNA-seq rep 1,53,RNA-seq,biological replicate 1,JCRB cell bank,K562,shScramble,not collected,female,pleural effusion,no,missing,missing,Human
DRR428609,15905190,795259500,50,357,DRX413784,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,DRP009580,PRJDB15060,1,"",DRS279347,SAMD00571144,simple,9606,Homo sapiens,SAMD00571144,KUMAMOTO,DRA015477,02,2023,Makar,"","K562 cells expressing shScramble RNA-seq, replicate 2",K562 shScramble RNA-seq rep 2,53,RNA-seq,biological replicate 2,JCRB cell bank,K562,shScramble,not collected,female,pleural effusion,no,missing,missing,Human
