Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,virus strain,cell line,hours post infection,GEO Accession
SRR13165879,10492769,827236969,78,254,SRX9604740,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808341,SAMN16955163,simple,9606,Homo sapiens,GSM4949718,GEO,SRA1165019,04,2021,Makar,Homo Sapiens,Calu3_mrna_uninf_1,Homo Sapiens,--,"Calu 3 cells, ATCC HTB-55",uninfected,GSM4949718
SRR13165880,14327017,1065184517,74,328,SRX9604741,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808342,SAMN16955162,simple,9606,Homo sapiens,GSM4949719,GEO,SRA1165019,04,2021,Makar,Homo Sapiens,Calu3_mrna_uninf_2,Homo Sapiens,--,"Calu 3 cells, ATCC HTB-55",uninfected,GSM4949719
SRR13165881,19277988,1227225788,63,375,SRX9604742,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808343,SAMN16955161,simple,9606,Homo sapiens,GSM4949720,GEO,SRA1165019,04,2021,Makar,"Homo Sapiens, SARS-CoV-2",Calu3_mrna_3hpi,"Homo Sapiens, SARS-CoV-2",BetaCoV/Germany/BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",3,GSM4949720
SRR13165882,17295859,1100204109,63,338,SRX9604743,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808344,SAMN16955160,simple,9606,Homo sapiens,GSM4949721,GEO,SRA1165019,04,2021,Makar,"Homo Sapiens, SARS-CoV-2",Calu3_mrna_5hpi,"Homo Sapiens, SARS-CoV-2",BetaCoV/Germany/BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",5,GSM4949721
SRR13165883,17154413,1211306435,70,405,SRX9604744,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808345,SAMN16955159,simple,9606,Homo sapiens,GSM4949722,GEO,SRA1165019,04,2021,Makar,"Homo Sapiens, SARS-CoV-2",Calu3_mrna_8hpi_1,"Homo Sapiens, SARS-CoV-2",BetaCoV/Germany/BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",8,GSM4949722
SRR13165884,21944368,1480662912,67,478,SRX9604745,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808346,SAMN16955158,simple,9606,Homo sapiens,GSM4949723,GEO,SRA1165019,04,2021,Makar,"Homo Sapiens, SARS-CoV-2",Calu3_mrna_8hpi_2,"Homo Sapiens, SARS-CoV-2",BetaCoV/Germany/BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",8,GSM4949723
SRR13165885,6447882,328841982,51,100,SRX9604746,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808347,SAMN16955157,simple,9606,Homo sapiens,GSM4949724,GEO,SRA1165019,04,2021,Makar,Homo Sapiens,Calu3_mrna_uninf_1_total,Homo Sapiens,--,"Calu 3 cells, ATCC HTB-55",uninfected,GSM4949724
SRR13165886,4985188,254244588,51,78,SRX9604747,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808348,SAMN16955156,simple,9606,Homo sapiens,GSM4949725,GEO,SRA1165019,04,2021,Makar,Homo Sapiens,Calu3_mrna_uninf_2_total,Homo Sapiens,--,"Calu 3 cells, ATCC HTB-55",uninfected,GSM4949725
SRR13165887,5325346,271592646,51,83,SRX9604748,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808349,SAMN16955155,simple,9606,Homo sapiens,GSM4949726,GEO,SRA1165019,04,2021,Makar,"Homo Sapiens, SARS-CoV-2",Calu3_mrna_3hpi_total,"Homo Sapiens, SARS-CoV-2",BetaCoV/Germany/BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",3,GSM4949726
SRR13165888,5016369,255834819,51,78,SRX9604749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP295094,PRJNA681523,1,"",SRS7808350,SAMN16955154,simple,9606,Homo sapiens,GSM4949727,GEO,SRA1165019,04,2021,Makar,"Homo Sapiens, SARS-CoV-2",Calu3_mrna_5hpi_total,"Homo Sapiens, SARS-CoV-2",BetaCoV/Germany/BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",5,GSM4949727
