Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,mouse age,Sex,appps1 positive/negative,GEO Accession
SRR11875176,56586698,5771420916,,4712,SRX8424858,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736277,SAMN15056052,simple,10090,Mus musculus,GSM4578858,GEO,SRA1081186,06,2020,Roussarie,Brain,JP001 ECII_5months_199D5-Rasgrp2,Brain,ECII,4-5 months,male,neg,GSM4578858
SRR11875177,41436711,4226314104,,3456,SRX8424859,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736278,SAMN15056051,simple,10090,Mus musculus,GSM4578859,GEO,SRA1081186,06,2020,Roussarie,Brain,JP002 ECII_5months_199D5-Rasgrp2,Brain,ECII,4-5 months,male,neg,GSM4578859
SRR11875178,52525775,5357254761,,4353,SRX8424860,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736279,SAMN15056050,simple,10090,Mus musculus,GSM4578860,GEO,SRA1081186,06,2020,Roussarie,Brain,JP003 ECII_5months_199D5-Rasgrp2,Brain,ECII,4-5 months,male,neg,GSM4578860
SRR11875179,4480972,457059144,51,257,SRX8424861,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736280,SAMN15056049,simple,10090,Mus musculus,GSM4578861,GEO,SRA1081186,05,2020,Roussarie,Brain,JP010 ECII_5months_307B16-Sh3bgrl2-#26,Brain,ECII,4-5 months,male,neg,GSM4578861
SRR11875180,7798032,795399264,51,446,SRX8424862,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736281,SAMN15055974,simple,10090,Mus musculus,GSM4578862,GEO,SRA1081186,05,2020,Roussarie,Brain,JP011 ECII_5months_307B16-Sh3bgrl2-#26,Brain,ECII,4-5 months,male,neg,GSM4578862
SRR11875181,20592855,2099629353,,1553,SRX8424863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736282,SAMN15056015,simple,10090,Mus musculus,GSM4578863,GEO,SRA1081186,06,2020,Roussarie,Brain,JP015 ECII_5months_307B16-Sh3bgrl2-#33,Brain,ECII,4-5 months,male,neg,GSM4578863
SRR11875182,17117909,1744697913,,1284,SRX8424864,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736283,SAMN15056014,simple,10090,Mus musculus,GSM4578864,GEO,SRA1081186,06,2020,Roussarie,Brain,JP016 ECII_5months_307B16-Sh3bgrl2-#33,Brain,ECII,4-5 months,male,neg,GSM4578864
SRR11875183,17767460,1811282952,,1371,SRX8424865,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736284,SAMN15056013,simple,10090,Mus musculus,GSM4578865,GEO,SRA1081186,06,2020,Roussarie,Brain,JP017 ECII_5months_307B16-Sh3bgrl2-#33,Brain,ECII,4-5 months,male,neg,GSM4578865
SRR11875184,20669333,2108069751,,1604,SRX8424866,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736285,SAMN15056012,simple,10090,Mus musculus,GSM4578866,GEO,SRA1081186,06,2020,Roussarie,Brain,JP021 CA1_5months_126C5-Sstr4-#7,Brain,CA1,4-5 months,male,neg,GSM4578866
SRR11875185,16207513,1653056319,,1246,SRX8424867,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP265281,PRJNA635898,32603655,"",SRS6736286,SAMN15056011,simple,10090,Mus musculus,GSM4578867,GEO,SRA1081186,06,2020,Roussarie,Brain,JP022 CA1_5months_126C5-Sstr4-#7,Brain,CA1,4-5 months,male,neg,GSM4578867
