Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,host,isolation_source,collection_date,geo_loc_name,sample_type,sample info,type-material,BioSampleModel
SRR6286703,1226063,122606300,100,41,SRX3388060,TSS_CO_P_1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683393,SAMN08022102,simple,1538,Clostridium ljungdahlii,TSS_CO_P_1,UCSD,SRA630323,10,2018,Makar,"",TSS_CO_P_1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-treated from CO culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286702,1781722,178172200,100,63,SRX3388061,TSS_CO_P_2,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683394,SAMN08022103,simple,1538,Clostridium ljungdahlii,TSS_CO_P_2,UCSD,SRA630323,10,2018,Makar,"",TSS_CO_P_2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-treated from CO culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286701,1586222,158622200,100,52,SRX3388062,TSS_CO_X_1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683396,SAMN08022104,simple,1538,Clostridium ljungdahlii,TSS_CO_X_1,UCSD,SRA630323,10,2018,Makar,"",TSS_CO_X_1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-untreated from CO culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286700,1306985,130698500,100,42,SRX3388063,TSS_CO_X_2,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683395,SAMN08022105,simple,1538,Clostridium ljungdahlii,TSS_CO_X_2,UCSD,SRA630323,10,2018,Makar,"",TSS_CO_X_2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-untreated from CO culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286699,1446860,144686000,100,56,SRX3388064,TSS_H2CO2_P_1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683398,SAMN08022106,simple,1538,Clostridium ljungdahlii,TSS_H2CO2_P_1,UCSD,SRA630323,10,2018,Makar,"",TSS_H2CO2_P_1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-treated from H2/CO2 culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286698,1539280,153928000,100,60,SRX3388065,TSS_H2CO2_P_2,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683397,SAMN08022107,simple,1538,Clostridium ljungdahlii,TSS_H2CO2_P_2,UCSD,SRA630323,10,2018,Makar,"",TSS_H2CO2_P_2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-treated from H2/CO2 culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286697,1253739,125373900,100,49,SRX3388066,TSS_H2CO2_X_1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683399,SAMN08022108,simple,1538,Clostridium ljungdahlii,TSS_H2CO2_X_1,UCSD,SRA630323,10,2018,Makar,"",TSS_H2CO2_X_1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-untreated from H2/CO2 culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286696,1387495,138749500,100,47,SRX3388067,TSS_H2CO2_X_2,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683401,SAMN08022109,simple,1538,Clostridium ljungdahlii,TSS_H2CO2_X_2,UCSD,SRA630323,10,2018,Makar,"",TSS_H2CO2_X_2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-untreated from H2/CO2 culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286695,1536339,92010863,59,44,SRX3388068,TSS_HF_P_1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683400,SAMN08022110,simple,1538,Clostridium ljungdahlii,TSS_HF_P_1,UCSD,SRA630323,10,2018,Makar,"",TSS_HF_P_1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-treated from high fructose culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286694,1875069,112250774,,55,SRX3388069,TSS_HF_P_2,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683402,SAMN08022111,simple,1538,Clostridium ljungdahlii,TSS_HF_P_2,UCSD,SRA630323,10,2018,Makar,"",TSS_HF_P_2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-treated from high fructose culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286693,50618624,5061862400,100,1989,SRX3388070,Ribo_H2CO2_rep1,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683403,SAMN08022094,simple,1538,Clostridium ljungdahlii,Ribo_H2CO2_rep1,UCSD,SRA630323,10,2018,Makar,"",Ribo_H2CO2_rep1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,Ribo-seq library,Ribo-seq from H2/CO2 culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286692,44431801,4443180100,100,1778,SRX3388071,Ribo_H2CO2_rep2,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683404,SAMN08022095,simple,1538,Clostridium ljungdahlii,Ribo_H2CO2_rep2,UCSD,SRA630323,10,2018,Makar,"",Ribo_H2CO2_rep2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,Ribo-seq library,Ribo-seq from H2/CO2 culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286691,74932501,2100103575,28,967,SRX3388072,Ribo_CO_rep1,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683405,SAMN08022092,simple,1538,Clostridium ljungdahlii,Ribo_CO_rep1,UCSD,SRA630323,10,2018,Makar,"",Ribo_CO_rep1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,Ribo-seq library,Ribo-seq from CO culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
