Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name
ERR6296037,16227565,1379343025,85,515,ERX5928320,Fas1_IP_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655436,SAMEA8972700,simple,4932,Saccharomyces cerevisiae,SAMEA8972700,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Fas1_IP_No1,2021-12-30,2021-12-30,SAMEA8972700,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Fas1_IP_No1,baker's yeast,Fas1_IP_No1
ERR6296038,17630033,1498552805,85,564,ERX5928321,Fas1_IP_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655437,SAMEA8972701,simple,4932,Saccharomyces cerevisiae,SAMEA8972701,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Fas1_IP_No2,2021-12-30,2021-12-30,SAMEA8972701,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Fas1_IP_No2,baker's yeast,Fas1_IP_No2
ERR6296039,17430178,1481565130,85,557,ERX5928322,Fas1_IP_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655438,SAMEA8972702,simple,4932,Saccharomyces cerevisiae,SAMEA8972702,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Fas1_IP_No3,2021-12-30,2021-12-30,SAMEA8972702,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Fas1_IP_No3,baker's yeast,Fas1_IP_No3
ERR6296040,24508034,2083182890,85,787,ERX5928323,Fas1_IP_No4,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655439,SAMEA8972703,simple,4932,Saccharomyces cerevisiae,SAMEA8972703,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Fas1_IP_No4,2021-12-30,2021-12-30,SAMEA8972703,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Fas1_IP_No4,baker's yeast,Fas1_IP_No4
ERR6296041,23851940,2027414900,85,747,ERX5928324,Fas1_total_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655440,SAMEA8972704,simple,4932,Saccharomyces cerevisiae,SAMEA8972704,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Fas1_total_No1,2021-12-30,2021-12-30,SAMEA8972704,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Fas1_total_No1,baker's yeast,Fas1_total_No1
ERR6296042,28135390,2391508150,85,875,ERX5928325,Fas1_total_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655441,SAMEA8972705,simple,4932,Saccharomyces cerevisiae,SAMEA8972705,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Fas1_total_No2,2021-12-30,2021-12-30,SAMEA8972705,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Fas1_total_No2,baker's yeast,Fas1_total_No2
ERR6296043,31731313,2697161605,85,1005,ERX5928326,Fas1_total_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655442,SAMEA8972706,simple,4932,Saccharomyces cerevisiae,SAMEA8972706,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Fas1_total_No3,2021-12-30,2021-12-30,SAMEA8972706,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Fas1_total_No3,baker's yeast,Fas1_total_No3
ERR6296044,30792755,2617384175,85,972,ERX5928327,Fas1_total_No4,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655443,SAMEA8972707,simple,4932,Saccharomyces cerevisiae,SAMEA8972707,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Fas1_total_No4,2021-12-30,2021-12-30,SAMEA8972707,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Fas1_total_No4,baker's yeast,Fas1_total_No4
ERR6296045,27206476,2312550460,85,899,ERX5928328,Nic96_IP_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655444,SAMEA8972708,simple,4932,Saccharomyces cerevisiae,SAMEA8972708,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Nic96_IP_No1,2021-12-30,2021-12-30,SAMEA8972708,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Nic96_IP_No1,baker's yeast,Nic96_IP_No1
ERR6296046,23860292,2028124820,85,801,ERX5928329,Nic96_IP_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP130543,PRJEB46361,1,"",ERS6655445,SAMEA8972709,simple,4932,Saccharomyces cerevisiae,SAMEA8972709,European Molecular Biology Laboratory,ERA5252052,01,2022,Makar,"",Nic96_IP_No2,2021-12-30,2021-12-30,SAMEA8972709,EMBL,European Molecular Biology Laboratory,2021-12-30T00:11:52Z,2021-12-30T00:11:52Z,public,Nic96_IP_No2,baker's yeast,Nic96_IP_No2
