Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,GEO Accession
SRR10669682,8269538,413476900,50,268,SRX7348156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP236886,PRJNA594956,32735661,"",SRS5807760,SAMN13541942,simple,1280,Staphylococcus aureus,GSM4214735,GEO,SRA1010606,07,2020,Sierra,bacterial cell,"First sample prepared using nEMOTE protocol from dmazEF strain, without PNK",bacterial cell,dmazEF,GSM4214735
SRR10669683,3206615,160330750,50,103,SRX7348157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP236886,PRJNA594956,32735661,"",SRS5807762,SAMN13541941,simple,1280,Staphylococcus aureus,GSM4214736,GEO,SRA1010606,07,2020,Sierra,bacterial cell,"First sample prepared using nEMOTE protocol from dmazEF strain, with PNK",bacterial cell,dmazEF,GSM4214736
SRR10669684,5437921,271896050,50,181,SRX7348158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP236886,PRJNA594956,32735661,"",SRS5807764,SAMN13541940,simple,1280,Staphylococcus aureus,GSM4214737,GEO,SRA1010606,07,2020,Sierra,bacterial cell,"Second sample prepared using nEMOTE protocol from dmazEF strain, without PNK",bacterial cell,dmazEF,GSM4214737
SRR10669685,3242277,162113850,50,109,SRX7348159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP236886,PRJNA594956,32735661,"",SRS5807765,SAMN13541939,simple,1280,Staphylococcus aureus,GSM4214738,GEO,SRA1010606,07,2020,Sierra,bacterial cell,"Second sample prepared using nEMOTE protocol from dmazEF strain, with PNK",bacterial cell,dmazEF,GSM4214738
SRR10669686,8224663,411233150,50,265,SRX7348160,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP236886,PRJNA594956,32735661,"",SRS5807776,SAMN13541938,simple,1280,Staphylococcus aureus,GSM4214739,GEO,SRA1010606,07,2020,Sierra,bacterial cell,"First sample prepared using nEMOTE protocol from dmazEF+pF strain, without PNK",bacterial cell,dmazEF,GSM4214739
SRR10669687,2780526,139026300,50,89,SRX7348161,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP236886,PRJNA594956,32735661,"",SRS5807766,SAMN13541937,simple,1280,Staphylococcus aureus,GSM4214740,GEO,SRA1010606,07,2020,Sierra,bacterial cell,"First sample prepared using nEMOTE protocol from dmazEF+pF strain, with PNK",bacterial cell,dmazEF,GSM4214740
SRR10669688,5263173,263158650,50,176,SRX7348162,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP236886,PRJNA594956,32735661,"",SRS5807767,SAMN13541936,simple,1280,Staphylococcus aureus,GSM4214741,GEO,SRA1010606,07,2020,Sierra,bacterial cell,"Second sample prepared using nEMOTE protocol from dmazEF+pF strain, without PNK",bacterial cell,dmazEF,GSM4214741
SRR10669689,1398358,69917900,50,47,SRX7348163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP236886,PRJNA594956,32735661,"",SRS5807768,SAMN13541935,simple,1280,Staphylococcus aureus,GSM4214742,GEO,SRA1010606,07,2020,Sierra,bacterial cell,"Second sample prepared using nEMOTE protocol from dmazEF+pF strain, with PNK",bacterial cell,dmazEF,GSM4214742
SRR10669690,16954541,1695454100,100,582,SRX7348164,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236886,PRJNA594956,32735661,"",SRS5807769,SAMN13541934,simple,1280,Staphylococcus aureus,GSM4214743,GEO,SRA1010606,07,2020,Sierra,bacterial cell,RNA-seq from dmazEF strain,bacterial cell,dmazEF,GSM4214743
SRR10669691,19011854,1901185400,100,656,SRX7348165,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236886,PRJNA594956,32735661,"",SRS5807779,SAMN13541933,simple,1280,Staphylococcus aureus,GSM4214744,GEO,SRA1010606,07,2020,Sierra,bacterial cell,RNA-seq from dmazEF+pF strain,bacterial cell,dmazEF,GSM4214744
