Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,cell_type,strain,tissue_type
DRR124370,4800290,388822370,30,240,DRX114368,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058190,SAMD00109635,simple,10116,Rattus norvegicus,SAMD00109635,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat Purkinje cell dendrite RNA, amanitin-treated, sample 4",Amanitin_1h_4P,Purkinje cell,Wistar,cerebellum
DRR124371,3674388,297624552,30,190,DRX114369,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058191,SAMD00109636,simple,10116,Rattus norvegicus,SAMD00109636,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat cerebellar RNA, amanitin-treated, sample 4",Amanitin_1h_4Sn,,Wistar,cerebellum
DRR124372,4509756,365288443,30,231,DRX114370,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058192,SAMD00109637,simple,10116,Rattus norvegicus,SAMD00109637,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat Purkinje cell dendrite RNA, amanitin-treated, sample 5",Amanitin_1h_5P,Purkinje cell,Wistar,cerebellum
DRR124373,3948177,319805432,30,204,DRX114371,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058193,SAMD00109638,simple,10116,Rattus norvegicus,SAMD00109638,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat cerebellar RNA, amanitin-treated, sample 5",Amanitin_1h_5Sn,,Wistar,cerebellum
DRR124374,4931376,399439222,,248,DRX114372,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058194,SAMD00109639,simple,10116,Rattus norvegicus,SAMD00109639,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat Purkinje cell dendrite RNA, amanitin-treated, sample 6",Amanitin_1h_6P,Purkinje cell,Wistar,cerebellum
DRR124375,4486135,363375739,30,231,DRX114373,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058195,SAMD00109640,simple,10116,Rattus norvegicus,SAMD00109640,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat cerebellar RNA, amanitin-treated, sample 6",Amanitin_1h_6Sn,,Wistar,cerebellum
DRR124376,5558568,450234712,30,276,DRX114374,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058196,SAMD00109641,simple,10116,Rattus norvegicus,SAMD00109641,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat cerebellar RNA, sample 1",control_1h_1Sn,,Wistar,cerebellum
DRR124377,4488788,363597914,30,232,DRX114375,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058197,SAMD00109642,simple,10116,Rattus norvegicus,SAMD00109642,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat cerebellar RNA, sample 2",control_1h_2Sn,,Wistar,cerebellum
DRR124378,5175325,419206655,30,263,DRX114376,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058198,SAMD00109643,simple,10116,Rattus norvegicus,SAMD00109643,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat cerebellar RNA, sample 3",control_1h_3Sn,,Wistar,cerebellum
DRR124379,6498066,526334444,30,334,DRX114377,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058199,SAMD00109644,simple,10116,Rattus norvegicus,SAMD00109644,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat Purkinje cell dendrite RNA, sample 1",ctrl_1h_1P,Purkinje cell,Wistar,cerebellum
DRR124380,11774776,953761192,30,604,DRX114378,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058200,SAMD00109645,simple,10116,Rattus norvegicus,SAMD00109645,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat Purkinje cell dendrite RNA, sample 2",ctrl_1h_2P,Purkinje cell,Wistar,cerebellum
DRR124381,6026321,488126882,30,297,DRX114379,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058201,SAMD00109646,simple,10116,Rattus norvegicus,SAMD00109646,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat Purkinje cell dendrite RNA, sample 3",ctrl_1h_3P,Purkinje cell,Wistar,cerebellum
DRR124382,1217899,98651069,30,62,DRX114380,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058202,SAMD00109647,simple,10116,Rattus norvegicus,SAMD00109647,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat Purkinje cell dendrite RNA, LTD-induced, sample 7",LTD_1h_7P,Purkinje cell,Wistar,cerebellum
DRR124383,4821517,390545675,30,238,DRX114381,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058203,SAMD00109648,simple,10116,Rattus norvegicus,SAMD00109648,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat cerebellar RNA, LTD-induced, sample 7",LTD_1h_7Sn,,Wistar,cerebellum
DRR124384,4187535,339191588,30,216,DRX114382,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058204,SAMD00109649,simple,10116,Rattus norvegicus,SAMD00109649,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat Purkinje cell dendrite RNA, LTD-induced, sample 8",LTD_1h_8P,Purkinje cell,Wistar,cerebellum
DRR124385,5370918,435047930,30,265,DRX114383,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP004013,PRJDB6662,1,"",DRS058205,SAMD00109650,simple,10116,Rattus norvegicus,SAMD00109650,RIKEN_CLST_DGT,DRA006463,02,2018,Makar,"","Rat cerebellar RNA, LTD-induced, sample 8",LTD_1h_8Sn,,Wistar,cerebellum
