Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time in development,strain,GEO Accession
SRR3356477,40134934,2046881634,51,1258,SRX1690271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384306,SAMN04632564,simple,6239,Caenorhabditis elegans,GSM2113350,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_18hr,Whole-worm,18 hours,let-7(n2853),GSM2113350
SRR3356478,45711938,2331308838,51,1425,SRX1690272,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384305,SAMN04632565,simple,6239,Caenorhabditis elegans,GSM2113351,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_20hr,Whole-worm,20 hours,let-7(n2853),GSM2113351
SRR3356479,50000000,2.55e+09,51,1581,SRX1690273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384304,SAMN04632566,simple,6239,Caenorhabditis elegans,GSM2113352,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_22hr,Whole-worm,22 hours,let-7(n2853),GSM2113352
SRR3356480,7024718,358260618,51,224,SRX1690273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384304,SAMN04632566,simple,6239,Caenorhabditis elegans,GSM2113352,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_22hr,Whole-worm,24 hours,let-7(n2853),GSM2113353
SRR3356481,46024962,2347273062,51,1465,SRX1690274,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384303,SAMN04632567,simple,6239,Caenorhabditis elegans,GSM2113353,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_24hr,Whole-worm,26 hours,let-7(n2853),GSM2113354
SRR3356482,44542999,2271692949,51,1422,SRX1690275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384302,SAMN04632568,simple,6239,Caenorhabditis elegans,GSM2113354,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_26hr,Whole-worm,28 hours,let-7(n2853),GSM2113355
SRR3356483,38653099,1971308049,51,1225,SRX1690276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384301,SAMN04632569,simple,6239,Caenorhabditis elegans,GSM2113355,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_28hr,Whole-worm,30 hours,let-7(n2853),GSM2113356
SRR3356484,45779016,2334729816,51,1441,SRX1690277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384300,SAMN04632570,simple,6239,Caenorhabditis elegans,GSM2113356,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_30hr,Whole-worm,32 hours,let-7(n2853),GSM2113357
SRR3356485,50000000,2.55e+09,51,1575,SRX1690278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384299,SAMN04632571,simple,6239,Caenorhabditis elegans,GSM2113357,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_32hr,Whole-worm,34 hours,let-7(n2853),GSM2113358
SRR3356486,11214459,571937409,51,355,SRX1690278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384299,SAMN04632571,simple,6239,Caenorhabditis elegans,GSM2113357,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_32hr,Whole-worm,36 hours,let-7(n2853),GSM2113359
