Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,batch,GEO Accession
SRR12637792,52554556,10510911200,100,4309,SRX9120028,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362565,SAMN16129108,simple,10090,Mus musculus,GSM4780415,GEO,SRA1125210,10,2020,Terrey,Cerebellum,Gtpbp1_1_RNA,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Gtpbp1 -/-,Batch 1,GSM4780415
SRR12637793,57670818,11534163600,100,4592,SRX9120029,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362566,SAMN16129107,simple,10090,Mus musculus,GSM4780416,GEO,SRA1125210,10,2020,Terrey,Cerebellum,Gtpbp1_2_RNA,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Gtpbp1 -/-,Batch 1,GSM4780416
SRR12637794,45251638,9050327600,100,3696,SRX9120030,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362567,SAMN16129106,simple,10090,Mus musculus,GSM4780417,GEO,SRA1125210,10,2020,Terrey,Cerebellum,Gtpbp1_3_RNA,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Gtpbp1 -/-,Batch 1,GSM4780417
SRR12637795,54444694,10888938800,100,4299,SRX9120031,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362568,SAMN16129105,simple,10090,Mus musculus,GSM4780418,GEO,SRA1125210,10,2020,Terrey,Cerebellum,Gtpbp2_1_RNA,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Gtpbp2 -/-,Batch 1,GSM4780418
SRR12637796,59155254,11831050800,100,4713,SRX9120032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362569,SAMN16129104,simple,10090,Mus musculus,GSM4780419,GEO,SRA1125210,10,2020,Terrey,Cerebellum,Gtpbp2_2_RNA,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Gtpbp2 -/-,Batch 1,GSM4780419
SRR12637797,59631680,11926336000,100,4773,SRX9120033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362570,SAMN16129065,simple,10090,Mus musculus,GSM4780420,GEO,SRA1125210,10,2020,Terrey,Cerebellum,Gtpbp2_3_RNA,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Gtpbp2 -/-,Batch 1,GSM4780420
SRR12637798,56709898,11341979600,100,4477,SRX9120034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362571,SAMN16129086,simple,10090,Mus musculus,GSM4780421,GEO,SRA1125210,10,2020,Terrey,Cerebellum,WT_1_RNA,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Wildtype,Batch 1,GSM4780421
SRR12637799,57955182,11591036400,100,4625,SRX9120035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362572,SAMN16129084,simple,10090,Mus musculus,GSM4780422,GEO,SRA1125210,10,2020,Terrey,Cerebellum,WT_2_RNA,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Wildtype,Batch 1,GSM4780422
SRR12637800,60764184,12152836800,100,4822,SRX9120036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362573,SAMN16129083,simple,10090,Mus musculus,GSM4780423,GEO,SRA1125210,10,2020,Terrey,Cerebellum,WT_3_RNA,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Wildtype,Batch 1,GSM4780423
SRR12637801,57952546,5795254600,100,2130,SRX9120037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP282337,PRJNA663319,33186095,"",SRS7362574,SAMN16129082,simple,10090,Mus musculus,GSM4780424,GEO,SRA1125210,10,2020,Terrey,Cerebellum,Gtpbp1_1_Ribo,Cerebellum,C57BL/6J,Cerebellum,3 weeks old,Gtpbp1 -/-,Batch 2,GSM4780424
