Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,transfection,GEO Accession
SRR2876925,16038928,544030416,33,369,SRX1403532,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142135,SAMN04226941,simple,10090,Mus musculus,GSM1922363,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,tRFGG_RBF1,Mouse Embryonic Stem Cells,E14,LNA-containing oligos antisense to tRF-GG,GSM1922363
SRR2876926,18744466,627951497,33,439,SRX1403533,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142134,SAMN04226942,simple,10090,Mus musculus,GSM1922364,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,tRFGG_RBF2,Mouse Embryonic Stem Cells,E14,LNA-containing oligos antisense to tRF-GG,GSM1922364
SRR2876927,5744269,161202726,28,114,SRX1403534,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142133,SAMN04226943,simple,10090,Mus musculus,GSM1922365,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,tRFGG_RBF3,Mouse Embryonic Stem Cells,E14,LNA-containing oligos antisense to tRF-GG,GSM1922365
SRR2876928,21153169,681921706,32,459,SRX1403535,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142132,SAMN04226944,simple,10090,Mus musculus,GSM1922366,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,tRFGG_RBF4,Mouse Embryonic Stem Cells,E14,LNA-containing oligos antisense to tRF-GG,GSM1922366
SRR2876929,19919360,698651837,35,476,SRX1403536,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142131,SAMN04226945,simple,10090,Mus musculus,GSM1922367,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,GFP_RBF1,Mouse Embryonic Stem Cells,E14,GFP-esiRNA,GSM1922367
SRR2876930,21836617,748498862,34,507,SRX1403537,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142130,SAMN04226946,simple,10090,Mus musculus,GSM1922368,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,GFP_RBF2,Mouse Embryonic Stem Cells,E14,GFP-esiRNA,GSM1922368
SRR2876931,21938222,613765486,,442,SRX1403538,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142129,SAMN04226947,simple,10090,Mus musculus,GSM1922369,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,GFP_RBF3,Mouse Embryonic Stem Cells,E14,GFP-esiRNA,GSM1922369
SRR2876932,21375124,664761765,31,449,SRX1403539,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142127,SAMN04226948,simple,10090,Mus musculus,GSM1922370,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,GFP_RBF4,Mouse Embryonic Stem Cells,E14,GFP-esiRNA,GSM1922370
SRR2876933,23544690,787537541,33,541,SRX1403540,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142128,SAMN04226949,simple,10090,Mus musculus,GSM1922371,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,Mock_RBF1,Mouse Embryonic Stem Cells,E14,mock,GSM1922371
SRR2876934,19054810,653449017,34,451,SRX1403541,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142126,SAMN04226950,simple,10090,Mus musculus,GSM1922372,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,Mock_RBF2,Mouse Embryonic Stem Cells,E14,mock,GSM1922372
SRR2876935,23917321,679931586,28,478,SRX1403542,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142125,SAMN04226951,simple,10090,Mus musculus,GSM1922373,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,Mock_RBF3,Mouse Embryonic Stem Cells,E14,mock,GSM1922373
SRR2876936,12532998,390514673,31,264,SRX1403543,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142124,SAMN04226952,simple,10090,Mus musculus,GSM1922374,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,Mock_RBF4,Mouse Embryonic Stem Cells,E14,mock,GSM1922374
SRR2876937,17407546,731116932,42,717,SRX1403544,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142123,SAMN04226953,simple,10090,Mus musculus,GSM1922375,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,tRFGG_RNAseq1,Mouse Embryonic Stem Cells,E14,LNA-containing oligos antisense to tRF-GG,GSM1922375
SRR2876938,11988933,512253474,42,313,SRX1403545,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142122,SAMN04226954,simple,10090,Mus musculus,GSM1922376,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,tRFGG_RNAseq2,Mouse Embryonic Stem Cells,E14,LNA-containing oligos antisense to tRF-GG,GSM1922376
