Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,fraction
SRR21785958,143299372,17195924640,50,5311,SRX17780376,GSM6613797,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306433,SAMN31136227,simple,9606,Homo sapiens,GSM6613797,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,WT_Monosome-196441,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,WT,Monosome fraction from polysome profiling
SRR21785957,129189532,15502743840,50,4802,SRX17780377,GSM6613798,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306434,SAMN31136226,simple,9606,Homo sapiens,GSM6613798,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,WT_LowPolysome-196442,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,WT,low-polysome fraction from polysome profiling
SRR21785956,135213720,16225646400,50,5158,SRX17780378,GSM6613799,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306435,SAMN31136225,simple,9606,Homo sapiens,GSM6613799,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,WT_HighPolysome-196443,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,WT,high-polysome fraction from polysome profiling
SRR21785955,188562528,22627503360,50,7029,SRX17780379,GSM6613800,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306436,SAMN31136224,simple,9606,Homo sapiens,GSM6613800,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,TSC2_Monosome-196445,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,TSC2 KO,Monosome fraction from polysome profiling
SRR21785954,107955156,12954618720,50,4128,SRX17780380,GSM6613801,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306437,SAMN31136223,simple,9606,Homo sapiens,GSM6613801,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,TSC2_LowPolysome-196446,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,TSC2 KO,low-polysome fraction from polysome profiling
SRR21785953,129529950,15543594000,50,4933,SRX17780381,GSM6613802,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306438,SAMN31136222,simple,9606,Homo sapiens,GSM6613802,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,TSC2_HighPolysome-196447,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,TSC2 KO,high-polysome fraction from polysome profiling
SRR21785952,168665882,20239905840,50,6239,SRX17780382,GSM6613803,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306439,SAMN31136221,simple,9606,Homo sapiens,GSM6613803,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,WT_Monosome-196449,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,WT,Monosome fraction from polysome profiling
SRR21785951,141513064,16981567680,50,5399,SRX17780383,GSM6613804,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306440,SAMN31136220,simple,9606,Homo sapiens,GSM6613804,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,WT_LowPolysome-196450,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,WT,low-polysome fraction from polysome profiling
SRR21785950,143977104,17277252480,50,5454,SRX17780384,GSM6613805,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306441,SAMN31136219,simple,9606,Homo sapiens,GSM6613805,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,WT_HighPolysome-196451,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,WT,high-polysome fraction from polysome profiling
SRR21785949,233986790,28078414800,50,8731,SRX17780385,GSM6613806,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400763,PRJNA886630,36989136,"",SRS15306442,SAMN31136218,simple,9606,Homo sapiens,GSM6613806,IMBA,SRA1512982,10,2022,Sidhaye,Day30 brain organoids,TSC2_Monosome-196453,Day30 brain organoids,Day30 brain organoids,Rozh5 iPSC,Brain organoids,TSC2 KO,Monosome fraction from polysome profiling
