Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,genotype,rip antibody,GEO Accession
SRR989498,50195607,5019560700,100,3082,SRX352903,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481726,SAMN02358620,simple,10090,Mus musculus,GSM1234239,GEO,SRA101705,07,2014,Castañeda,Testis,mael_a,Testis,129SvJae,testis,wild type,anti-Mael,GSM1234239
SRR989499,109901812,10990181200,100,7120,SRX352904,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481727,SAMN02358624,simple,10090,Mus musculus,GSM1234240,GEO,SRA101705,07,2014,Castañeda,Testis,mael_b,Testis,129SvJae,testis,wild type,anti-Mael,GSM1234240
SRR989500,83513177,8351317700,100,5392,SRX352905,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481728,SAMN02358621,simple,10090,Mus musculus,GSM1234241,GEO,SRA101705,07,2014,Castañeda,Testis,igg,Testis,129SvJae,testis,wild type,rabbit IgG,GSM1234241
SRR989501,33901590,1695079500,50,1078,SRX352906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481729,SAMN02358625,simple,10090,Mus musculus,GSM1234242,GEO,SRA101705,07,2014,Castañeda,Testis,mael_medium,Testis,129SvJae,testis,wild type,anti-Mael,GSM1234242
SRR989502,34749135,1737456750,50,1145,SRX352907,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481730,SAMN02358622,simple,10090,Mus musculus,GSM1234243,GEO,SRA101705,07,2014,Castañeda,Testis,mael_small,Testis,129SvJae,testis,wild type,anti-Mael,GSM1234243
SRR989503,99752875,4987643750,50,3099,SRX352908,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481731,SAMN02358623,simple,10090,Mus musculus,GSM1234244,GEO,SRA101705,07,2014,Castañeda,Testis,pirna_wt_a,Testis,129SvJae,testis,wild type,none,GSM1234244
SRR989504,16414039,820701950,50,562,SRX352908,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481731,SAMN02358623,simple,10090,Mus musculus,GSM1234244,GEO,SRA101705,07,2014,Castañeda,Testis,pirna_wt_a,Testis,129SvJae,testis,Mael-/-,none,GSM1234245
SRR989505,85703602,4285180100,50,2687,SRX352909,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481732,SAMN02358627,simple,10090,Mus musculus,GSM1234245,GEO,SRA101705,07,2014,Castañeda,Testis,pirna_ko_a,Testis,129SvJae,testis,wild type,none,GSM1234246
SRR989506,12518371,625918550,50,434,SRX352909,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481732,SAMN02358627,simple,10090,Mus musculus,GSM1234245,GEO,SRA101705,07,2014,Castañeda,Testis,pirna_ko_a,Testis,129SvJae,testis,Mael-/-,none,GSM1234247
SRR989507,22198574,1109928700,50,687,SRX352910,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030014,PRJNA219480,25063675,"",SRS481733,SAMN02358628,simple,10090,Mus musculus,GSM1234246,GEO,SRA101705,07,2014,Castañeda,Testis,pirna_wt_b,Testis,129SvJae,testis,wild type,none,GSM1234248
