Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,GEO Accession
SRR2873689,12895771,657684321,51,384,SRX1402293,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141547,SAMN04226652,simple,9606,Homo sapiens,GSM1921997,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vitro 1 repl1 RP,SUM159PT,SUM159PT,GSM1921997
SRR2873690,12869709,656355159,51,383,SRX1402293,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141547,SAMN04226652,simple,9606,Homo sapiens,GSM1921997,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vitro 1 repl1 RP,SUM159PT,SUM159PT,GSM1921998
SRR2873691,12430675,633964425,51,368,SRX1402294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141548,SAMN04226653,simple,9606,Homo sapiens,GSM1921998,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vitro 2 repl1 RP,SUM159PT,SUM159PT,GSM1921999
SRR2873692,12455868,635249268,51,369,SRX1402294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141548,SAMN04226653,simple,9606,Homo sapiens,GSM1921998,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vitro 2 repl1 RP,SUM159PT,SUM159PT,GSM1922000
SRR2873693,14496783,739335933,51,429,SRX1402295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141546,SAMN04226654,simple,9606,Homo sapiens,GSM1921999,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vivo 1 repl1 RP,SUM159PT,SUM159PT,GSM1922001
SRR2873694,14481860,738574860,51,428,SRX1402295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141546,SAMN04226654,simple,9606,Homo sapiens,GSM1921999,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vivo 1 repl1 RP,SUM159PT,SUM159PT,GSM1922002
SRR2873695,20438993,1042388643,51,609,SRX1402296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141545,SAMN04226655,simple,9606,Homo sapiens,GSM1922000,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vivo 2 repl1 RP,SUM159PT,SUM159PT,GSM1922003
SRR2873696,20362288,1038476688,51,606,SRX1402296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141545,SAMN04226655,simple,9606,Homo sapiens,GSM1922000,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vivo 2 repl1 RP,SUM159PT,SUM159PT,GSM1922004
SRR2873697,29099198,1891447870,65,969,SRX1402297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141544,SAMN04226656,simple,9606,Homo sapiens,GSM1922001,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vitro 1 repl2 RP,SUM159PT,SUM159PT,GSM1921997
SRR2873698,29261570,1902002050,65,977,SRX1402297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141544,SAMN04226656,simple,9606,Homo sapiens,GSM1922001,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vitro 1 repl2 RP,SUM159PT,SUM159PT,GSM1921998
SRR2873699,25202200,1638143000,65,846,SRX1402298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141543,SAMN04226657,simple,9606,Homo sapiens,GSM1922002,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vitro 2 repl2 RP,SUM159PT,SUM159PT,GSM1921999
SRR2873700,25403241,1651210665,65,854,SRX1402298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141543,SAMN04226657,simple,9606,Homo sapiens,GSM1922002,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vitro 2 repl2 RP,SUM159PT,SUM159PT,GSM1922000
SRR2873701,27582638,1792871470,65,933,SRX1402299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141542,SAMN04226658,simple,9606,Homo sapiens,GSM1922003,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vivo 1 repl2 RP,SUM159PT,SUM159PT,GSM1922001
SRR2873702,27805379,1807349635,65,943,SRX1402299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141542,SAMN04226658,simple,9606,Homo sapiens,GSM1922003,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vivo 1 repl2 RP,SUM159PT,SUM159PT,GSM1922002
SRR2873703,27752541,1803915165,65,917,SRX1402300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141541,SAMN04226659,simple,9606,Homo sapiens,GSM1922004,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vivo 2 repl2 RP,SUM159PT,SUM159PT,GSM1922003
SRR2873704,27956881,1817197265,65,925,SRX1402300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065529,PRJNA300625,26878238,"",SRS1141541,SAMN04226659,simple,9606,Homo sapiens,GSM1922004,GEO,SRA308233,02,2016,Loayza-Puch,SUM159PT,SUM159PT in vivo 2 repl2 RP,SUM159PT,SUM159PT,GSM1922004
