Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,brain region,age,genotype,GEO Accession
SRR13794627,72622458,3631122900,50,2119,SRX10179652,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328791,SAMN18075471,simple,10090,Mus musculus,GSM5111943,GEO,SRA1200634,02,2021,Kim,Non-transgenic control,STR_Non-transgenic_control_1_Ribo-seq,Non-transgenic control,C57BL/6,striatum,3 months old,wild-type,GSM5111943
SRR13794628,77437343,3871867150,50,2250,SRX10179653,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328792,SAMN18075470,simple,10090,Mus musculus,GSM5111944,GEO,SRA1200634,02,2021,Kim,Non-transgenic control,STR_Non-transgenic_control_2_Ribo-seq,Non-transgenic control,C57BL/6,striatum,3 months old,wild-type,GSM5111944
SRR13794629,81638157,4081907850,50,2371,SRX10179654,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328793,SAMN18075469,simple,10090,Mus musculus,GSM5111945,GEO,SRA1200634,02,2021,Kim,Non-transgenic control,STR_Non-transgenic_control_3_Ribo-seq,Non-transgenic control,C57BL/6,striatum,3 months old,wild-type,GSM5111945
SRR13794630,77038096,3851904800,50,2173,SRX10179655,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328794,SAMN18075468,simple,10090,Mus musculus,GSM5111946,GEO,SRA1200634,02,2021,Kim,G2019S LRRK2,STR_G2019S_LRRK2_1_Ribo-seq,G2019S LRRK2,C57BL/6,striatum,3 months old,G2019S LRRK2 TG,GSM5111946
SRR13794631,35246390,1762319500,50,1145,SRX10179656,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328796,SAMN18075467,simple,10090,Mus musculus,GSM5111947,GEO,SRA1200634,02,2021,Kim,G2019S LRRK2,STR_G2019S_LRRK2_2_Ribo-seq,G2019S LRRK2,C57BL/6,striatum,3 months old,G2019S LRRK2 TG,GSM5111947
SRR13794632,64472230,3223611500,50,1880,SRX10179657,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328795,SAMN18075466,simple,10090,Mus musculus,GSM5111948,GEO,SRA1200634,02,2021,Kim,G2019S/D1994A LRRK2,STR_G2019S/D1994A_LRRK2_1_Ribo-seq,G2019S/D1994A LRRK2,C57BL/6,striatum,3 months old,G2019S/D1994A LRRK2 TG,GSM5111948
SRR13794633,88966946,4448347300,50,2576,SRX10179658,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328797,SAMN18075465,simple,10090,Mus musculus,GSM5111949,GEO,SRA1200634,02,2021,Kim,G2019S/D1994A LRRK2,STR_G2019S/D1994A_LRRK2_2_Ribo-seq,G2019S/D1994A LRRK2,C57BL/6,striatum,3 months old,G2019S/D1994A LRRK2 TG,GSM5111949
SRR13794634,56930058,2846502900,50,1681,SRX10179659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328800,SAMN18075464,simple,10090,Mus musculus,GSM5111950,GEO,SRA1200634,02,2021,Kim,Non-transgenic control,STR_Non-transgenic_control_1_mRNA-seq,Non-transgenic control,C57BL/6,striatum,3 months old,wild-type,GSM5111950
SRR13794635,71652620,3582631000,50,2086,SRX10179660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328798,SAMN18075463,simple,10090,Mus musculus,GSM5111951,GEO,SRA1200634,02,2021,Kim,Non-transgenic control,STR_Non-transgenic_control_2_mRNA-seq,Non-transgenic control,C57BL/6,striatum,3 months old,wild-type,GSM5111951
SRR13794636,59537694,2976884700,50,1888,SRX10179661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328799,SAMN18075462,simple,10090,Mus musculus,GSM5111952,GEO,SRA1200634,02,2021,Kim,Non-transgenic control,STR_Non-transgenic_control_3_mRNA-seq,Non-transgenic control,C57BL/6,striatum,3 months old,wild-type,GSM5111952
SRR13794637,56289880,2814494000,50,1647,SRX10179662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328801,SAMN18075461,simple,10090,Mus musculus,GSM5111953,GEO,SRA1200634,02,2021,Kim,G2019S LRRK2,STR_G2019S_LRRK2_1_mRNA-seq,G2019S LRRK2,C57BL/6,striatum,3 months old,G2019S LRRK2 TG,GSM5111953
SRR13794638,66684288,3334214400,50,2114,SRX10179663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328802,SAMN18075460,simple,10090,Mus musculus,GSM5111954,GEO,SRA1200634,02,2021,Kim,G2019S LRRK2,STR_G2019S_LRRK2_2_mRNA-seq,G2019S LRRK2,C57BL/6,striatum,3 months old,G2019S LRRK2 TG,GSM5111954
SRR13794639,87523600,4376180000,50,2562,SRX10179664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328804,SAMN18075489,simple,10090,Mus musculus,GSM5111955,GEO,SRA1200634,02,2021,Kim,G2019S/D1994A LRRK2,STR_G2019S/D1994A_LRRK2_1_mRNA-seq,G2019S/D1994A LRRK2,C57BL/6,striatum,3 months old,G2019S/D1994A LRRK2 TG,GSM5111955
SRR13794640,52100272,2605013600,50,1645,SRX10179665,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328803,SAMN18075488,simple,10090,Mus musculus,GSM5111956,GEO,SRA1200634,02,2021,Kim,G2019S/D1994A LRRK2,STR_G2019S/D1994A_LRRK2_2_mRNA-seq,G2019S/D1994A LRRK2,C57BL/6,striatum,3 months old,G2019S/D1994A LRRK2 TG,GSM5111956
SRR13794641,3666586,99493539,27,44,SRX10179666,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328806,SAMN18075487,simple,10090,Mus musculus,GSM5111957,GEO,SRA1200634,02,2021,Kim,wild-type control,STR_wild-type_control_1_Ribo-seq,wild-type control,C57BL/6,striatum,3 months old,wild-type,GSM5111957
