Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,genotype,library prep,treatment,organism_source,GEO Accession
SRR7516853,33078401,2465152794,74,1154,SRX4386859,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543168,SAMN09652180,simple,10090,Mus musculus,GSM3267684,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,B6negQT1,DRG neuronal culture,C57BL/6,4 weeks,WT,quant-seq protocol,naive,UT Dallas,GSM3267684
SRR7516854,47447515,3536183480,74,1649,SRX4386860,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543185,SAMN09652179,simple,10090,Mus musculus,GSM3267685,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,SWnegQT1,DRG neuronal culture,Swiss Webster,4 weeks,WT,quant-seq protocol,naive,Taconic,GSM3267685
SRR7516855,31100874,2317054300,74,1089,SRX4386861,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543169,SAMN09652178,simple,10090,Mus musculus,GSM3267686,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,SWnegQT2,DRG neuronal culture,Swiss Webster,4 weeks,WT,quant-seq protocol,naive,Taconic,GSM3267686
SRR7516856,52805699,2692492525,50,1299,SRX4386862,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543170,SAMN09652177,simple,10090,Mus musculus,GSM3267687,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,B6negRPF1,DRG neuronal culture,C57BL/6,4 weeks,WT,ribosome profiling,naive,UT Dallas,GSM3267687
SRR7516857,44277057,2248311917,50,1085,SRX4386863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543171,SAMN09652176,simple,10090,Mus musculus,GSM3267688,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,B6negRPF2,DRG neuronal culture,C57BL/6,4 weeks,WT,ribosome profiling,naive,UT Dallas,GSM3267688
SRR7516858,35040132,1735395243,49,834,SRX4386864,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543182,SAMN09652175,simple,10090,Mus musculus,GSM3267689,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,SWnegRPF1,DRG neuronal culture,Swiss Webster,4 weeks,WT,ribosome profiling,naive,Taconic,GSM3267689
SRR7516859,33228561,1655725413,49,797,SRX4386865,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543172,SAMN09652174,simple,10090,Mus musculus,GSM3267690,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,SWnegRPF2,DRG neuronal culture,Swiss Webster,4 weeks,WT,ribosome profiling,naive,Taconic,GSM3267690
SRR7516860,26840238,2000463657,74,936,SRX4386866,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543173,SAMN09652173,simple,10090,Mus musculus,GSM3267691,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,SWngfQT1,DRG neuronal culture,Swiss Webster,4 weeks,WT,quant-seq protocol,NGF/IL6,Taconic,GSM3267691
SRR7516861,29930326,2231041022,74,1038,SRX4386867,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543175,SAMN09652172,simple,10090,Mus musculus,GSM3267692,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,SWngfQT2,DRG neuronal culture,Swiss Webster,4 weeks,WT,quant-seq protocol,NGF/IL6,Taconic,GSM3267692
SRR7516862,28584058,2130876351,74,1000,SRX4386868,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP153254,PRJNA480907,1,"",SRS3543181,SAMN09652171,simple,10090,Mus musculus,GSM3267693,GEO,SRA738815,02,2020,Makar,DRG neuronal culture,SWngfQT3,DRG neuronal culture,Swiss Webster,4 weeks,WT,quant-seq protocol,NGF/IL6,Taconic,GSM3267693
