Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment
SRR21146250,101625018,7621876350,75,2079,SRX17157955,GSM6481496,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729643,SAMN30410518,simple,9606,Homo sapiens,GSM6481496,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shBP2-1, ribo, rep1",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shBP2-1
SRR21146249,98440903,7383067725,75,2015,SRX17157956,GSM6481497,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729644,SAMN30410517,simple,9606,Homo sapiens,GSM6481497,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shBP2-1, ribo, rep2",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shBP2-1
SRR21146248,107840986,8088073950,75,2197,SRX17157957,GSM6481498,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729645,SAMN30410516,simple,9606,Homo sapiens,GSM6481498,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shBP2-2, ribo, rep1",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shBP2-2
SRR21146247,106694097,8002057275,75,2192,SRX17157958,GSM6481499,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729646,SAMN30410515,simple,9606,Homo sapiens,GSM6481499,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shBP2-2, ribo, rep2",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shBP2-2
SRR21146246,111711842,8378388150,75,2297,SRX17157959,GSM6481500,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729647,SAMN30410514,simple,9606,Homo sapiens,GSM6481500,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shNS, ribo, rep1",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shNS
SRR21146245,109266905,8195017875,75,2231,SRX17157960,GSM6481501,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729648,SAMN30410513,simple,9606,Homo sapiens,GSM6481501,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shNS, ribo, rep2",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shNS
SRR21146244,42477062,12743118600,150,3955,SRX17157961,GSM6481502,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729649,SAMN30410512,simple,9606,Homo sapiens,GSM6481502,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shBP2-1, mRNA, rep1",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shBP2-1
SRR21146243,37832527,11349758100,150,3453,SRX17157962,GSM6481503,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729650,SAMN30410511,simple,9606,Homo sapiens,GSM6481503,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shBP2-1, mRNA, rep2",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shBP2-1
SRR21146242,43280678,12984203400,150,4021,SRX17157963,GSM6481504,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729651,SAMN30410510,simple,9606,Homo sapiens,GSM6481504,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shBP2-2, mRNA, rep1",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shBP2-2
SRR21146241,35236209,10570862700,150,3225,SRX17157964,GSM6481505,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729652,SAMN30410509,simple,9606,Homo sapiens,GSM6481505,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shBP2-2, mRNA, rep2",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shBP2-2
SRR21146240,20651506,6195451800,150,1919,SRX17157965,GSM6481506,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729653,SAMN30410508,simple,9606,Homo sapiens,GSM6481506,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shNS, mRNA, rep1",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shNS
SRR21146239,26950439,8085131700,150,2528,SRX17157966,GSM6481507,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393125,PRJNA871214,36306790,"",SRS14729654,SAMN30410507,simple,9606,Homo sapiens,GSM6481507,Guangzhou Laboratory,SRA1479839,11,2022,Weng,Human AML cell MonoMac6,"MM6, shNS, mRNA, rep2",Human AML cell MonoMac6,MonoMac6,Human acute myeloid leukemia (AML) cells,shNS
