Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,GEO Accession
SRR3665647,16000000,8.16e+08,51,283,SRX1844153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503013,SAMN05244360,simple,10090,Mus musculus,GSM2199581,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 0,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,P4,GSM2199581
SRR3665648,16000000,8.16e+08,51,295,SRX1844153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503013,SAMN05244360,simple,10090,Mus musculus,GSM2199581,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 0,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,P4,GSM2199582
SRR3665649,15885670,810169170,51,286,SRX1844153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503013,SAMN05244360,simple,10090,Mus musculus,GSM2199581,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 0,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,P4,GSM2199583
SRR3665650,16000000,8.16e+08,51,519,SRX1844153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503013,SAMN05244360,simple,10090,Mus musculus,GSM2199581,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 0,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,P4,GSM2199584
SRR3665651,16000000,8.16e+08,51,523,SRX1844153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503013,SAMN05244360,simple,10090,Mus musculus,GSM2199581,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 0,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,P4,GSM2199585
SRR3665652,16000000,8.16e+08,51,526,SRX1844153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503013,SAMN05244360,simple,10090,Mus musculus,GSM2199581,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 0,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,P4,GSM2199586
SRR3665653,4220352,215237952,51,145,SRX1844153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503013,SAMN05244360,simple,10090,Mus musculus,GSM2199581,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 0,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199587
SRR3665654,12637869,644531319,51,416,SRX1844153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503013,SAMN05244360,simple,10090,Mus musculus,GSM2199581,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 0,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199588
SRR3665655,16000000,8.16e+08,51,530,SRX1844154,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503012,SAMN05244361,simple,10090,Mus musculus,GSM2199582,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 1,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199589
SRR3665656,16000000,8.16e+08,51,288,SRX1844154,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503012,SAMN05244361,simple,10090,Mus musculus,GSM2199582,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 1,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199590
