Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,genotype,GEO Accession
SRR3746512,75346975,3767348750,50,2612,SRX1900388,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543182,SAMN05363365,simple,10090,Mus musculus,GSM2227367,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Secisbp2 wild type Rep1 (ribo-seq),Liver,liver,5-8 weeks,wild type,GSM2227367
SRR3746513,99289099,4964454950,50,3216,SRX1900389,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543183,SAMN05363366,simple,10090,Mus musculus,GSM2227368,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Secisbp2 wild type Rep2 (ribo-seq),Liver,liver,5-8 weeks,wild type,GSM2227368
SRR3746514,196307988,9815399400,50,6238,SRX1900390,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543184,SAMN05363367,simple,10090,Mus musculus,GSM2227369,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Secisbp2 knockout Rep1 (ribo-seq),Liver,liver,5-8 weeks,Alb-Cre; Secisbp2fl/fl,GSM2227369
SRR3746515,195868237,9793411850,50,6207,SRX1900391,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543185,SAMN05363368,simple,10090,Mus musculus,GSM2227370,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Secisbp2 knockout Rep2 (ribo-seq),Liver,liver,5-8 weeks,Alb-Cre; Secisbp2fl/fl,GSM2227370
SRR3746516,43574710,2178735500,50,1487,SRX1900392,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543186,SAMN05363369,simple,10090,Mus musculus,GSM2227371,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp wild type Rep1 (ribo-seq),Liver,liver,5-8 weeks,wild type,GSM2227371
SRR3746517,52794074,2639703700,50,1744,SRX1900393,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543187,SAMN05363370,simple,10090,Mus musculus,GSM2227372,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp wild type Rep2 (ribo-seq),Liver,liver,5-8 weeks,wild type,GSM2227372
SRR3746518,57322780,2866139000,50,1923,SRX1900394,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543188,SAMN05363371,simple,10090,Mus musculus,GSM2227373,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp wild type Rep3 (ribo-seq),Liver,liver,5-8 weeks,wild type,GSM2227373
SRR3746519,78607154,3930357700,50,2630,SRX1900395,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543190,SAMN05363372,simple,10090,Mus musculus,GSM2227374,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp knockout Rep1 (ribo-seq),Liver,liver,5-8 weeks,Alb-Cre; Trspfl/fl,GSM2227374
SRR3746520,87053235,4352661750,50,2985,SRX1900396,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543189,SAMN05363373,simple,10090,Mus musculus,GSM2227375,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp knockout Rep2 (ribo-seq),Liver,liver,5-8 weeks,Alb-Cre; Trspfl/fl,GSM2227375
SRR3746521,82985069,4149253450,50,2680,SRX1900397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543191,SAMN05363374,simple,10090,Mus musculus,GSM2227376,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Secisbp2 wild type Rep1 (rna-seq),Liver,liver,5-8 weeks,wild type,GSM2227376
SRR3746522,97730652,4886532600,50,2980,SRX1900398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543193,SAMN05363375,simple,10090,Mus musculus,GSM2227377,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Secisbp2 wild type Rep2 (rna-seq),Liver,liver,5-8 weeks,wild type,GSM2227377
SRR3746523,113252748,5662637400,50,3669,SRX1900399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543192,SAMN05363376,simple,10090,Mus musculus,GSM2227378,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Secisbp2 knockout Rep1 (rna-seq),Liver,liver,5-8 weeks,Alb-Cre; Secisbp2fl/fl,GSM2227378
SRR3746524,111485631,5574281550,50,3559,SRX1900400,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543194,SAMN05363377,simple,10090,Mus musculus,GSM2227379,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Secisbp2 knockout Rep2 (rna-seq),Liver,liver,5-8 weeks,Alb-Cre; Secisbp2fl/fl,GSM2227379
SRR3746525,59859802,2992990100,50,2008,SRX1900401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543195,SAMN05363378,simple,10090,Mus musculus,GSM2227380,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp wild type Rep1 (rna-seq),Liver,liver,5-8 weeks,wild type,GSM2227380
SRR3746526,64075912,3203795600,50,2135,SRX1900402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543196,SAMN05363379,simple,10090,Mus musculus,GSM2227381,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp wild type Rep2 (rna-seq),Liver,liver,5-8 weeks,wild type,GSM2227381
SRR3746527,62060243,3103012150,50,2061,SRX1900403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543197,SAMN05363380,simple,10090,Mus musculus,GSM2227382,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp wild type Rep3 (rna-seq),Liver,liver,5-8 weeks,wild type,GSM2227382
SRR3746528,102997685,5149884250,50,3430,SRX1900404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543198,SAMN05363381,simple,10090,Mus musculus,GSM2227383,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp knockout Rep1 (rna-seq),Liver,liver,5-8 weeks,Alb-Cre; Trspfl/fl,GSM2227383
SRR3746529,83540308,4177015400,50,2817,SRX1900405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP078005,PRJNA328042,27956496,"",SRS1543199,SAMN05363382,simple,10090,Mus musculus,GSM2227384,GEO,SRA438302,10,2016,Fradejas-Villar,Liver,Trsp knockout Rep2 (rna-seq),Liver,liver,5-8 weeks,Alb-Cre; Trspfl/fl,GSM2227384
