Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype,treatment,molecule type,GEO Accession
SRR11866762,114581063,14950989060,65,4821,SRX8417127,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728490,SAMN15047559,simple,4932,Saccharomyces cerevisiae,GSM4576284,GEO,SRA1080749,09,2021,Makar,wild type_unstressed (control),mrna_wt_control_rep1,wild type_unstressed (control),BY4741,wild type,unstressed (control),,GSM4576284
SRR11866763,90838980,11854521534,65,3818,SRX8417128,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728491,SAMN15047598,simple,4932,Saccharomyces cerevisiae,GSM4576285,GEO,SRA1080749,09,2021,Makar,wild type_unstressed (control),mrna_wt_control_rep2,wild type_unstressed (control),BY4741,wild type,unstressed (control),,GSM4576285
SRR11866764,80224266,10469287672,65,3354,SRX8417129,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728492,SAMN15047597,simple,4932,Saccharomyces cerevisiae,GSM4576286,GEO,SRA1080749,09,2021,Makar,wild type_oxidative-stress,mrna_wt_h2o2(+)_rep1,wild type_oxidative-stress,BY4741,wild type,oxidative-stress,,GSM4576286
SRR11866765,77479092,10092095080,65,3437,SRX8417130,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728493,SAMN15047596,simple,4932,Saccharomyces cerevisiae,GSM4576287,GEO,SRA1080749,09,2021,Makar,wild type_oxidative-stress,mrna_wt_h2o2(+)_rep2,wild type_oxidative-stress,BY4741,wild type,oxidative-stress,,GSM4576287
SRR11866766,112111125,14627645967,65,4732,SRX8417131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728494,SAMN15047595,simple,4932,Saccharomyces cerevisiae,GSM4576288,GEO,SRA1080749,09,2021,Makar,wild type_heat-shock stress,mrna_wt_heat_shock(+)_rep1,wild type_heat-shock stress,BY4741,wild type,heat-shock stress,,GSM4576288
SRR11866767,74596183,9714861969,65,3307,SRX8417132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728495,SAMN15047594,simple,4932,Saccharomyces cerevisiae,GSM4576289,GEO,SRA1080749,09,2021,Makar,wild type_heat-shock stress,mrna_wt_heat_shock(+)_rep2,wild type_heat-shock stress,BY4741,wild type,heat-shock stress,,GSM4576289
SRR11866768,111396239,14563081210,65,4675,SRX8417133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728496,SAMN15047593,simple,4932,Saccharomyces cerevisiae,GSM4576290,GEO,SRA1080749,09,2021,Makar,zuo1Δ_unstressed (control),mrna_zuo1KO_control_rep1,zuo1Δ_unstressed (control),BY4741,zuo1{delta},unstressed (control),,GSM4576290
SRR11866769,93612437,12232400416,65,3856,SRX8417134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728497,SAMN15047592,simple,4932,Saccharomyces cerevisiae,GSM4576291,GEO,SRA1080749,09,2021,Makar,zuo1Δ_unstressed (control),mrna_zuo1KO_control_rep2,zuo1Δ_unstressed (control),BY4741,zuo1{delta},unstressed (control),,GSM4576291
SRR11866770,91809584,12006576254,65,3821,SRX8417135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728498,SAMN15047591,simple,4932,Saccharomyces cerevisiae,GSM4576292,GEO,SRA1080749,09,2021,Makar,zuo1Δ_oxidative-stress,mrna_zuo1KO_h2o2(+)_rep1,zuo1Δ_oxidative-stress,BY4741,zuo1{delta},oxidative-stress,,GSM4576292
SRR11866771,81403144,10611597892,65,3595,SRX8417136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728499,SAMN15047590,simple,4932,Saccharomyces cerevisiae,GSM4576293,GEO,SRA1080749,09,2021,Makar,zuo1Δ_oxidative-stress,mrna_zuo1KO_h2o2(+)_rep2,zuo1Δ_oxidative-stress,BY4741,zuo1{delta},oxidative-stress,,GSM4576293
