Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype/variation,cellular compartment,replicate,GEO Accession
SRR11505164,17343078,2636147856,76,1001,SRX8077292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445750,SAMN14554481,simple,9606,Homo sapiens,GSM4458901,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from C_293_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP WT,Cytosol,replicate 1,GSM4458901
SRR11505165,14036921,2133611992,76,747,SRX8077293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445748,SAMN14554480,simple,9606,Homo sapiens,GSM4458902,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from C_293_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP WT,Cytosol,replicate 2,GSM4458902
SRR11505166,19514395,2966188040,76,1035,SRX8077294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445749,SAMN14554479,simple,9606,Homo sapiens,GSM4458903,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from C_2A15_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 1,Cytosol,replicate 1,GSM4458903
SRR11505167,17299604,2629539808,76,916,SRX8077295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445751,SAMN14554478,simple,9606,Homo sapiens,GSM4458904,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from C_2A15_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 1,Cytosol,replicate 2,GSM4458904
SRR11505168,21971839,3339719528,76,1171,SRX8077296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445752,SAMN14554477,simple,9606,Homo sapiens,GSM4458905,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from C_3C2_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 2,Cytosol,replicate 1,GSM4458905
SRR11505169,19070657,2898739864,76,1010,SRX8077297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445754,SAMN14554520,simple,9606,Homo sapiens,GSM4458906,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from C_3C2_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 2,Cytosol,replicate 2,GSM4458906
SRR11505170,20509205,3117399160,76,1090,SRX8077298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445753,SAMN14554519,simple,9606,Homo sapiens,GSM4458907,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from M_293_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP WT,Membrane,replicate 1,GSM4458907
SRR11505171,17382703,2642170856,76,919,SRX8077299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445755,SAMN14554517,simple,9606,Homo sapiens,GSM4458908,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from M_293_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP WT,Membrane,replicate 2,GSM4458908
SRR11505172,12767336,1940635072,76,683,SRX8077300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445757,SAMN14554516,simple,9606,Homo sapiens,GSM4458909,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from M_2A15_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 1,Membrane,replicate 1,GSM4458909
SRR11505173,17969885,2731422520,76,959,SRX8077301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445756,SAMN14554515,simple,9606,Homo sapiens,GSM4458910,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from M_2A15_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 1,Membrane,replicate 2,GSM4458910
SRR11505174,11406250,1733750000,76,628,SRX8077302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445758,SAMN14554514,simple,9606,Homo sapiens,GSM4458911,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from M_3C2_1,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 2,Membrane,replicate 1,GSM4458911
SRR11505175,21315636,3239976672,76,1127,SRX8077303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255635,PRJNA623610,35585045,"",SRS6445759,SAMN14554513,simple,9606,Homo sapiens,GSM4458912,GEO,SRA1063636,02,2022,Zinnall,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T rna-seq from M_3C2_2,HEK293 Flp-In T-REx embryonic kidney cell line,HEK293T,HDLBP knockout guide 2,Membrane,replicate 2,GSM4458912
