Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,rpl15 overexpressing,GEO Accession
SRR10883800,1453405,216628077,74,79,SRX7552800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990224,SAMN13842333,simple,9606,Homo sapiens,GSM4263930,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-pLX304-1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,GSM4263930
SRR10883801,1479644,220649703,74,80,SRX7552800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990224,SAMN13842333,simple,9606,Homo sapiens,GSM4263930,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-pLX304-1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,GSM4263931
SRR10883802,1423693,212260203,74,78,SRX7552800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990224,SAMN13842333,simple,9606,Homo sapiens,GSM4263930,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-pLX304-1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,GSM4263932
SRR10883803,1407799,209915262,74,77,SRX7552800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990224,SAMN13842333,simple,9606,Homo sapiens,GSM4263930,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-pLX304-1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,GSM4263933
SRR10883804,1212075,180034990,74,65,SRX7552801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990225,SAMN13842332,simple,9606,Homo sapiens,GSM4263931,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-pLX304-2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,GSM4263930
SRR10883805,1228649,182606680,74,66,SRX7552801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990225,SAMN13842332,simple,9606,Homo sapiens,GSM4263931,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-pLX304-2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,GSM4263931
SRR10883806,1191416,177029895,74,65,SRX7552801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990225,SAMN13842332,simple,9606,Homo sapiens,GSM4263931,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-pLX304-2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,GSM4263932
SRR10883807,1189535,176752229,74,65,SRX7552801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990225,SAMN13842332,simple,9606,Homo sapiens,GSM4263931,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-pLX304-2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,GSM4263933
SRR10883808,1167214,174077447,74,63,SRX7552802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990226,SAMN13842331,simple,9606,Homo sapiens,GSM4263932,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-RPL15-overexpression-1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,GSM4263930
SRR10883809,1195806,178427074,74,65,SRX7552802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990226,SAMN13842331,simple,9606,Homo sapiens,GSM4263932,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-RPL15-overexpression-1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,GSM4263931
SRR10883810,1149069,171408155,74,62,SRX7552802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990226,SAMN13842331,simple,9606,Homo sapiens,GSM4263932,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-RPL15-overexpression-1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,GSM4263932
SRR10883811,1138042,169743204,74,62,SRX7552802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990226,SAMN13842331,simple,9606,Homo sapiens,GSM4263932,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-RPL15-overexpression-1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,GSM4263933
SRR10883812,1045886,155906624,74,57,SRX7552803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990227,SAMN13842330,simple,9606,Homo sapiens,GSM4263933,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-RPL15-overexpression-2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,GSM4263930
SRR10883813,1071962,159851444,74,58,SRX7552803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990227,SAMN13842330,simple,9606,Homo sapiens,GSM4263933,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-RPL15-overexpression-2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,GSM4263931
SRR10883814,1031337,153757637,74,56,SRX7552803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990227,SAMN13842330,simple,9606,Homo sapiens,GSM4263933,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-RPL15-overexpression-2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,GSM4263932
SRR10883815,1019380,151963548,74,56,SRX7552803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP241900,PRJNA601134,32029688,"",SRS5990227,SAMN13842330,simple,9606,Homo sapiens,GSM4263933,GEO,SRA1026012,02,2020,Ebright,circulating tumor cell - derived cell line,BRx142-RPL15-overexpression-2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,GSM4263933
