Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,cell type,genotype,Sex,GEO Accession
SRR12228554,21742032,1108843632,51,742,SRX8737130,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009729,SAMN15543519,simple,10090,Mus musculus,GSM4672165,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT1,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672165
SRR12228555,21785312,1111050912,51,745,SRX8737130,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009729,SAMN15543519,simple,10090,Mus musculus,GSM4672165,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT1,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672166
SRR12228556,16981958,866079858,51,574,SRX8737131,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009730,SAMN15543518,simple,10090,Mus musculus,GSM4672166,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT2,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672167
SRR12228557,17080990,871130490,51,578,SRX8737131,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009730,SAMN15543518,simple,10090,Mus musculus,GSM4672166,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT2,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672168
SRR12228558,19428865,990872115,51,662,SRX8737132,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009731,SAMN15543517,simple,10090,Mus musculus,GSM4672167,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT4,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672169
SRR12228559,19563287,997727637,51,668,SRX8737132,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009731,SAMN15543517,simple,10090,Mus musculus,GSM4672167,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT4,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672165
SRR12228560,22284942,1136532042,51,757,SRX8737133,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009732,SAMN15543516,simple,10090,Mus musculus,GSM4672168,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT5,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672166
SRR12228561,22498055,1147400805,51,766,SRX8737133,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009732,SAMN15543516,simple,10090,Mus musculus,GSM4672168,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT5,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672167
SRR12228562,18724122,954930222,51,635,SRX8737134,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009733,SAMN15543520,simple,10090,Mus musculus,GSM4672169,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT6,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672168
SRR12228563,18842587,960971937,51,640,SRX8737134,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP272078,PRJNA646476,33970232,"",SRS7009733,SAMN15543520,simple,10090,Mus musculus,GSM4672169,GEO,SRA1099399,04,2021,Hu,Activated CD19+ B cells,Ribo-seq WT6,Activated CD19+ B cells,C57BL/6,Peripheral and mesenteric LN,LN CD19+ B cells,Zfp36l1 (fl/fl) control,female,GSM4672169
