Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth medium,GEO Accession
SRR13142683,10827903,541395150,50,205,SRX9583134,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787034,SAMN16913796,simple,1423,Bacillus subtilis,GSM4944068,GEO,SRA1163809,11,2020,Lalanne,Bacteria,rend5_GLB452,Bacteria,"GLB452, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 500 uM IPTG",GSM4944068
SRR13142684,22973133,1148656650,50,450,SRX9583135,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787035,SAMN16913795,simple,1423,Bacillus subtilis,GSM4944069,GEO,SRA1163809,11,2020,Lalanne,Bacteria,rend_CRISPRi_RF1,Bacteria,"CRISPRi targeting RF1, CAG74829 , lacA::Pxyl-dcas9(ErmR), amyE::Pveg-sgRNA_prfA(CmR)",LB with 0.04% w/v xylose,GSM4944069
SRR13142685,27676912,1383845600,50,539,SRX9583136,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787036,SAMN16913794,simple,1423,Bacillus subtilis,GSM4944070,GEO,SRA1163809,11,2020,Lalanne,Bacteria,rend_CRISPRi_RF2,Bacteria,"CRISPRi targeting RF2, CAG74815, lacA::Pxyl-dcas9(ErmR), amyE::Pveg-sgRNA_prfB(CmR)",LB with 0.05% w/v xylose,GSM4944070
SRR13142686,12318910,615945500,50,348,SRX9583137,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP294161,PRJNA680784,33900014,"",SRS7787037,SAMN16913793,simple,1423,Bacillus subtilis,GSM4944071,GEO,SRA1163809,11,2020,Lalanne,Bacteria,rend_GLB372,Bacteria,"GLB372, see Data S1 in paper for strain details",LB,GSM4944071
SRR13142687,116594124,5829706200,50,3504,SRX9583138,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP294161,PRJNA680784,33900014,"",SRS7787038,SAMN16913792,simple,1423,Bacillus subtilis,GSM4944072,GEO,SRA1163809,11,2020,Lalanne,Bacteria,rend_LB_GLB115,Bacteria,"GLB115, see Data S1 in paper for strain details",LB,GSM4944072
SRR13142688,2032760,101638000,50,38,SRX9583139,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787039,SAMN16913791,simple,1423,Bacillus subtilis,GSM4944073,GEO,SRA1163809,11,2020,Lalanne,Bacteria,rend_MCC1_GLB115,Bacteria,"GLB115, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol",GSM4944073
SRR13142689,3519043,175952150,50,65,SRX9583140,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787040,SAMN16913790,simple,1423,Bacillus subtilis,GSM4944074,GEO,SRA1163809,11,2020,Lalanne,Bacteria,rend_MCC2_GLB115,Bacteria,"GLB115, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 500 uM IPTG, 0.5% w/v xylose",GSM4944074
SRR13142690,9794324,489716200,50,186,SRX9583141,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787041,SAMN16913789,simple,1423,Bacillus subtilis,GSM4944075,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo1_GLB452,Bacteria,"GLB452, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 10 uM IPTG",GSM4944075
SRR13142691,25441007,1272050350,50,559,SRX9583142,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787042,SAMN16913788,simple,1423,Bacillus subtilis,GSM4944076,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo1_GLB455,Bacteria,"GLB455, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 0.2% w/v xylose, 100 uM IPTG",GSM4944076
SRR13142692,11327309,566365450,50,215,SRX9583143,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787043,SAMN16913787,simple,1423,Bacillus subtilis,GSM4944077,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo2_GLB452,Bacteria,"GLB452, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 500 uM IPTG, 0.5% w/v xylose",GSM4944077
SRR13142693,22321569,1116078450,50,492,SRX9583144,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787044,SAMN16913786,simple,1423,Bacillus subtilis,GSM4944078,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo2_GLB455,Bacteria,"GLB455, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 1 mM IPTG, 0.5% w/v xylose",GSM4944078
SRR13142694,11215751,560787550,50,216,SRX9583145,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787046,SAMN16913785,simple,1423,Bacillus subtilis,GSM4944079,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo3_GLB452,Bacteria,"GLB452, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 10 uM IPTG, 0.5% w/v xylose",GSM4944079
SRR13142695,10505024,525251200,50,199,SRX9583146,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787045,SAMN16913784,simple,1423,Bacillus subtilis,GSM4944080,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo4_GLB452,Bacteria,"GLB452, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 25 uM IPTG, 0.015% w/v xylose",GSM4944080
SRR13142696,12102237,605111850,50,229,SRX9583147,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787047,SAMN16913783,simple,1423,Bacillus subtilis,GSM4944081,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo5_GLB452,Bacteria,"GLB452, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 500 uM IPTG",GSM4944081
SRR13142697,28065531,1403276550,50,549,SRX9583148,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787048,SAMN16913782,simple,1423,Bacillus subtilis,GSM4944082,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo_CRISPRi_RF1,Bacteria,"CRISPRi targeting RF1, CAG74829 , lacA::Pxyl-dcas9(ErmR), amyE::Pveg-sgRNA_prfA(CmR)",LB with 0.04% w/v xylose,GSM4944082
