Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,promotor driving flag,tissue,fraction
SRR17799078,35251104,10575331200,150,3575,SRX13961184,GSM5841608,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801297,SAMN25351907,simple,6239,Caenorhabditis elegans,GSM5841608,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,SKI TRIP from intestine,Intestine_IP.Rep_1,SKI TRIP from intestine,WBM1470,wbmIs131,:rpl-22: nep-17,Intestine,RNA from intestine-specific ribosome IP
SRR17799077,45392920,13617876000,150,4668,SRX13961185,GSM5841609,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801298,SAMN25351906,simple,6239,Caenorhabditis elegans,GSM5841609,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,SKI TRIP from intestine,Intestine_IP.Rep_2,SKI TRIP from intestine,WBM1470,wbmIs131,:rpl-22: nep-17,Intestine,RNA from intestine-specific ribosome IP
SRR17799076,47532408,14259722400,150,4771,SRX13961186,GSM5841610,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801299,SAMN25351905,simple,6239,Caenorhabditis elegans,GSM5841610,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,SKI TRIP from intestine,Intestine_IP.Rep_3,SKI TRIP from intestine,WBM1470,wbmIs131,:rpl-22: nep-17,Intestine,RNA from intestine-specific ribosome IP
SRR17799075,31009514,9302854200,150,3138,SRX13961187,GSM5841611,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801300,SAMN25351904,simple,6239,Caenorhabditis elegans,GSM5841611,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,Whole tissue lysate,Intestine_total.Rep_1,Whole tissue lysate,WBM1470,wbmIs131,:rpl-22: nep-17,All tissues,
SRR17799074,57625444,17287633200,150,5891,SRX13961188,GSM5841612,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801301,SAMN25351903,simple,6239,Caenorhabditis elegans,GSM5841612,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,Whole tissue lysate,Intestine_total.Rep_2,Whole tissue lysate,WBM1470,wbmIs131,:rpl-22: nep-17,All tissues,
SRR17799073,39456938,11837081400,150,3950,SRX13961189,GSM5841613,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801302,SAMN25351902,simple,6239,Caenorhabditis elegans,GSM5841613,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,Whole tissue lysate,Intestine_total.Rep_3,Whole tissue lysate,WBM1470,wbmIs131,:rpl-22: nep-17,All tissues,
SRR17799072,38719967,11615990100,150,3913,SRX13961190,GSM5841614,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801303,SAMN25351901,simple,6239,Caenorhabditis elegans,GSM5841614,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,SKI TRIP from muscle,Muscle_IP.Rep_1,SKI TRIP from muscle,WBM1339,wbmIs118,:rpl-22: myo-3,Muscle,RNA from muscle-specific ribosome IP
SRR17799071,84148628,25244588400,150,8469,SRX13961191,GSM5841615,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801304,SAMN25351900,simple,6239,Caenorhabditis elegans,GSM5841615,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,SKI TRIP from muscle,Muscle_IP.Rep_2,SKI TRIP from muscle,WBM1339,wbmIs118,:rpl-22: myo-3,Muscle,RNA from muscle-specific ribosome IP
SRR17799070,40223876,12067162800,150,4089,SRX13961192,GSM5841616,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801305,SAMN25351899,simple,6239,Caenorhabditis elegans,GSM5841616,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,SKI TRIP from muscle,Muscle_IP.Rep_3,SKI TRIP from muscle,WBM1339,wbmIs118,:rpl-22: myo-3,Muscle,RNA from muscle-specific ribosome IP
SRR17799069,64944478,19483343400,150,6486,SRX13961193,GSM5841617,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357164,PRJNA801467,37056370,"",SRS11801306,SAMN25351898,simple,6239,Caenorhabditis elegans,GSM5841617,Harvard T.H. Chan School of Public,SRA1363890,01,2022,Wester,Whole tissue lysate,Muscle_total.Rep_1,Whole tissue lysate,WBM1339,wbmIs118,:rpl-22: myo-3,All tissues,
