Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,infection,cell type,molecule,GEO Accession
SRR5859396,44531109,2271086559,51,1493,SRX3028093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377083,SAMN07376410,simple,9606,Homo sapiens,GSM2714725,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RPF control rep2,A549 epithelial cells,control,A549 cells,RPF,GSM2714725
SRR5859397,23143093,1180297743,51,725,SRX3028094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377084,SAMN07376409,simple,9606,Homo sapiens,GSM2714726,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RPF PR8[delta]NS1 rep2,A549 epithelial cells,H1N1 PR8[delta]NS1,A549 cells,RPF,GSM2714726
SRR5859398,38197802,1948087902,51,1280,SRX3028095,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377085,SAMN07376408,simple,9606,Homo sapiens,GSM2714727,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RPF mock rep2,A549 epithelial cells,mock,A549 cells,RPF,GSM2714727
SRR5859399,23401637,1193483487,51,726,SRX3028096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377086,SAMN07376407,simple,9606,Homo sapiens,GSM2714728,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RPF PR8 rep2,A549 epithelial cells,H1N1 PR8,A549 cells,RPF,GSM2714728
SRR5859400,35989100,1835444100,51,1188,SRX3028097,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377087,SAMN07376406,simple,9606,Homo sapiens,GSM2714729,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RNA control rep2,A549 epithelial cells,control,A549 cells,total RNA,GSM2714729
SRR5859401,25252886,1287897186,51,777,SRX3028098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377088,SAMN07376405,simple,9606,Homo sapiens,GSM2714730,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RNA PR8[delta]NS1 rep2,A549 epithelial cells,H1N1 PR8[delta]NS1,A549 cells,total RNA,GSM2714730
SRR5859402,43120583,2199149733,51,1411,SRX3028099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377089,SAMN07376404,simple,9606,Homo sapiens,GSM2714731,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RNA mock rep2,A549 epithelial cells,mock,A549 cells,total RNA,GSM2714731
SRR5859403,26822141,1367929191,51,811,SRX3028100,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377090,SAMN07376403,simple,9606,Homo sapiens,GSM2714732,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RNA PR8 rep2,A549 epithelial cells,H1N1 PR8,A549 cells,total RNA,GSM2714732
SRR5859404,28834688,1470569088,51,929,SRX3028101,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377091,SAMN07376402,simple,9606,Homo sapiens,GSM2714733,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RNA PR8[delta]NS1 rep1,A549 epithelial cells,H1N1 PR8[delta]NS1,A549 cells,total RNA,GSM2714733
SRR5859405,22039143,1123996293,51,696,SRX3028102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377092,SAMN07376401,simple,9606,Homo sapiens,GSM2714734,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RNA control rep1,A549 epithelial cells,none,A549 cells,total RNA,GSM2714734
SRR5859406,19979773,1018968423,51,641,SRX3028103,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377093,SAMN07376400,simple,9606,Homo sapiens,GSM2714735,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RNA PR8 rep1,A549 epithelial cells,H1N1 PR8,A549 cells,total RNA,GSM2714735
SRR5859407,32197639,1642079589,51,1004,SRX3028104,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377094,SAMN07376399,simple,9606,Homo sapiens,GSM2714736,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RNA mock rep1,A549 epithelial cells,mock,A549 cells,total RNA,GSM2714736
SRR5859408,51484285,2625698535,51,1694,SRX3028105,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377096,SAMN07376398,simple,9606,Homo sapiens,GSM2714737,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RPF PR8[delta]NS1 rep1,A549 epithelial cells,H1N1 PR8[delta]NS1,A549 cells,RPF,GSM2714737
SRR5859409,35036181,1786845231,51,1138,SRX3028106,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377095,SAMN07376397,simple,9606,Homo sapiens,GSM2714738,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RPF control rep1,A549 epithelial cells,control,A549 cells,RPF,GSM2714738
SRR5859410,46789389,2386258839,51,1525,SRX3028107,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377097,SAMN07376395,simple,9606,Homo sapiens,GSM2714739,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RPF PR8 rep1,A549 epithelial cells,H1N1 PR8,A549 cells,RPF,GSM2714739
SRR5859411,35573222,1814234322,51,1140,SRX3028108,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113333,PRJNA395384,28825667,"",SRS2377098,SAMN07376396,simple,9606,Homo sapiens,GSM2714740,GEO,SRA590207,07,2017,Razooky,A549 epithelial cells,RPF mock rep1,A549 epithelial cells,mock,A549 cells,RPF,GSM2714740
