Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,BioSampleModel
SRR5861937,32685660,1666968660,51,681,SRX3030591,LN229_OE4_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379480,SAMN07410437,simple,9606,Homo sapiens,LN229_OE4_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 OE rep 4,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR5861936,38904093,1984108743,51,847,SRX3030592,LN229_OE5_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379481,SAMN07410438,simple,9606,Homo sapiens,LN229_OE5_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 OE rep 5,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR5861935,51233765,2612922015,51,1116,SRX3030593,LN229_EV1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379482,SAMN07410429,simple,9606,Homo sapiens,LN229_EV1_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 EV rep 1,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR5861934,42767695,2181152445,51,916,SRX3030594,LN229_EV2_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379483,SAMN07410430,simple,9606,Homo sapiens,LN229_EV2_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 EV rep 2,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR5861933,46986270,2396299770,51,1017,SRX3030595,LN229_EV3_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379484,SAMN07410431,simple,9606,Homo sapiens,LN229_EV3_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 EV rep 3,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR5861932,35992488,1835616888,51,745,SRX3030596,LN229_EV4_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379485,SAMN07410432,simple,9606,Homo sapiens,LN229_EV4_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 EV rep 4,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR5861931,41158199,2099068149,51,857,SRX3030597,LN229_EV5_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379486,SAMN07410433,simple,9606,Homo sapiens,LN229_EV5_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 EV rep 5,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR5861930,38469119,1961925069,51,813,SRX3030598,LN229_OE1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379487,SAMN07410434,simple,9606,Homo sapiens,LN229_OE1_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 OE rep 1,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR5861929,38337818,1955228718,51,818,SRX3030599,LN229_OE2_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379488,SAMN07410435,simple,9606,Homo sapiens,LN229_OE2_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 OE rep 2,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR5861928,37525436,1913797236,51,773,SRX3030600,LN229_OE3_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS2379489,SAMN07410436,simple,9606,Homo sapiens,LN229_OE3_RBSeq,IDIBELL,SRA590540,12,2018,Makar,"","",LN229 OE rep 3,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7633008,39900006,2034900306,51,896,SRX4496720,LN229ST_EV1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617788,SAMN09754463,simple,9606,Homo sapiens,LN229ST_EV1_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST EV rep 1,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7633007,41709907,2127205257,51,943,SRX4496721,LN229ST_EV2_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617789,SAMN09754464,simple,9606,Homo sapiens,LN229ST_EV2_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST EV rep 2,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7633006,42254368,2154972768,51,942,SRX4496722,LN229ST_EV3_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617790,SAMN09754465,simple,9606,Homo sapiens,LN229ST_EV3_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST EV rep 3,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7633005,39710756,2025248556,51,887,SRX4496723,LN229ST_EV4_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617791,SAMN09754466,simple,9606,Homo sapiens,LN229ST_EV4_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST EV rep 4,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7633004,37181161,1896239211,51,825,SRX4496724,LN229ST_EV5_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617792,SAMN09754467,simple,9606,Homo sapiens,LN229ST_EV5_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST EV rep 5,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7633003,43542351,2220659901,51,972,SRX4496725,LN229ST_OE1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617800,SAMN09754468,simple,9606,Homo sapiens,LN229ST_OE1_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST OE rep 1,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7633002,40966829,2089308279,51,918,SRX4496726,LN229ST_OE2_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617793,SAMN09754469,simple,9606,Homo sapiens,LN229ST_OE2_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST OE rep 2,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7633001,46693235,2381354985,51,1032,SRX4496727,LN229ST_OE3_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617794,SAMN09754470,simple,9606,Homo sapiens,LN229ST_OE3_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST OE rep 3,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7633000,41770070,2130273570,51,937,SRX4496728,LN229ST_OE4_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617808,SAMN09754471,simple,9606,Homo sapiens,LN229ST_OE4_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST OE rep 4,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7632999,45916734,2341753434,51,1016,SRX4496729,LN229ST_OE5_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617795,SAMN09754472,simple,9606,Homo sapiens,LN229ST_OE5_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",LN229ST OE rep 5,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,LN-229,Human
SRR7632998,47320115,2413325865,51,1054,SRX4496730,A172_OE4_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617796,SAMN09754481,simple,9606,Homo sapiens,A172_OE4_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 OE rep 4,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
SRR7632997,48813435,2489485185,51,1098,SRX4496731,A172_OE5_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617797,SAMN09754482,simple,9606,Homo sapiens,A172_OE5_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 OE rep 5,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
SRR7632996,42599307,2172564657,51,955,SRX4496732,A172_EV3_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617804,SAMN09754475,simple,9606,Homo sapiens,A172_EV3_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 EV rep 3,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
SRR7632995,44958365,2292876615,51,1005,SRX4496733,A172_EV4_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617798,SAMN09754476,simple,9606,Homo sapiens,A172_EV4_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 EV rep 4,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
