Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,time point,genotype,treatment,GEO Accession
SRR8397258,23051975,1734428333,75,661,SRX5206602,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211251,SAMN10695541,simple,10090,Mus musculus,GSM3543463,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,WT-BMAL1 FX Ctrl 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT5,WT;BMAL1fx,NA,GSM3543463
SRR8397259,14522106,1092626653,75,415,SRX5206603,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211252,SAMN10695540,simple,10090,Mus musculus,GSM3543464,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,WT-BMAL1 FX Ctrl 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT5,WT;BMAL1fx,NA,GSM3543464
SRR8397260,14231129,1071344779,75,410,SRX5206604,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211253,SAMN10695539,simple,10090,Mus musculus,GSM3543465,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP BMAL1 KO 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT5,AGRP-Cre;BMAL1fx,NA,GSM3543465
SRR8397261,15599166,1173976579,75,444,SRX5206605,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211254,SAMN10695538,simple,10090,Mus musculus,GSM3543466,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP BMAL1 KO 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT5,AGRP-Cre;BMAL1fx,NA,GSM3543466
SRR8397262,21222986,1597443909,75,610,SRX5206606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211255,SAMN10695524,simple,10090,Mus musculus,GSM3543467,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP BMAL1 KO 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT5,AGRP-Cre;BMAL1fx,NA,GSM3543467
SRR8397263,24358167,1831863227,75,821,SRX5206607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211256,SAMN10695523,simple,10090,Mus musculus,GSM3543468,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Ad Lib Fed ZT14 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;RiboTag,Ad Lib Diet,GSM3543468
SRR8397264,26160463,1967730219,75,877,SRX5206608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211257,SAMN10695522,simple,10090,Mus musculus,GSM3543469,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Ad Lib Fed ZT14 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;RiboTag,Ad Lib Diet,GSM3543469
SRR8397265,28139204,2112514015,75,936,SRX5206609,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211258,SAMN10695521,simple,10090,Mus musculus,GSM3543470,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Ad Lib Fed ZT14 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;RiboTag,Ad Lib Diet,GSM3543470
SRR8397266,24419220,1834938336,75,821,SRX5206610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211259,SAMN10695520,simple,10090,Mus musculus,GSM3543471,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Ad Lib Fed ZT14 Collection 4,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;RiboTag,Ad Lib Diet,GSM3543471
SRR8397267,22908502,1722086217,75,772,SRX5206611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211260,SAMN10695519,simple,10090,Mus musculus,GSM3543472,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Ad Lib Fed ZT2 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,AGRP-Cre;RiboTag,Ad Lib Diet,GSM3543472
SRR8397268,22633739,1702531688,75,766,SRX5206612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211261,SAMN10695518,simple,10090,Mus musculus,GSM3543473,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Ad Lib Fed ZT2 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,AGRP-Cre;RiboTag,Ad Lib Diet,GSM3543473
SRR8397269,19743092,1482807043,75,670,SRX5206613,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211262,SAMN10695517,simple,10090,Mus musculus,GSM3543474,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Ad Lib Fed ZT2 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,AGRP-Cre;RiboTag,Ad Lib Diet,GSM3543474
SRR8397270,16772574,1263184201,75,482,SRX5206614,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211263,SAMN10695516,simple,10090,Mus musculus,GSM3543475,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT14 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543475
SRR8397271,25737367,1934970991,75,732,SRX5206615,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211264,SAMN10695515,simple,10090,Mus musculus,GSM3543476,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT14 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543476
SRR8397272,16993845,1278678673,75,602,SRX5206616,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211265,SAMN10695514,simple,10090,Mus musculus,GSM3543477,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT14 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543477
SRR8397273,22057701,1661752370,75,778,SRX5206617,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211267,SAMN10695513,simple,10090,Mus musculus,GSM3543478,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT14 Collection 4,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543478
SRR8397274,17852229,1343673957,75,633,SRX5206618,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211266,SAMN10695512,simple,10090,Mus musculus,GSM3543479,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT14 Collection 5,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543479
