Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,ecotype/background,genotype/variation,tissue,age,GEO Accession
SRR8364225,66122823,3372263973,51,1434,SRX5174603,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182028,SAMN10637958,simple,3702,Arabidopsis thaliana,GSM3528176,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_R1_COL_0_rep1,9-day-old seedlings,Col-0,WT,Seedlings,9 days,GSM3528176
SRR8364226,73549974,3751048674,51,1581,SRX5174604,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182029,SAMN10637957,simple,3702,Arabidopsis thaliana,GSM3528177,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_R2_COL_0_rep2,9-day-old seedlings,Col-0,WT,Seedlings,9 days,GSM3528177
SRR8364227,83794571,4273523121,51,1818,SRX5174605,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182030,SAMN10637956,simple,3702,Arabidopsis thaliana,GSM3528178,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_R3_COL_0_rep3,9-day-old seedlings,Col-0,WT,Seedlings,9 days,GSM3528178
SRR8364228,64421003,3285471153,51,1409,SRX5174606,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182031,SAMN10637955,simple,3702,Arabidopsis thaliana,GSM3528179,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_R4_ceres1_rep1,9-day-old seedlings,Col-0,ceres-1,Seedlings,9 days,GSM3528179
SRR8364229,58687173,2993045823,51,1264,SRX5174607,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182032,SAMN10637954,simple,3702,Arabidopsis thaliana,GSM3528180,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_R5_ceres1_rep2,9-day-old seedlings,Col-0,ceres-1,Seedlings,9 days,GSM3528180
SRR8364230,74840599,3816870549,51,1616,SRX5174608,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182033,SAMN10637953,simple,3702,Arabidopsis thaliana,GSM3528181,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_R6_ceres1_rep3,9-day-old seedlings,Col-0,ceres-1,Seedlings,9 days,GSM3528181
SRR8364231,67905725,3463191975,51,1475,SRX5174609,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182034,SAMN10637952,simple,3702,Arabidopsis thaliana,GSM3528182,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_R7_ceres2_rep1,9-day-old seedlings,Col-0,ceres-2,Seedlings,9 days,GSM3528182
SRR8364232,66463807,3389654157,51,1431,SRX5174610,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182035,SAMN10637951,simple,3702,Arabidopsis thaliana,GSM3528183,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_R8_ceres2_rep2,9-day-old seedlings,Col-0,ceres-2,Seedlings,9 days,GSM3528183
SRR8364233,73467974,3746866674,51,1605,SRX5174611,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182036,SAMN10637950,simple,3702,Arabidopsis thaliana,GSM3528184,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_R9_ceres2_rep3,9-day-old seedlings,Col-0,ceres-2,Seedlings,9 days,GSM3528184
SRR8364234,31728716,1618164516,51,718,SRX5174612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP174236,PRJNA511473,31819221,"",SRS4182037,SAMN10637949,simple,3702,Arabidopsis thaliana,GSM3528185,GEO,SRA826356,12,2019,Toribio,9-day-old seedlings,S_T1_COL_0_rep1,9-day-old seedlings,Col-0,WT,Seedlings,9 days,GSM3528185
