Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,genotype,organism part,sample name,stimulus,strain,Experimental Factor: stimulus
ERR4164643,44308022,1559393175,35,559,ERX4129972,Ribo-seq Dneg 1_s,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575611,SAMEA6848014,simple,4932,Saccharomyces cerevisiae,SAMEA6848014,The University of Manchester,ERA2623621,10,2021,Makar,"",Ribo-seq Dneg 1,2021-04-28,2021-09-30,SAMEA6848014,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Ribo-seq Dneg 1,ArrayExpress,baker's yeast,wild type genotype,whole organism,E-MTAB-9094:Ribo-seq Dneg 1,glucose depletion,BY4741,glucose depletion
ERR4164644,91809487,3318605042,36,1395,ERX4129973,Ribo-seq Dneg 2_s,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575612,SAMEA6848015,simple,4932,Saccharomyces cerevisiae,SAMEA6848015,The University of Manchester,ERA2623621,10,2021,Makar,"",Ribo-seq Dneg 2,2021-04-28,2021-09-30,SAMEA6848015,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Ribo-seq Dneg 2,ArrayExpress,baker's yeast,MA6,whole organism,E-MTAB-9094:Ribo-seq Dneg 2,glucose depletion,BY4741,glucose depletion
ERR4164645,82119792,2937976868,35,1133,ERX4129974,Ribo-seq Dneg 3_s,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575613,SAMEA6848016,simple,4932,Saccharomyces cerevisiae,SAMEA6848016,The University of Manchester,ERA2623621,10,2021,Makar,"",Ribo-seq Dneg 3,2021-04-28,2021-09-30,SAMEA6848016,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Ribo-seq Dneg 3,ArrayExpress,baker's yeast,JL6,whole organism,E-MTAB-9094:Ribo-seq Dneg 3,glucose depletion,BY4741,glucose depletion
ERR4164646,11474890,402661976,35,143,ERX4129975,Ribo-seq untreated 1_s,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575614,SAMEA6848017,simple,4932,Saccharomyces cerevisiae,SAMEA6848017,The University of Manchester,ERA2623621,10,2021,Makar,"",Ribo-seq untreated 1,2021-04-28,2021-09-30,SAMEA6848017,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Ribo-seq untreated 1,ArrayExpress,baker's yeast,wild type genotype,whole organism,E-MTAB-9094:Ribo-seq untreated 1,,BY4741,none
ERR4164647,85150130,2996593751,35,1176,ERX4129976,Ribo-seq untreated 2_s,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575615,SAMEA6848018,simple,4932,Saccharomyces cerevisiae,SAMEA6848018,The University of Manchester,ERA2623621,10,2021,Makar,"",Ribo-seq untreated 2,2021-04-28,2021-09-30,SAMEA6848018,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Ribo-seq untreated 2,ArrayExpress,baker's yeast,MA4,whole organism,E-MTAB-9094:Ribo-seq untreated 2,,BY4741,none
ERR4164648,62562746,2269579658,36,879,ERX4129977,Ribo-seq untreated 3_s,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575616,SAMEA6848019,simple,4932,Saccharomyces cerevisiae,SAMEA6848019,The University of Manchester,ERA2623621,10,2021,Makar,"",Ribo-seq untreated 3,2021-04-28,2021-09-30,SAMEA6848019,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Ribo-seq untreated 3,ArrayExpress,baker's yeast,JL4,whole organism,E-MTAB-9094:Ribo-seq untreated 3,,BY4741,none
ERR4164649,127553214,4571678983,35,1812,ERX4129978,Total Dneg 1_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575617,SAMEA6848020,simple,4932,Saccharomyces cerevisiae,SAMEA6848020,The University of Manchester,ERA2623621,10,2021,Makar,"",Total Dneg 1,2021-04-28,2021-09-30,SAMEA6848020,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Total Dneg 1,ArrayExpress,baker's yeast,wild type genotype,whole organism,E-MTAB-9094:Total Dneg 1,glucose depletion,BY4741,glucose depletion
ERR4164650,54278826,2024907778,37,831,ERX4129979,Total Dneg 2_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575618,SAMEA6848021,simple,4932,Saccharomyces cerevisiae,SAMEA6848021,The University of Manchester,ERA2623621,10,2021,Makar,"",Total Dneg 2,2021-04-28,2021-09-30,SAMEA6848021,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Total Dneg 2,ArrayExpress,baker's yeast,MA3,whole organism,E-MTAB-9094:Total Dneg 2,glucose depletion,BY4741,glucose depletion
ERR4164651,112286829,4212510193,37,1809,ERX4129980,Total Dneg 3_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575619,SAMEA6848022,simple,4932,Saccharomyces cerevisiae,SAMEA6848022,The University of Manchester,ERA2623621,10,2021,Makar,"",Total Dneg 3,2021-04-28,2021-09-30,SAMEA6848022,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Total Dneg 3,ArrayExpress,baker's yeast,JL3,whole organism,E-MTAB-9094:Total Dneg 3,glucose depletion,BY4741,glucose depletion
ERR4164652,46566457,1688068076,36,690,ERX4129981,Total untreated 1_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP121813,PRJEB38391,1,"",ERS4575620,SAMEA6848023,simple,4932,Saccharomyces cerevisiae,SAMEA6848023,The University of Manchester,ERA2623621,10,2021,Makar,"",Total untreated 1,2021-04-28,2021-09-30,SAMEA6848023,The University of Manchester,The University of Manchester,2021-04-28T00:31:01Z,2021-09-30T00:13:25Z,public,E-MTAB-9094:Total untreated 1,ArrayExpress,baker's yeast,wild type genotype,whole organism,E-MTAB-9094:Total untreated 1,,BY4741,none
