Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,in vitro transformed by,treatment,GEO Accession
SRR3575897,22904059,680622611,29,431,SRX1794852,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463589,SAMN05170036,simple,9606,Homo sapiens,GSM2175737,GEO,SRA428345,12,2017,Makar,B cells,B95-8 2 min Harr treated 01,B cells,CD19+ B cells,EBV strain B95-8,pretreated for 2 minutes with harringtonine,GSM2175737
SRR3575898,16496913,488789464,29,313,SRX1794852,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463589,SAMN05170036,simple,9606,Homo sapiens,GSM2175737,GEO,SRA428345,12,2017,Makar,B cells,B95-8 2 min Harr treated 01,B cells,CD19+ B cells,EBV strain B95-8,pretreated for 5 minutes with harringtonine,GSM2175738
SRR3575899,45998693,1283791379,27,845,SRX1794853,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463590,SAMN05170037,simple,9606,Homo sapiens,GSM2175738,GEO,SRA428345,12,2017,Makar,B cells,B95-8 5 min Harr treated 01,B cells,CD19+ B cells,EBV strain B95-8,pretreated for 2 minutes with harringtonine,GSM2175739
SRR3575900,11038224,333359243,30,232,SRX1794854,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463591,SAMN05170038,simple,9606,Homo sapiens,GSM2175739,GEO,SRA428345,12,2017,Makar,B cells,B95-8 2 min Harr treated 02,B cells,CD19+ B cells,EBV strain B95-8,pretreated with cycloheximide,GSM2175740
SRR3575901,19092756,598322894,31,398,SRX1794855,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463592,SAMN05170039,simple,9606,Homo sapiens,GSM2175740,GEO,SRA428345,12,2017,Makar,B cells,B95-8 CHX treated 01,B cells,CD19+ B cells,EBV strain M81,pretreated for 2 minutes with harringtonine,GSM2175742
SRR3575902,25589902,789504353,30,523,SRX1794855,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463592,SAMN05170039,simple,9606,Homo sapiens,GSM2175740,GEO,SRA428345,12,2017,Makar,B cells,B95-8 CHX treated 01,B cells,CD19+ B cells,EBV strain M81,pretreated for 5 minutes with harringtonine,GSM2175743
SRR3575904,56141014,1551465622,27,1030,SRX1794857,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463594,SAMN05170041,simple,9606,Homo sapiens,GSM2175742,GEO,SRA428345,12,2017,Makar,B cells,M81 2 min Harr treated 01,B cells,CD19+ B cells,EBV strain M81,pretreated for 2 minutes with harringtonine,GSM2175744
SRR3575905,33753242,1014911969,30,671,SRX1794858,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463595,SAMN05170042,simple,9606,Homo sapiens,GSM2175743,GEO,SRA428345,12,2017,Makar,B cells,M81 5 min Harr treated 01,B cells,CD19+ B cells,EBV strain M81,pretreated with cycloheximide,GSM2175745
SRR3575906,24591719,761280104,30,498,SRX1794859,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463596,SAMN05170043,simple,9606,Homo sapiens,GSM2175744,GEO,SRA428345,12,2017,Makar,B cells,M81 2 min Harr treated 02,human embryonic kidney cells,HEK293 cells,EBV strain B95-8,pretreated for 2 minutes with harringtonine,GSM2175746
SRR3575907,30042652,956937217,31,642,SRX1794860,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075585,PRJNA322561,1,"",SRS1463597,SAMN05170044,simple,9606,Homo sapiens,GSM2175745,GEO,SRA428345,12,2017,Makar,B cells,M81 CHX treated 01,B cells,CD19+ B cells,EBV strain B95-8,None,GSM2719989
