Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,GEO Accession
SRR11915236,90487690,3472848669,38,1484,SRX8461793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763036,SAMN15091045,simple,9606,Homo sapiens,GSM4588291,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,DMSO_Ribo-Seq_Rep1,HAP1 cells,HAP1 cells,DMSO,GSM4588291
SRR11915237,85340341,3262285136,38,1399,SRX8461794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763037,SAMN15091044,simple,9606,Homo sapiens,GSM4588292,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,DMSO_Ribo-Seq_Rep2,HAP1 cells,HAP1 cells,DMSO,GSM4588292
SRR11915238,79443548,2993518218,37,1292,SRX8461795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763038,SAMN15091043,simple,9606,Homo sapiens,GSM4588293,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,DMSO_Ribo-Seq_Rep3,HAP1 cells,HAP1 cells,DMSO,GSM4588293
SRR11915239,81736158,3094617437,37,1333,SRX8461796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763039,SAMN15091042,simple,9606,Homo sapiens,GSM4588294,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,Hipp_Ribo-Seq_Rep1,HAP1 cells,HAP1 cells,Hippuristanol 50 nM,GSM4588294
SRR11915240,93257514,3500223280,37,1510,SRX8461797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763040,SAMN15091033,simple,9606,Homo sapiens,GSM4588295,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,Hipp_Ribo-Seq_Rep2,HAP1 cells,HAP1 cells,Hippuristanol 50 nM,GSM4588295
SRR11915241,65105144,2430251253,37,1054,SRX8461798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763041,SAMN15091032,simple,9606,Homo sapiens,GSM4588296,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,Hipp_Ribo-Seq_Rep3,HAP1 cells,HAP1 cells,Hippuristanol 50 nM,GSM4588296
SRR11915242,83505916,3298384237,39,2746,SRX8461799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763042,SAMN15091031,simple,9606,Homo sapiens,GSM4588297,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,DMSO_RNA-Seq_Rep1,HAP1 cells,HAP1 cells,DMSO,GSM4588297
SRR11915243,94857100,3795555396,40,3127,SRX8461800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763043,SAMN15091030,simple,9606,Homo sapiens,GSM4588298,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,DMSO_RNA-Seq_Rep2,HAP1 cells,HAP1 cells,DMSO,GSM4588298
SRR11915244,69204742,2833377730,40,2309,SRX8461801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763044,SAMN15091029,simple,9606,Homo sapiens,GSM4588299,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,DMSO_RNA-Seq_Rep3,HAP1 cells,HAP1 cells,DMSO,GSM4588299
SRR11915245,83177499,3396898835,40,1445,SRX8461802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265763,PRJNA636959,32766783,"",SRS6763045,SAMN15091028,simple,9606,Homo sapiens,GSM4588300,GEO,SRA1082706,08,2020,Steinberger,HAP1 cells,Hipp_RNA-Seq_Rep1,HAP1 cells,HAP1 cells,Hippuristanol 50 nM,GSM4588300
