Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,gender,tissue,cell type,genotype,GEO Accession
SRR11797917,30240272,3024027200,50,1267,SRX8349572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666191,SAMN14933618,simple,10090,Mus musculus,GSM4555982,GEO,SRA1075960,07,2020,Belle,HSC,HSC_Mysm1_Ko_1,HSC,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Hematopoietic Stem cells (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34-CD48-),Mysm1-KO (Tamoxifen-treated Mysm1fl/fl CreERT2 mice),GSM4555982
SRR11797918,40517415,4051741500,50,1700,SRX8349573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666192,SAMN14933617,simple,10090,Mus musculus,GSM4555983,GEO,SRA1075960,07,2020,Belle,HSC,HSC_Mysm1_Ko_2_3,HSC,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Hematopoietic Stem cells (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34-CD48-),Mysm1-KO (Tamoxifen-treated Mysm1fl/fl CreERT2 mice),GSM4555983
SRR11797919,39011638,3901163800,50,1642,SRX8349574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666198,SAMN14933616,simple,10090,Mus musculus,GSM4555984,GEO,SRA1075960,07,2020,Belle,HSC,HSC_Mysm1_Ko_4,HSC,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Hematopoietic Stem cells (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34-CD48-),Mysm1-KO (Tamoxifen-treated Mysm1fl/fl CreERT2 mice),GSM4555984
SRR11797920,37956143,3795614300,50,1595,SRX8349575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666194,SAMN14933613,simple,10090,Mus musculus,GSM4555985,GEO,SRA1075960,07,2020,Belle,HSC,HSC_Mysm1_Het_1,HSC,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Hematopoietic Stem cells (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34-CD48-),Mysm1-Het (Tamoxifen-treated Mysm1+/fl CreERT2 mice),GSM4555985
SRR11797921,44894732,4489473200,50,1916,SRX8349576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666193,SAMN14933612,simple,10090,Mus musculus,GSM4555986,GEO,SRA1075960,07,2020,Belle,HSC,HSC_Mysm1_Het_2_3,HSC,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Hematopoietic Stem cells (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34-CD48-),Mysm1-Het (Tamoxifen-treated Mysm1+/fl CreERT2 mice),GSM4555986
SRR11797922,32088927,3208892700,50,1347,SRX8349577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666195,SAMN14933615,simple,10090,Mus musculus,GSM4555987,GEO,SRA1075960,07,2020,Belle,HSC,HSC_Mysm1_Het_4,HSC,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Hematopoietic Stem cells (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34-CD48-),Mysm1-Het (Tamoxifen-treated Mysm1+/fl CreERT2 mice),GSM4555987
SRR11797923,45139482,4513948200,50,1898,SRX8349578,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666196,SAMN14933614,simple,10090,Mus musculus,GSM4555988,GEO,SRA1075960,07,2020,Belle,HSC,HSC_Sham_2_3,HSC,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Hematopoietic Stem cells (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34-CD48-),Mysm1-WT (Corn oil treated control Mysm1 fl mice),GSM4555988
SRR11797924,38957961,3895796100,50,1611,SRX8349579,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666197,SAMN14933611,simple,10090,Mus musculus,GSM4555989,GEO,SRA1075960,07,2020,Belle,HSC,HSC_Sham_4,HSC,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Hematopoietic Stem cells (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34-CD48-),Mysm1-WT (Corn oil treated control Mysm1 fl mice),GSM4555989
SRR11797925,39972605,3997260500,50,1677,SRX8349580,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666199,SAMN14933610,simple,10090,Mus musculus,GSM4555990,GEO,SRA1075960,07,2020,Belle,MPP1,MPP1_Mysm1_Ko_1,MPP1,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 1 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48-),Mysm1-KO (Tamoxifen-treated Mysm1fl/fl CreERT2 mice),GSM4555990
SRR11797926,36778322,3677832200,50,1536,SRX8349581,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666200,SAMN14933609,simple,10090,Mus musculus,GSM4555991,GEO,SRA1075960,07,2020,Belle,MPP1,MPP1_Mysm1_Ko_2_3,MPP1,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 1 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48-),Mysm1-KO (Tamoxifen-treated Mysm1fl/fl CreERT2 mice),GSM4555991
