Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,drug treatment,tissue,developmental stage,GEO Accession
SRR3199133,14348658,731781558,51,326,SRX1609175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318701,SAMN04527057,simple,34765,Oikopleura dioica,GSM2078092,GEO,SRA364670,11,2019,Danks,Female animals,1 Total RNA DMSO 1,Female animals,DMSO,Whole animal,Day 6,GSM2078092
SRR3199134,14395735,734182485,51,328,SRX1609175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318701,SAMN04527057,simple,34765,Oikopleura dioica,GSM2078092,GEO,SRA364670,11,2019,Danks,Female animals,1 Total RNA DMSO 1,Female animals,Torin 1,Whole animal,Day 6,GSM2078093
SRR3199135,13494819,688235769,51,326,SRX1609175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318701,SAMN04527057,simple,34765,Oikopleura dioica,GSM2078092,GEO,SRA364670,11,2019,Danks,Female animals,1 Total RNA DMSO 1,Female animals,DMSO,Whole animal,Day 6,GSM2078095
SRR3199136,13536934,690383634,51,328,SRX1609175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318701,SAMN04527057,simple,34765,Oikopleura dioica,GSM2078092,GEO,SRA364670,11,2019,Danks,Female animals,1 Total RNA DMSO 1,Female animals,Torin 1,Whole animal,Day 6,GSM2078096
SRR3199137,17102903,872248053,51,393,SRX1609176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318700,SAMN04527058,simple,34765,Oikopleura dioica,GSM2078093,GEO,SRA364670,11,2019,Danks,Female animals,2 Total RNA Torin 1,Female animals,DMSO,Whole animal,Day 6,GSM2078097
SRR3199138,17144301,874359351,51,395,SRX1609176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318700,SAMN04527058,simple,34765,Oikopleura dioica,GSM2078093,GEO,SRA364670,11,2019,Danks,Female animals,2 Total RNA Torin 1,Female animals,Torin 1,Whole animal,Day 6,GSM2078098
SRR3199139,12459821,635450871,51,304,SRX1609176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318700,SAMN04527058,simple,34765,Oikopleura dioica,GSM2078093,GEO,SRA364670,11,2019,Danks,Female animals,2 Total RNA Torin 1,Female animals,DMSO,Whole animal,Day 6,GSM2078099
SRR3199140,12480142,636487242,51,305,SRX1609176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318700,SAMN04527058,simple,34765,Oikopleura dioica,GSM2078093,GEO,SRA364670,11,2019,Danks,Female animals,2 Total RNA Torin 1,Female animals,Torin 1,Whole animal,Day 6,GSM2078100
SRR3199141,9550615,487081365,51,217,SRX1609177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318699,SAMN04527059,simple,34765,Oikopleura dioica,GSM2078095,GEO,SRA364670,11,2019,Danks,Female animals,3 Total RNA DMSO 2,Female animals,DMSO,Whole animal,Day 6,GSM2078101
SRR3199142,9590972,489139572,51,218,SRX1609177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318699,SAMN04527059,simple,34765,Oikopleura dioica,GSM2078095,GEO,SRA364670,11,2019,Danks,Female animals,3 Total RNA DMSO 2,Female animals,Torin 1,Whole animal,Day 6,GSM2078103
