Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genetic background,extracted molecule,extract_protocol,GEO Accession
SRR10669500,30519130,958746786,31,401,SRX7347975,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807580,SAMN13541372,simple,10090,Mus musculus,GSM4214048,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,ribo.wt1,P.0.5 mouse eye,WT,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM4214048
SRR10669501,32613322,1022298250,31,428,SRX7347976,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807581,SAMN13541371,simple,10090,Mus musculus,GSM4214049,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,ribo.wt2,P.0.5 mouse eye,WT,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM4214049
SRR10669502,57271882,1782654416,31,747,SRX7347977,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807582,SAMN13541370,simple,10090,Mus musculus,GSM4214050,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,ribo.wt3,P.0.5 mouse eye,WT,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM4214050
SRR10669503,39353376,1263632239,32,526,SRX7347978,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807583,SAMN13541369,simple,10090,Mus musculus,GSM4214051,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,ribo.ko1,P.0.5 mouse eye,RNG140KO,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM4214051
SRR10669504,41195764,1311239172,31,550,SRX7347979,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807584,SAMN13541368,simple,10090,Mus musculus,GSM4214052,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,ribo.ko2,P.0.5 mouse eye,RNG140KO,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM4214052
SRR10669505,40040926,1246363661,31,525,SRX7347980,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807585,SAMN13541367,simple,10090,Mus musculus,GSM4214053,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,ribo.ko3,P.0.5 mouse eye,RNG140KO,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM4214053
SRR10669506,11617432,1520766633,130,618,SRX7347981,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807586,SAMN13541366,simple,10090,Mus musculus,GSM4214054,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,rna.wt1,P.0.5 mouse eye,WT,total RNA,Truseq stranded mRNA library prep,GSM4214054
SRR10669507,12916142,1704052457,131,701,SRX7347982,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807587,SAMN13541365,simple,10090,Mus musculus,GSM4214055,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,rna.wt2,P.0.5 mouse eye,WT,total RNA,Truseq stranded mRNA library prep,GSM4214055
SRR10669508,10790615,1434255749,132,588,SRX7347983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807588,SAMN13541364,simple,10090,Mus musculus,GSM4214056,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,rna.wt3,P.0.5 mouse eye,WT,total RNA,Truseq stranded mRNA library prep,GSM4214056
SRR10669509,11601274,1526932748,131,624,SRX7347984,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807589,SAMN13541363,simple,10090,Mus musculus,GSM4214057,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,rna.ko1,P.0.5 mouse eye,RNG140KO,total RNA,Truseq stranded mRNA library prep,GSM4214057
SRR10669510,10785290,1374467751,127,555,SRX7347985,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807591,SAMN13541362,simple,10090,Mus musculus,GSM4214058,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,rna.ko2,P.0.5 mouse eye,RNG140KO,total RNA,Truseq stranded mRNA library prep,GSM4214058
SRR10669511,11976955,1535489675,128,623,SRX7347986,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP236878,PRJNA594945,32839273,"",SRS5807593,SAMN13541361,simple,10090,Mus musculus,GSM4214059,GEO,SRA1010566,07,2020,Nakazawa,P.0.5 mouse eye,rna.ko3,P.0.5 mouse eye,RNG140KO,total RNA,Truseq stranded mRNA library prep,GSM4214059
