Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth media,genotype,GEO Accession
SRR8142347,41771734,2088586700,50,1367,SRX4963089,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002820,SAMN10355977,simple,4932,Saccharomyces cerevisiae,GSM3453486,GEO,SRA801613,11,2018,Makeeva,yeast cell,wt1_ribo,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0,YPD,WT,GSM3453486
SRR8142348,28907651,1445382550,50,981,SRX4963090,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002824,SAMN10355976,simple,4932,Saccharomyces cerevisiae,GSM3453487,GEO,SRA801613,11,2018,Makeeva,yeast cell,wt1_rna,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0,YPD,WT,GSM3453487
SRR8142349,39297172,2004155772,51,1299,SRX4963091,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002821,SAMN10355975,simple,4932,Saccharomyces cerevisiae,GSM3453488,GEO,SRA801613,11,2018,Makeeva,yeast cell,wt2_ribo,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0,YPD,WT,GSM3453488
SRR8142350,14969593,763449243,51,500,SRX4963092,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002822,SAMN10355974,simple,4932,Saccharomyces cerevisiae,GSM3453489,GEO,SRA801613,11,2018,Makeeva,yeast cell,wt2_rna,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0,YPD,WT,GSM3453489
SRR8142351,55927400,2852297400,51,1773,SRX4963093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002823,SAMN10355973,simple,4932,Saccharomyces cerevisiae,GSM3453490,GEO,SRA801613,11,2018,Makeeva,yeast cell,wt_sd_ribo,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0,SD,WT,GSM3453490
SRR8142352,27805617,1418086467,51,862,SRX4963094,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002825,SAMN10355972,simple,4932,Saccharomyces cerevisiae,GSM3453491,GEO,SRA801613,11,2018,Makeeva,yeast cell,wt_sd_rna,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0,SD,WT,GSM3453491
SRR8142353,44765675,2283049425,51,1489,SRX4963095,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002826,SAMN10355971,simple,4932,Saccharomyces cerevisiae,GSM3453492,GEO,SRA801613,11,2018,Makeeva,yeast cell,tma20_ribo,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0 tma20delta::KanMX4,YPD,tma20,GSM3453492
SRR8142354,14737625,751618875,51,495,SRX4963096,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002827,SAMN10355988,simple,4932,Saccharomyces cerevisiae,GSM3453493,GEO,SRA801613,11,2018,Makeeva,yeast cell,tma20_rna,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0 tma20delta::KanMX4,YPD,tma20,GSM3453493
SRR8142355,54232755,2765870505,51,1720,SRX4963097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002828,SAMN10355983,simple,4932,Saccharomyces cerevisiae,GSM3453494,GEO,SRA801613,11,2018,Makeeva,yeast cell,tma20_sd_ribo,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0 tma20delta::KanMX4,SD,tma20,GSM3453494
SRR8142356,22844998,1165094898,51,700,SRX4963098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167363,PRJNA503203,30815525,"",SRS4002829,SAMN10355982,simple,4932,Saccharomyces cerevisiae,GSM3453495,GEO,SRA801613,11,2018,Makeeva,yeast cell,tma20_sd_rna,yeast cell,MATa his3delta1 leu2delta0 met15delta0 ura3delta0 tma20delta::KanMX4,SD,tma20,GSM3453495
