Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,mouse id,genotype,cell type,disease,GEO Accession
SRR10259022,5256463,336413632,32,154,SRX6976894,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502133,SAMN13013120,simple,10090,Mus musculus,GSM4117107,GEO,SRA977578,10,2019,Makar,Transitional (T1) B cells,Mouse_T1_B_1,Transitional (T1) B cells,C57BL/6J,Mouse 1,wild-type,Transitional (T1) B cells,,GSM4117107
SRR10259023,4165022,266561408,32,122,SRX6976895,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502134,SAMN13013119,simple,10090,Mus musculus,GSM4117108,GEO,SRA977578,10,2019,Makar,Transitional (T2) B cells,Mouse_T2_B_1,Transitional (T2) B cells,C57BL/6J,Mouse 1,wild-type,Transitional (T1) B cells,,GSM4117108
SRR10259024,2469381,158040384,32,72,SRX6976896,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502135,SAMN13013118,simple,10090,Mus musculus,GSM4117109,GEO,SRA977578,10,2019,Makar,Transitional (T3) B cells,Mouse_T3_B_1,Transitional (T3) B cells,C57BL/6J,Mouse 1,wild-type,Transitional (T1) B cells,,GSM4117109
SRR10259025,2825511,180832704,32,83,SRX6976897,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502136,SAMN13013116,simple,10090,Mus musculus,GSM4117110,GEO,SRA977578,10,2019,Makar,Transitional (T1) B cells,Mouse_T1_B_2,Transitional (T1) B cells,C57BL/6J,Mouse 2,wild-type,Transitional (T2) B cells,,GSM4117110
SRR10259026,3267405,209113920,32,95,SRX6976898,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502137,SAMN13013115,simple,10090,Mus musculus,GSM4117111,GEO,SRA977578,10,2019,Makar,Transitional (T2) B cells,Mouse_T2_B_2,Transitional (T2) B cells,C57BL/6J,Mouse 2,wild-type,Transitional (T2) B cells,,GSM4117111
SRR10259027,826778,52913792,32,24,SRX6976899,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502138,SAMN13013112,simple,10090,Mus musculus,GSM4117112,GEO,SRA977578,10,2019,Makar,Transitional (T3) B cells,Mouse_T3_B_2,Transitional (T3) B cells,C57BL/6J,Mouse 2,wild-type,Transitional (T2) B cells,,GSM4117112
SRR10259028,2932335,187669440,32,86,SRX6976900,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502139,SAMN13013111,simple,10090,Mus musculus,GSM4117113,GEO,SRA977578,10,2019,Makar,Transitional (T1) B cells,Mouse_T1_B_3,Transitional (T1) B cells,C57BL/6J,Mouse 3,wild-type,Transitional (T3) B cells,,GSM4117113
SRR10259029,2095113,134087232,32,61,SRX6976901,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502140,SAMN13013109,simple,10090,Mus musculus,GSM4117114,GEO,SRA977578,10,2019,Makar,Transitional (T2) B cells,Mouse_T2_B_3,Transitional (T2) B cells,C57BL/6J,Mouse 3,wild-type,Transitional (T3) B cells,,GSM4117114
SRR10259030,1547863,99063232,32,45,SRX6976902,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502141,SAMN13013108,simple,10090,Mus musculus,GSM4117115,GEO,SRA977578,10,2019,Makar,Transitional (T3) B cells,Mouse_T3_B_3,Transitional (T3) B cells,C57BL/6J,Mouse 3,wild-type,Transitional (T3) B cells,,GSM4117115
SRR10259031,3939934,267915512,34,101,SRX6976903,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502142,SAMN13013106,simple,10090,Mus musculus,GSM4117116,GEO,SRA977578,10,2019,Makar,Follicular B cells,Mouse_FO_B_1,Follicular B cells,C57BL/6J,Mouse 1,wild-type,Follicular B cells,,GSM4117116
SRR10259032,4528918,307966424,34,117,SRX6976904,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502143,SAMN13013105,simple,10090,Mus musculus,GSM4117117,GEO,SRA977578,10,2019,Makar,Follicular B cells,Mouse_FO_B_2,Follicular B cells,C57BL/6J,Mouse 2,wild-type,Follicular B cells,,GSM4117117
SRR10259033,3536035,240450380,34,91,SRX6976905,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502144,SAMN13013104,simple,10090,Mus musculus,GSM4117118,GEO,SRA977578,10,2019,Makar,Follicular B cells,Mouse_FO_B_3,Follicular B cells,C57BL/6J,Mouse 3,wild-type,Follicular B cells,,GSM4117118
SRR10259034,3502221,238151028,34,90,SRX6976906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502145,SAMN13013103,simple,10090,Mus musculus,GSM4117119,GEO,SRA977578,10,2019,Makar,Follicular B cells,Mouse_FO_B_4,Follicular B cells,C57BL/6J,Mouse 4,wild-type,Follicular B cells,,GSM4117119
SRR10259035,12556731,918206829,36,378,SRX6976907,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502146,SAMN13013101,simple,9606,Homo sapiens,GSM4117120,GEO,SRA977578,10,2019,Makar,Follicular B cells,C1_RN,Follicular B cells,,,,Follicular B cells,Healhty donor 1,GSM4117120
SRR10259036,15684923,1147096192,36,466,SRX6976908,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502147,SAMN13013100,simple,9606,Homo sapiens,GSM4117121,GEO,SRA977578,10,2019,Makar,T1/T2 B cells,C1_T1T2,T1/T2 B cells,,,,T1/T2 B cells,Healhty donor 1,GSM4117121
SRR10259037,22073343,1614216137,36,658,SRX6976909,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502148,SAMN13013099,simple,9606,Homo sapiens,GSM4117122,GEO,SRA977578,10,2019,Makar,T3 B cells,C1_T3,T3 B cells,,,,T3 B cells,Healhty donor 1,GSM4117122
SRR10259038,18354269,1342308250,36,545,SRX6976910,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502149,SAMN13013098,simple,9606,Homo sapiens,GSM4117123,GEO,SRA977578,10,2019,Makar,Follicular B cells,C2_RN,Follicular B cells,,,,Follicular B cells,Healhty donor 2,GSM4117123
SRR10259039,18319102,1339739271,36,543,SRX6976911,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502150,SAMN13013097,simple,9606,Homo sapiens,GSM4117124,GEO,SRA977578,10,2019,Makar,T1/T2 B cells,C2_T1T2,T1/T2 B cells,,,,T1/T2 B cells,Healhty donor 2,GSM4117124
SRR10259040,16468494,1204475791,36,492,SRX6976912,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP225109,PRJNA576910,1,"",SRS5502151,SAMN13013096,simple,9606,Homo sapiens,GSM4117125,GEO,SRA977578,10,2019,Makar,T3 B cells,C2_T3,T3 B cells,,,,T3 B cells,Healhty donor 2,GSM4117125
