Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,passages,GEO Accession
SRR10240635,59753070,4481480250,75,1747,SRX6959637,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486430,SAMN12985545,simple,9606,Homo sapiens,GSM4110749,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,mRNA_PDCD4-KD_rep1,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,PDCD4-siRNA2 (100 nM),12-14,GSM4110749
SRR10240636,31170,2337750,75,1,SRX6959638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486431,SAMN12985536,simple,9606,Homo sapiens,GSM4110750,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,mRNA_PDCD4-KD_rep2,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,PDCD4-siRNA2 (100 nM),12-14,GSM4110750
SRR10240637,52121284,3909096300,75,1534,SRX6959639,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486432,SAMN12985527,simple,9606,Homo sapiens,GSM4110751,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,mRNA_PDCD4-KD_rep3,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,PDCD4-siRNA2 (100 nM),12-14,GSM4110751
SRR10240638,57540790,4315559250,75,1677,SRX6959640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486433,SAMN12985518,simple,9606,Homo sapiens,GSM4110752,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,mRNA_control_rep1,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,control-siRNA (100 nM),12-14,GSM4110752
SRR10240639,67142840,5035713000,75,1963,SRX6959641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486434,SAMN12985509,simple,9606,Homo sapiens,GSM4110753,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,mRNA_control_rep2,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,control-siRNA (100 nM),12-14,GSM4110753
SRR10240640,63893660,4792024500,75,1865,SRX6959642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486435,SAMN12985499,simple,9606,Homo sapiens,GSM4110754,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,mRNA_control_rep3,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,control-siRNA (100 nM),12-14,GSM4110754
SRR10240641,38117566,1157110847,30,522,SRX6959643,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486436,SAMN12985490,simple,9606,Homo sapiens,GSM4110755,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,RPF_PDCD4-KD_rep1,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,PDCD4-siRNA2 (100 nM),12-14,GSM4110755
SRR10240642,42310172,1271011461,30,571,SRX6959644,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486437,SAMN12985345,simple,9606,Homo sapiens,GSM4110756,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,RPF_PDCD4-KD_rep2,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,PDCD4-siRNA2 (100 nM),12-14,GSM4110756
SRR10240643,34963413,1048923656,30,476,SRX6959645,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486438,SAMN12985344,simple,9606,Homo sapiens,GSM4110757,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,RPF_PDCD4-KD_rep3,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,PDCD4-siRNA2 (100 nM),12-14,GSM4110757
SRR10240644,38216780,1172397007,30,533,SRX6959646,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP224660,PRJNA576260,32066800,"",SRS5486439,SAMN12985343,simple,9606,Homo sapiens,GSM4110758,GEO,SRA974338,01,2020,Haas,hTERT-RPE-1,RPF_control_rep1,hTERT-RPE-1,hTERT-immortalized retinal pigment epithelial cell line,control-siRNA (100 nM),12-14,GSM4110758
