Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,tissue,strain,cell type,genotype,condition,GEO Accession
SRR7777895,33776406,1688820300,50,1108,SRX4633087,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733826,SAMN09946135,simple,10090,Mus musculus,GSM3371777,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_wt_plus_r1,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,iron sufficiency,GSM3371777
SRR7777896,32038689,1601934450,50,991,SRX4633088,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733807,SAMN09946134,simple,10090,Mus musculus,GSM3371778,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_wt_plus_r2,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,iron sufficiency,GSM3371778
SRR7777897,42510363,2125518150,50,1334,SRX4633089,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733808,SAMN09946133,simple,10090,Mus musculus,GSM3371779,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_wt_plus_r3,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,iron sufficiency,GSM3371779
SRR7777898,55055828,5505582800,100,3343,SRX4633090,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733809,SAMN09946132,simple,10090,Mus musculus,GSM3371780,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_wt_minus_r1,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,Iron deficiency,GSM3371780
SRR7777899,38287576,1914378800,50,1254,SRX4633091,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733810,SAMN09946131,simple,10090,Mus musculus,GSM3371781,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_wt_minus_r2,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,Iron deficiency,GSM3371781
SRR7777900,45134176,2256708800,50,1340,SRX4633092,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733811,SAMN09946130,simple,10090,Mus musculus,GSM3371782,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_wt_minus_r3,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,Iron deficiency,GSM3371782
SRR7777901,48788190,4878819000,100,2967,SRX4633093,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733812,SAMN09946129,simple,10090,Mus musculus,GSM3371783,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_ko_plus_r1,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,iron sufficiency,GSM3371783
SRR7777902,37423839,1871191950,50,1152,SRX4633094,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733813,SAMN09946128,simple,10090,Mus musculus,GSM3371784,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_ko_plus_r2,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,iron sufficiency,GSM3371784
SRR7777903,42796810,2139840500,50,1264,SRX4633095,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733814,SAMN09946127,simple,10090,Mus musculus,GSM3371785,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_ko_plus_r3,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,iron sufficiency,GSM3371785
SRR7777904,59045964,5904596400,100,3590,SRX4633096,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733815,SAMN09946126,simple,10090,Mus musculus,GSM3371786,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_ko_minus_r1,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,Iron deficiency,GSM3371786
SRR7777905,39921188,1996059400,50,1231,SRX4633097,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733816,SAMN09946125,simple,10090,Mus musculus,GSM3371787,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_ko_minus_r2,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,Iron deficiency,GSM3371787
SRR7777906,46518614,2325930700,50,1461,SRX4633098,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733817,SAMN09946124,simple,10090,Mus musculus,GSM3371788,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_ko_minus_r3,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,Iron deficiency,GSM3371788
SRR7777907,29445333,1177813320,40,761,SRX4633099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733818,SAMN09946123,simple,10090,Mus musculus,GSM3371789,GEO,SRA765524,09,2018,Zhang,Fetal liver,rna_seq_ko_minus_r4,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,Iron deficiency,GSM3371789
SRR7777908,10448256,277108258,26,161,SRX4633100,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733819,SAMN09946122,simple,10090,Mus musculus,GSM3371790,GEO,SRA765524,09,2018,Zhang,Fetal liver,ribo_seq_wt_plus_r1,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,iron sufficiency,GSM3371790
SRR7777909,63960111,2558404440,40,1328,SRX4633101,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733820,SAMN09946121,simple,10090,Mus musculus,GSM3371791,GEO,SRA765524,09,2018,Zhang,Fetal liver,ribo_seq_wt_plus_r2,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,iron sufficiency,GSM3371791
SRR7777910,11307452,308535240,27,185,SRX4633102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733821,SAMN09946120,simple,10090,Mus musculus,GSM3371792,GEO,SRA765524,09,2018,Zhang,Fetal liver,ribo_seq_wt_minus_r1,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,Iron deficiency,GSM3371792
SRR7777911,58067739,2322709560,40,1318,SRX4633103,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733822,SAMN09946119,simple,10090,Mus musculus,GSM3371793,GEO,SRA765524,09,2018,Zhang,Fetal liver,ribo_seq_wt_minus_r2,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Wild type,Iron deficiency,GSM3371793
SRR7777912,27629469,752093169,27,442,SRX4633104,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733823,SAMN09946118,simple,10090,Mus musculus,GSM3371794,GEO,SRA765524,09,2018,Zhang,Fetal liver,ribo_seq_ko_plus_r1,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,iron sufficiency,GSM3371794
SRR7777913,72824156,2912966240,40,1634,SRX4633105,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733824,SAMN09946117,simple,10090,Mus musculus,GSM3371795,GEO,SRA765524,09,2018,Zhang,Fetal liver,ribo_seq_ko_plus_r2,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,iron sufficiency,GSM3371795
SRR7777914,26557541,707985755,26,420,SRX4633106,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733825,SAMN09946116,simple,10090,Mus musculus,GSM3371796,GEO,SRA765524,09,2018,Zhang,Fetal liver,ribo_seq_ko_minus_r1,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,Iron deficiency,GSM3371796
SRR7777915,67065320,2682612800,40,1403,SRX4633107,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP159428,PRJNA488955,31033440,"",SRS3733827,SAMN09946115,simple,10090,Mus musculus,GSM3371797,GEO,SRA765524,09,2018,Zhang,Fetal liver,ribo_seq_ko_minus_r2,Fetal liver,E14.5,liver,C57BL/6,Primary basophilic erythroblasts,Hri-/-,Iron deficiency,GSM3371797
