Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,sex,tissue,biomaterial_provider,collected_by,collection_date,genotype,growth_protocol,phenotype,treatment,BioSampleModel
SRR7430927,21078612,1599273830,75,654,SRX4301652,SJA64_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464256,SAMN09485625,simple,6239,Caenorhabditis elegans,SJA64,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,80 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,sluggish,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430926,7376337,499489236,67,209,SRX4301653,SJA64_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464256,SAMN09485625,simple,6239,Caenorhabditis elegans,SJA64,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,80 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,sluggish,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430925,36967956,2806693290,75,1158,SRX4301654,SJA65_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464257,SAMN09485626,simple,6239,Caenorhabditis elegans,SJA65,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,80 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,sluggish,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430924,7918243,534281446,67,227,SRX4301655,SJA65_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464257,SAMN09485626,simple,6239,Caenorhabditis elegans,SJA65,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,80 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,sluggish,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430923,29934083,2271808048,75,935,SRX4301656,SJA62_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464258,SAMN09485623,simple,6239,Caenorhabditis elegans,SJA62,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,76 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,weak sluggish,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430922,7457080,481345968,64,201,SRX4301657,SJA62_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464258,SAMN09485623,simple,6239,Caenorhabditis elegans,SJA62,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,76 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,weak sluggish,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430921,27985584,2124492619,75,866,SRX4301658,SJA63_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464259,SAMN09485624,simple,6239,Caenorhabditis elegans,SJA63,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,80 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,>90% of worms twitching,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430920,8033114,552145182,68,233,SRX4301659,SJA63_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464259,SAMN09485624,simple,6239,Caenorhabditis elegans,SJA63,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,80 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,>90% of worms twitching,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430919,6980077,488605390,70,224,SRX4301660,SJA111_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464261,SAMN09485643,simple,6239,Caenorhabditis elegans,SJA111,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA153,Unc,RNAi against unc-54 (BJA153),Model organism or animal
SRR7430918,7599093,569931975,75,249,SRX4301661,SJA72_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464260,SAMN09485633,simple,6239,Caenorhabditis elegans,SJA72,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,Unc,RNAi against unc-54 (BJA40),Model organism or animal
