Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,fraction,geo_loc_name,collection_date
SRR24898196,3091571,178715938,57,65,SRX20660347,GSM7473298,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957620,SAMN35715665,simple,9606,Homo sapiens,GSM7473298,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"total RNA seq, HEK293 WT rep1",HEK293,HEK293,human embryonic kidney cells,WT,no,total RNA,missing,missing
SRR24898195,2592429,107667859,41,42,SRX20660348,GSM7473299,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957625,SAMN35715664,simple,9606,Homo sapiens,GSM7473299,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"total RNA seq, HEK293 WT rep2",HEK293,HEK293,human embryonic kidney cells,WT,no,total RNA,missing,missing
SRR24898194,8884897,417754592,47,156,SRX20660349,GSM7473300,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957622,SAMN35715663,simple,9606,Homo sapiens,GSM7473300,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"total RNA seq, HEK293 SNORD97/133 KO rep1",HEK293,HEK293,human embryonic kidney cells,SNORD97/133 double knockout,no,total RNA,missing,missing
SRR24898193,1948849,77105401,39,30,SRX20660350,GSM7473301,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957623,SAMN35715662,simple,9606,Homo sapiens,GSM7473301,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"total RNA seq, HEK293 SNORD97/133 KO rep2",HEK293,HEK293,human embryonic kidney cells,SNORD97/133 double knockout,no,total RNA,missing,missing
SRR24898192,1089978,63726452,58,23,SRX20660351,GSM7473302,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957628,SAMN35715661,simple,9606,Homo sapiens,GSM7473302,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"total RNA seq, HEK293 SNORD97 KO rep1",HEK293,HEK293,human embryonic kidney cells,SNORD97 knockout,no,total RNA,missing,missing
SRR24898191,844548,57594978,68,20,SRX20660352,GSM7473303,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957624,SAMN35715660,simple,9606,Homo sapiens,GSM7473303,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"total RNA seq, HEK293 SNORD97 KO rep2",HEK293,HEK293,human embryonic kidney cells,SNORD97 knockout,no,total RNA,missing,missing
SRR24898190,1352761,91811823,67,32,SRX20660353,GSM7473304,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957626,SAMN35715659,simple,9606,Homo sapiens,GSM7473304,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"total RNA seq, HEK293 SNORD133 KO rep1",HEK293,HEK293,human embryonic kidney cells,SNORD133 knockout,no,total RNA,missing,missing
SRR24898189,1739151,112385543,64,40,SRX20660354,GSM7473305,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957635,SAMN35715658,simple,9606,Homo sapiens,GSM7473305,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"total RNA seq, HEK293 SNORD133 KO rep2",HEK293,HEK293,human embryonic kidney cells,SNORD133 knockout,no,total RNA,missing,missing
SRR24898188,55847,3770941,67,2,SRX20660355,GSM7473306,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957634,SAMN35715657,simple,10090,Mus musculus,GSM7473306,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, mES WT rep1",TC1,TC1,mouse embryonic stem cell,WT,no,total RNA,missing,missing
SRR24898187,6068125,468562366,77,307,SRX20660356,GSM7473307,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957638,SAMN35715656,simple,10090,Mus musculus,GSM7473307,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, mES WT rep2",TC1,TC1,mouse embryonic stem cell,WT,no,total RNA,missing,missing
