Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genetic modification,GEO Accession
SRR6809378,14682611,734130550,50,234,SRX3767590,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022114,SAMN08638937,simple,9606,Homo sapiens,GSM3031441,GEO,SRA664496,04,2018,Makar,K562_wt_bulk,K562_wt_bulk,K562_wt_bulk,K562,,GSM3031441
SRR6809379,12317020,615851000,50,197,SRX3767591,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022113,SAMN08638935,simple,9606,Homo sapiens,GSM3031442,GEO,SRA664496,04,2018,Makar,K562_wt_clone-1,K562_wt_clone-1,K562_wt_clone-1,K562,,GSM3031442
SRR6809380,7054002,352700100,50,113,SRX3767592,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022111,SAMN08638934,simple,9606,Homo sapiens,GSM3031443,GEO,SRA664496,04,2018,Makar,K562_wt_clone-2,K562_wt_clone-2,K562_wt_clone-2,K562,,GSM3031443
SRR6809381,8079405,403970250,50,129,SRX3767593,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022110,SAMN08638933,simple,9606,Homo sapiens,GSM3031444,GEO,SRA664496,04,2018,Makar,K562_wt_clone-3,K562_wt_clone-3,K562_wt_clone-3,K562,,GSM3031444
SRR6809382,11595703,579785150,50,187,SRX3767594,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022115,SAMN08638932,simple,9606,Homo sapiens,GSM3031445,GEO,SRA664496,04,2018,Makar,K562_wt_clone-4,K562_wt_clone-4,K562_wt_clone-4,K562,,GSM3031445
SRR6809383,11983104,599155200,50,193,SRX3767595,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022112,SAMN08638931,simple,9606,Homo sapiens,GSM3031446,GEO,SRA664496,04,2018,Makar,K562_wt_clone-5,K562_wt_clone-5,K562_wt_clone-5,K562,,GSM3031446
SRR6809384,12394304,619715200,50,197,SRX3767596,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022116,SAMN08638930,simple,9606,Homo sapiens,GSM3031447,GEO,SRA664496,04,2018,Makar,K562_wt_clone-6,K562_wt_clone-6,K562_wt_clone-6,K562,,GSM3031447
SRR6809385,12102202,605110100,50,196,SRX3767597,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022118,SAMN08638923,simple,9606,Homo sapiens,GSM3031448,GEO,SRA664496,04,2018,Makar,K562_wt_clone-7,K562_wt_clone-7,K562_wt_clone-7,K562,,GSM3031448
SRR6809386,12818505,640925250,50,205,SRX3767598,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022121,SAMN08638921,simple,9606,Homo sapiens,GSM3031449,GEO,SRA664496,04,2018,Makar,K562_wt_clone-8,K562_wt_clone-8,K562_wt_clone-8,K562,,GSM3031449
SRR6809387,12023875,601193750,50,193,SRX3767599,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134014,PRJNA437106,1,"",SRS3022119,SAMN08638920,simple,9606,Homo sapiens,GSM3031450,GEO,SRA664496,04,2018,Makar,K562_wt_clone-9,K562_wt_clone-9,K562_wt_clone-9,K562,,GSM3031450
