Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,strain,treatment,GEO Accession
SRR7207252,58482428,2982603828,51,1914,SRX4116237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331525,SAMN09238845,simple,9606,Homo sapiens,GSM3150265,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_Ctrl_30min.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150265
SRR7207253,26134586,1332863886,51,851,SRX4116238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331526,SAMN09238844,simple,9606,Homo sapiens,GSM3150266,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoQ_30min.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150266
SRR7207254,42732147,2179339497,51,1382,SRX4116239,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331527,SAMN09238843,simple,9606,Homo sapiens,GSM3150267,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_Ctrl_30min.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150267
SRR7207255,36797765,1876686015,51,1193,SRX4116240,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331528,SAMN09238887,simple,9606,Homo sapiens,GSM3150268,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoQ_30min.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150268
SRR7207256,14398763,734336913,51,438,SRX4116241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331529,SAMN09238886,simple,9606,Homo sapiens,GSM3150269,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_Ctrl_30min.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150269
SRR7207257,12297306,627162606,51,371,SRX4116242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331530,SAMN09238885,simple,9606,Homo sapiens,GSM3150270,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoQ_30min.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150270
SRR7207258,17976556,916804356,51,542,SRX4116243,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331531,SAMN09238884,simple,9606,Homo sapiens,GSM3150271,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_Ctrl_30min.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150271
SRR7207259,18545613,945826263,51,560,SRX4116244,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331532,SAMN09238883,simple,9606,Homo sapiens,GSM3150272,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoQ_30min.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150272
SRR7207260,57396973,2869848650,50,1605,SRX4116245,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331533,SAMN09238882,simple,9606,Homo sapiens,GSM3150273,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_Ctrl_04hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150273
SRR7207261,55038408,2751920400,50,1563,SRX4116246,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331534,SAMN09238881,simple,9606,Homo sapiens,GSM3150274,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoQ_04hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150274
SRR7207262,43175292,2158764600,50,1193,SRX4116247,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331535,SAMN09238880,simple,9606,Homo sapiens,GSM3150275,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoCys_04hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150275
SRR7207263,90328104,4516405200,50,2669,SRX4116248,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331536,SAMN09238879,simple,9606,Homo sapiens,GSM3150276,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_Ctrl_04hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150276
SRR7207264,62958590,3147929500,50,1768,SRX4116249,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331537,SAMN09238878,simple,9606,Homo sapiens,GSM3150277,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoQ_04hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150277
SRR7207265,93273334,4663666700,50,2525,SRX4116250,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331538,SAMN09238877,simple,9606,Homo sapiens,GSM3150278,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_Torin_04hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150278
SRR7207266,59029724,2951486200,50,1825,SRX4116251,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331539,SAMN09238876,simple,9606,Homo sapiens,GSM3150279,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_Ctrl_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150279
SRR7207268,58570229,2928511450,50,1791,SRX4116252,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331540,SAMN09238875,simple,9606,Homo sapiens,GSM3150280,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoCys_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150280
SRR7207269,67780201,3389010050,50,2038,SRX4116253,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331541,SAMN09238874,simple,9606,Homo sapiens,GSM3150281,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoG_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150281
SRR7207270,54256789,2712839450,50,1644,SRX4116254,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331542,SAMN09238873,simple,9606,Homo sapiens,GSM3150282,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoBCAA_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150282
SRR7207271,60823089,3041154450,50,1847,SRX4116255,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331543,SAMN09238871,simple,9606,Homo sapiens,GSM3150283,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoQ_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150283
SRR7207272,51914214,2595710700,50,1630,SRX4116256,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331544,SAMN09238870,simple,9606,Homo sapiens,GSM3150284,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_Ctrl_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150284
SRR7207273,62864635,3143231750,50,1941,SRX4116258,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331546,SAMN09238869,simple,9606,Homo sapiens,GSM3150285,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoCys_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150285
