Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR24449482,12874359,334674821,26,111,SRX20236589,GSM7300109,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570530,SAMN34601617,simple,4932,Saccharomyces cerevisiae,GSM7300109,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, pre-gRNA induction, GCN4, pTFC1 barcodes, biol rep 1",dual barcode plasmid library,dual barcode plasmid library,pTFC1 barcode,GCN4 PCL5-P2A-ZEM,pre-anyhydrotetracycline,missing,missing
SRR24449483,36054430,937743597,26,314,SRX20236589,GSM7300109,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570530,SAMN34601617,simple,4932,Saccharomyces cerevisiae,GSM7300109,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, pre-gRNA induction, GCN4, pTFC1 barcodes, biol rep 1",dual barcode plasmid library,dual barcode plasmid library,pTFC1 barcode,GCN4 PCL5-P2A-ZEM,pre-anyhydrotetracycline,missing,missing
SRR24449480,17453909,453731291,26,151,SRX20236590,GSM7300110,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570532,SAMN34601616,simple,4932,Saccharomyces cerevisiae,GSM7300110,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, pre-gRNA induction, GCN4, pTFC1 barcodes, biol rep 2",dual barcode plasmid library,dual barcode plasmid library,pZ barcode,GCN4 PCL5-P2A-ZEM,pre-anyhydrotetracycline,missing,missing
SRR24449481,30169609,784649929,26,267,SRX20236590,GSM7300110,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570532,SAMN34601616,simple,4932,Saccharomyces cerevisiae,GSM7300110,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, pre-gRNA induction, GCN4, pTFC1 barcodes, biol rep 2",dual barcode plasmid library,dual barcode plasmid library,pZ barcode,GCN4 PCL5-P2A-ZEM,pre-anyhydrotetracycline,missing,missing
SRR24449478,22822079,593232836,25,196,SRX20236591,GSM7300111,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570531,SAMN34601615,simple,4932,Saccharomyces cerevisiae,GSM7300111,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, pre-gRNA induction, GCN4, pZ barcodes, biol rep 1",dual barcode plasmid library,dual barcode plasmid library,pTFC1 barcode,GCN4 PCL5-P2A-ZEM,post-anyhydrotetracycline,missing,missing
SRR24449479,40124449,1042987447,25,349,SRX20236591,GSM7300111,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570531,SAMN34601615,simple,4932,Saccharomyces cerevisiae,GSM7300111,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, pre-gRNA induction, GCN4, pZ barcodes, biol rep 1",dual barcode plasmid library,dual barcode plasmid library,pTFC1 barcode,GCN4 PCL5-P2A-ZEM,post-anyhydrotetracycline,missing,missing
SRR24449476,17307280,449886668,25,149,SRX20236592,GSM7300112,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570533,SAMN34601614,simple,4932,Saccharomyces cerevisiae,GSM7300112,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, pre-gRNA induction, GCN4, pZ barcodes, biol rep 2",dual barcode plasmid library,dual barcode plasmid library,pZ barcode,GCN4 PCL5-P2A-ZEM,post-anyhydrotetracycline,missing,missing
SRR24449477,34197877,888943570,25,299,SRX20236592,GSM7300112,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570533,SAMN34601614,simple,4932,Saccharomyces cerevisiae,GSM7300112,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, pre-gRNA induction, GCN4, pZ barcodes, biol rep 2",dual barcode plasmid library,dual barcode plasmid library,pZ barcode,GCN4 PCL5-P2A-ZEM,post-anyhydrotetracycline,missing,missing
SRR24449474,26482447,688484475,26,226,SRX20236593,GSM7300113,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570534,SAMN34601613,simple,4932,Saccharomyces cerevisiae,GSM7300113,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, post-gRNA induction, GCN4, pTFC1 barcodes, biol rep 1",dual barcode plasmid library,dual barcode plasmid library,pTFC1 barcode,gcn4delta PCL5-P2A-ZEM,pre-anyhydrotetracycline,missing,missing
SRR24449475,30928713,804367453,26,272,SRX20236593,GSM7300113,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436161,PRJNA967638,37214807,"",SRS17570534,SAMN34601613,simple,4932,Saccharomyces cerevisiae,GSM7300113,"Ingolia, MCB, University of California - Berkeley",SRA1633505,05,2023,Diamond,dual barcode plasmid library,"PCL5-P2A-ZEM CiBER, post-gRNA induction, GCN4, pTFC1 barcodes, biol rep 1",dual barcode plasmid library,dual barcode plasmid library,pTFC1 barcode,gcn4delta PCL5-P2A-ZEM,pre-anyhydrotetracycline,missing,missing
