Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,host,collection_date,geo_loc_name,sample_type,BioSampleModel
SRR17786677,11514602,3381631106,146,990,SRX13948993,promoter_lib1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786676,14869354,4363178804,146,1278,SRX13948994,promoter_lib2,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786675,120036390,35956130660,149,10126,SRX13948995,combination_lib2_sorting,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786674,106018222,31762417878,149,9009,SRX13948996,combination_lib3_sorting,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786673,12801684,3758670935,146,1102,SRX13948997,promoter_lib3,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786672,51161939,15325832154,149,4483,SRX13948998,promoter_lib1_sorting,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786671,64820056,19413744585,149,5667,SRX13948999,promoter_lib2_sorting,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786670,58787523,17608196407,149,5118,SRX13949000,promoter_lib3_sorting,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786669,11954229,3497840480,146,989,SRX13949001,combination_lib1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786668,12179351,3563946999,146,1012,SRX13949002,combination_lib2,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786667,16103456,4712206700,146,1334,SRX13949003,combination_lib3,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
SRR17786666,96560348,28924328373,149,8212,SRX13949004,combination_lib1_sorting,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP357053,PRJNA800535,1,"",SRS11789987,SAMN25249353,simple,562,Escherichia coli,FACS-seq profiling of endogenous promoters of E.coli and a combination of 300 promoters and 13 RBSs,Tsinghua University,SRA1362983,01,2022,Makar,"",Microbe sample from Escherichia coli,K12 MG1655,not applicable,2021-03,China,mixed culture,"Microbe, viral or environmental"
