Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment
SRR24042802,43997895,13199368500,150,5079,SRX19844747,GSM7135546,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203860,SAMN34041080,simple,10090,Mus musculus,GSM7135546,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"GV,WT,rep1",Mouse ovary,Mouse ovary,GV,oocytes,WT,Rnase I
SRR24042801,57175283,17152584900,150,6515,SRX19844748,GSM7135547,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203858,SAMN34041079,simple,10090,Mus musculus,GSM7135547,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"GV,WT,rep2",Mouse ovary,Mouse ovary,GV,oocytes,WT,Rnase I
SRR24042800,33960676,10188202800,150,3969,SRX19844749,GSM7135548,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203859,SAMN34041078,simple,10090,Mus musculus,GSM7135548,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"GV,WT,rep3",Mouse ovary,Mouse ovary,GV,oocytes,WT,Rnase I
SRR24042799,29921592,8976477600,150,3361,SRX19844750,GSM7135549,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203861,SAMN34041077,simple,10090,Mus musculus,GSM7135549,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"GV,ZcKO,rep1",Mouse ovary,Mouse ovary,GV,oocytes,Nat10-ZcKO,Rnase I
SRR24042798,52174176,15652252800,150,5777,SRX19844751,GSM7135550,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203862,SAMN34041076,simple,10090,Mus musculus,GSM7135550,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"GV,ZcKO,rep2",Mouse ovary,Mouse ovary,GV,oocytes,Nat10-ZcKO,Rnase I
SRR24042797,85089574,25526872200,150,9728,SRX19844752,GSM7135551,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203863,SAMN34041075,simple,10090,Mus musculus,GSM7135551,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"GV,ZcKO,rep3",Mouse ovary,Mouse ovary,GV,oocytes,Nat10-ZcKO,Rnase I
SRR24042796,25311701,7593510300,150,2857,SRX19844753,GSM7135552,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203864,SAMN34041074,simple,10090,Mus musculus,GSM7135552,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"MII,WT,rep1",Mouse ovary,Mouse ovary,MII,oocytes,WT,Rnase I
SRR24042795,24534493,7360347900,150,2792,SRX19844754,GSM7135553,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203865,SAMN34041073,simple,10090,Mus musculus,GSM7135553,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"MII,WT,rep2",Mouse ovary,Mouse ovary,MII,oocytes,WT,Rnase I
SRR24042794,38580732,11574219600,150,4415,SRX19844755,GSM7135554,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203866,SAMN34041072,simple,10090,Mus musculus,GSM7135554,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"MII,ZcKO,rep1",Mouse ovary,Mouse ovary,MII,oocytes,Nat10-ZcKO,Rnase I
SRR24042793,30306188,9091856400,150,3453,SRX19844756,GSM7135555,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430463,PRJNA951361,37349316,"",SRS17203868,SAMN34041071,simple,10090,Mus musculus,GSM7135555,"Department of Life Sciences and Medicine, University of Science and Technology of China",SRA1614425,04,2023,Jiang,Mouse ovary,"MII,ZcKO,rep2",Mouse ovary,Mouse ovary,MII,oocytes,Nat10-ZcKO,Rnase I
