Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,isogenic variation,strain background,genotype/variation,molecule subtype,GEO Accession
SRR594898,37501464,3000117120,80,1876,SRX196429,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP016508,PRJNA177820,25043188,"",SRS369856,SAMN01766978,simple,4932,Saccharomyces cerevisiae,GSM1019778,GEO,SRA059968,07,2015,Baudin-Baillieu,RNA,transcriptome PSI-,RNA,74D694,PSI-,,,,GSM1019778
SRR594899,55160140,2206405600,40,1242,SRX196430,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP016508,PRJNA177820,25043188,"",SRS369857,SAMN01766979,simple,4932,Saccharomyces cerevisiae,GSM1019779,GEO,SRA059968,07,2014,Baudin-Baillieu,RNA,transcriptome PSI+,RNA,74D694,PSI+,,,,GSM1019779
SRR594900,30900888,618017760,20,356,SRX196431,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP016508,PRJNA177820,25043188,"",SRS369858,SAMN01766980,simple,4932,Saccharomyces cerevisiae,GSM1019780,GEO,SRA059968,07,2015,Baudin-Baillieu,ribosome protected fragments,traductome PSI- rep 1,ribosome protected fragments,74D694,PSI-,,,,GSM1019780
SRR594901,30900888,1236035520,40,673,SRX196432,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP016508,PRJNA177820,25043188,"",SRS369859,SAMN01766981,simple,4932,Saccharomyces cerevisiae,GSM1019781,GEO,SRA059968,07,2015,Baudin-Baillieu,ribosome protected fragments,traductome PSI- rep 2,ribosome protected fragments,74D694,PSI-,,,,GSM1019781
SRR594902,41484491,1659379640,40,909,SRX196433,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP016508,PRJNA177820,25043188,"",SRS369860,SAMN01766982,simple,4932,Saccharomyces cerevisiae,GSM1019782,GEO,SRA059968,07,2014,Baudin-Baillieu,ribosome protected fragments,traductome PSI+ rep 1,ribosome protected fragments,74D694,PSI+,,,,GSM1019782
SRR594903,41183182,1647327280,40,904,SRX196434,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP016508,PRJNA177820,25043188,"",SRS369861,SAMN01766983,simple,4932,Saccharomyces cerevisiae,GSM1019783,GEO,SRA059968,07,2014,Baudin-Baillieu,ribosome protected fragments,traductome PSI+ rep 2,ribosome protected fragments,74D694,PSI+,,,,GSM1019783
SRR1190356,219439441,10971972050,50,7241,SRX487443,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016508,PRJNA177820,25043188,"",SRS570819,SAMN02688731,simple,4932,Saccharomyces cerevisiae,GSM1347623,GEO,SRA059968,07,2014,Baudin-Baillieu,ribosome protected fragments,Ribo-seq [PSI+] rep1,ribosome protected fragments,,,74D694,[PSI+] strain,ribosome protected fragments,GSM1347623
SRR1190357,220910484,11045524200,50,7297,SRX487444,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016508,PRJNA177820,25043188,"",SRS570820,SAMN02688732,simple,4932,Saccharomyces cerevisiae,GSM1347624,GEO,SRA059968,07,2014,Baudin-Baillieu,ribosome protected fragments,Ribo-seq [PSI+] rep2,ribosome protected fragments,,,74D694,[PSI+] strain,ribosome protected fragments,GSM1347624
SRR1190358,234945553,11747277650,50,7898,SRX487445,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016508,PRJNA177820,25043188,"",SRS570821,SAMN02688734,simple,4932,Saccharomyces cerevisiae,GSM1347625,GEO,SRA059968,07,2014,Baudin-Baillieu,ribosome protected fragments,Ribo-seq [PSI+] with  overexpression Cter of  SUP35 rep1,ribosome protected fragments,,,74D694,[PSI+] overexpressing SUP35-Cter strain,ribosome protected fragments,GSM1347625
SRR1190359,216863316,10843165800,50,6954,SRX487446,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016508,PRJNA177820,25043188,"",SRS570822,SAMN02688733,simple,4932,Saccharomyces cerevisiae,GSM1347626,GEO,SRA059968,07,2014,Baudin-Baillieu,ribosome protected fragments,Ribo-seq [PSI+] with  overexpression Cter of  SUP35 rep2,ribosome protected fragments,,,74D694,[PSI+] overexpressing SUP35-Cter strain,ribosome protected fragments,GSM1347626
