Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,clip antibody,treatment,phenotype
SRR17454412,17840874,1088293314,61,399,SRX13625582,GSM5773506,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP353657,PRJNA794846,35961752,"",SRS11513510,SAMN24659864,simple,9606,Homo sapiens,GSM5773506,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,H9_Total_rep1,Embryonic stem cells,hESC H9 (Wa-09),none,UV crosslinking,
SRR17454411,20579202,1255331322,61,460,SRX13625583,GSM5773507,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP353657,PRJNA794846,35961752,"",SRS11513511,SAMN24659863,simple,9606,Homo sapiens,GSM5773507,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,H9_MBL_rep1,Embryonic stem cells,hESC H9 (Wa-09),"Anti-EIF4G2 (MBL, RN003P)",UV crosslinking,
SRR17454410,1712442,104458962,61,37,SRX13625584,GSM5773508,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP353657,PRJNA794846,35961752,"",SRS11513512,SAMN24659862,simple,9606,Homo sapiens,GSM5773508,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,H9_CS_rep1,Embryonic stem cells,hESC H9 (Wa-09),"Anti-EIF4G2 (Cell Signaling, C-5169S)",UV crosslinking,
SRR17454409,18945630,1155683430,61,427,SRX13625585,GSM5773509,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP353657,PRJNA794846,35961752,"",SRS11513513,SAMN24659861,simple,9606,Homo sapiens,GSM5773509,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,H9_Total_rep2,Embryonic stem cells,hESC H9 (Wa-09),none,UV crosslinking,
SRR17454408,17817844,1086888484,61,402,SRX13625586,GSM5773510,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP353657,PRJNA794846,35961752,"",SRS11513514,SAMN24659860,simple,9606,Homo sapiens,GSM5773510,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,H9_MBL_rep2,Embryonic stem cells,hESC H9 (Wa-09),"Anti-EIF4G2 (MBL, RN003P)",UV crosslinking,
SRR17454407,18207769,1110673909,61,408,SRX13625587,GSM5773511,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP353657,PRJNA794846,35961752,"",SRS11513515,SAMN24659859,simple,9606,Homo sapiens,GSM5773511,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,H9_CS_rep2,Embryonic stem cells,hESC H9 (Wa-09),"Anti-EIF4G2 (Cell Signaling, C-5169S)",UV crosslinking,
SRR17454406,16537891,1008811351,61,370,SRX13625588,GSM5773512,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP353657,PRJNA794846,35961752,"",SRS11513516,SAMN24659858,simple,9606,Homo sapiens,GSM5773512,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,H9_Total_rep3,Embryonic stem cells,hESC H9 (Wa-09),none,UV crosslinking,
SRR17454405,19486170,1188656370,61,438,SRX13625589,GSM5773513,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP353657,PRJNA794846,35961752,"",SRS11513517,SAMN24659857,simple,9606,Homo sapiens,GSM5773513,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,H9_MBL_rep3,Embryonic stem cells,hESC H9 (Wa-09),"Anti-EIF4G2 (MBL, RN003P)",UV crosslinking,
SRR17454404,19019305,1160177605,61,423,SRX13625590,GSM5773514,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP353657,PRJNA794846,35961752,"",SRS11513518,SAMN24659856,simple,9606,Homo sapiens,GSM5773514,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,H9_CS_rep3,Embryonic stem cells,hESC H9 (Wa-09),"Anti-EIF4G2 (Cell Signaling, C-5169S)",UV crosslinking,
SRR17454403,114060289,6843617340,60,2096,SRX13625591,GSM5773515,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513519,SAMN24659855,simple,9606,Homo sapiens,GSM5773515,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shNT_RP_rep1,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shNT
