Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passage,treatment,GEO Accession
SRR13711197,32647404,1991491644,61,799,SRX10100109,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257247,SAMN17916070,simple,9606,Homo sapiens,GSM5082074,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,i14G1-10_Ribo-seq_2,HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-10 (20 microM),GSM5082074
SRR13711198,32295596,1970031356,61,807,SRX10100110,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257248,SAMN17916069,simple,9606,Homo sapiens,GSM5082075,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,i14G1-12_Ribo-seq_1,HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-12 (10 microM),GSM5082075
SRR13711199,46483039,2835465379,61,1143,SRX10100111,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257249,SAMN17916068,simple,9606,Homo sapiens,GSM5082076,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,i14G1-12_Ribo-seq_2,HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-12 (10 microM),GSM5082076
SRR13711200,53344790,3254032190,61,1311,SRX10100112,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257250,SAMN17916067,simple,9606,Homo sapiens,GSM5082077,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,Control_Ti-seq_1,HEK293T cells,Human embryonic kidney cells,passages 5-8,DMSO,GSM5082077
SRR13711201,59146097,3607911917,61,1452,SRX10100113,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257251,SAMN17916066,simple,9606,Homo sapiens,GSM5082078,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,Control_Ti-seq_2,HEK293T cells,Human embryonic kidney cells,passages 5-8,DMSO,GSM5082078
SRR13711202,54096984,3299916024,61,1328,SRX10100114,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257252,SAMN17916065,simple,9606,Homo sapiens,GSM5082079,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,i14G1-10_Ti-seq_1,HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-10 (20 microM),GSM5082079
SRR13711203,55220026,3368421586,61,1366,SRX10100115,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257253,SAMN17916064,simple,9606,Homo sapiens,GSM5082080,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,i14G1-10_Ti-seq_2,HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-10 (20 microM),GSM5082080
SRR13711204,51847792,3162715312,61,1208,SRX10100116,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257254,SAMN17916063,simple,9606,Homo sapiens,GSM5082081,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,i14G1-12_Ti-seq_1,HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-12 (10 microM),GSM5082081
SRR13711205,55435863,3381587643,61,1302,SRX10100117,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257255,SAMN17916062,simple,9606,Homo sapiens,GSM5082082,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,i14G1-12_Ti-seq_2,HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-12 (10 microM),GSM5082082
SRR13711194,35065912,2139020632,61,840,SRX10100118,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257256,SAMN17916585,simple,9606,Homo sapiens,GSM5082071,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,Control_Ribo-seq_1,HEK293T cells,Human embryonic kidney cells,passages 5-8,DMSO,GSM5082071
SRR13711195,51107342,3117547862,61,1267,SRX10100119,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257257,SAMN17916584,simple,9606,Homo sapiens,GSM5082072,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,Control_Ribo-seq_2,HEK293T cells,Human embryonic kidney cells,passages 5-8,DMSO,GSM5082072
SRR13711196,29643974,1808282414,61,728,SRX10100120,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP306425,PRJNA701894,35857873,"",SRS8257258,SAMN17916071,simple,9606,Homo sapiens,GSM5082073,GEO,SRA1196361,07,2022,Sehrawat,HEK293T cells,i14G1-10_Ribo-seq_1,HEK293T cells,Human embryonic kidney cells,passages 5-8,i14G1-10 (20 microM),GSM5082073
