Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,background strain,cell type,knockdown,cell line,GEO Accession
SRR8836119,67548409,3444968859,51,1337,SRX5624281,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569413,SAMN11316853,simple,10090,Mus musculus,GSM3702256,GEO,SRA868441,07,2019,Mao,Mouse Embryonic Fibroblasts,shScram_Ribo_seq,Mouse Embryonic Fibroblasts,C57BL/6J,Mouse Embryonic Fibroblasts,shScram,,GSM3702256
SRR8836120,31428224,1602839424,51,633,SRX5624282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569414,SAMN11316865,simple,10090,Mus musculus,GSM3702257,GEO,SRA868441,07,2019,Mao,Mouse Embryonic Fibroblasts,sh-ALKBH5_Ribo_seq,Mouse Embryonic Fibroblasts,C57BL/6J,Mouse Embryonic Fibroblasts,sh-ALKBH5,,GSM3702257
SRR8836121,35432333,1807048983,51,650,SRX5624283,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569415,SAMN11316864,simple,9606,Homo sapiens,GSM3702258,GEO,SRA868441,07,2019,Mao,Human embryonic kidney 293,sh-Scram_Ribo_seq_Rep1,Human embryonic kidney 293,,Human embryonic kidney,shScram,293T,GSM3702258
SRR8836122,37036315,1888852065,51,685,SRX5624284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569416,SAMN11316863,simple,9606,Homo sapiens,GSM3702259,GEO,SRA868441,07,2019,Mao,Human embryonic kidney 293,sh-YTHDC2_Ribo_seq_Rep1,Human embryonic kidney 293,,Human embryonic kidney,sh-YTHDC2,293T,GSM3702259
SRR8836123,38240604,1489957415,38,851,SRX5624285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569417,SAMN11316862,simple,9606,Homo sapiens,GSM3702260,GEO,SRA868441,07,2019,Mao,Human embryonic kidney 293,sh-Scram_Ribo_seq_Rep2,Human embryonic kidney 293,,Human embryonic kidney,shScram,293T,GSM3702260
SRR8836124,11433229,438209877,38,264,SRX5624286,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569418,SAMN11316861,simple,9606,Homo sapiens,GSM3702261,GEO,SRA868441,07,2019,Mao,Human embryonic kidney 293,sh-YTHDC2_Ribo_seq_Rep2,Human embryonic kidney 293,,Human embryonic kidney,sh-YTHDC2,293T,GSM3702261
SRR8836125,35813618,1826494518,51,639,SRX5624287,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569419,SAMN11316860,simple,9606,Homo sapiens,GSM3702262,GEO,SRA868441,07,2019,Mao,Human embryonic kidney 293,sh-Scram_Ribo_seq_Rep3,Human embryonic kidney 293,,Human embryonic kidney,shScram,293T,GSM3702262
SRR8836126,39369880,2007863880,51,702,SRX5624288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569420,SAMN11316859,simple,9606,Homo sapiens,GSM3702263,GEO,SRA868441,07,2019,Mao,Human embryonic kidney 293,sh-YTHDC2_Ribo_seq_Rep3,Human embryonic kidney 293,,Human embryonic kidney,sh-YTHDC2,293T,GSM3702263
SRR8836127,30685043,1564937193,51,563,SRX5624289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569421,SAMN11316858,simple,9606,Homo sapiens,GSM3702264,GEO,SRA868441,07,2019,Mao,Human embryonic kidney 293,sh-Scram_RNA_seq_rep1,Human embryonic kidney 293,,Human embryonic kidney,shScram,293T,GSM3702264
SRR8836128,41750840,2129292840,51,771,SRX5624290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP190145,PRJNA530508,31767846,"",SRS4569422,SAMN11316857,simple,9606,Homo sapiens,GSM3702265,GEO,SRA868441,07,2019,Mao,Human embryonic kidney 293,sh-YTHDC2_RNA_seq_rep1,Human embryonic kidney 293,,Human embryonic kidney,sh-YTHDC2,293T,GSM3702265
