Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment
SRR20096997,42737574,12821272200,150,4984,SRX16132327,GSM6330106,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794349,SAMN29659416,simple,9606,Homo sapiens,GSM6330106,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3-pcDNA,UM-UC-3_pcDNA_Rep1,UM-UC-3-pcDNA,UM-UC-3-pcDNA,epithelial cells,UM-UC-3-pcDNA,none
SRR20096996,42393030,12717909000,150,4967,SRX16132328,GSM6330107,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794350,SAMN29659415,simple,9606,Homo sapiens,GSM6330107,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3-pcDNA,UM-UC-3_pcDNA_Rep2,UM-UC-3-pcDNA,UM-UC-3-pcDNA,epithelial cells,UM-UC-3-pcDNA,none
SRR20096995,43569046,13070713800,150,5141,SRX16132329,GSM6330108,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794351,SAMN29659414,simple,9606,Homo sapiens,GSM6330108,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3-pcDNA,UM-UC-3_pcDNA_Rep3,UM-UC-3-pcDNA,UM-UC-3-pcDNA,epithelial cells,UM-UC-3-pcDNA,none
SRR20096994,42258087,12677426100,150,4950,SRX16132330,GSM6330109,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794352,SAMN29659413,simple,9606,Homo sapiens,GSM6330109,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3-AR-v19,UM-UC-3_AR-v19_Rep1,UM-UC-3-AR-v19,UM-UC-3-AR-v19,epithelial cells,UM-UC-3-AR-v19,none
SRR20096993,40630210,12189063000,150,4721,SRX16132331,GSM6330110,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794353,SAMN29659412,simple,9606,Homo sapiens,GSM6330110,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3-AR-v19,UM-UC-3_AR-v19_Rep2,UM-UC-3-AR-v19,UM-UC-3-AR-v19,epithelial cells,UM-UC-3-AR-v19,none
SRR20096992,40023153,12006945900,150,4775,SRX16132332,GSM6330111,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794354,SAMN29659411,simple,9606,Homo sapiens,GSM6330111,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3-AR-v19,UM-UC-3_AR-v19_Rep3,UM-UC-3-AR-v19,UM-UC-3-AR-v19,epithelial cells,UM-UC-3-AR-v19,none
SRR20096991,40686939,12206081700,150,4739,SRX16132333,GSM6330112,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794355,SAMN29659410,simple,9606,Homo sapiens,GSM6330112,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3,UM-UC-3_siControl_Rep1,UM-UC-3,UM-UC-3,epithelial cells,WT,siC
SRR20096990,46560779,13968233700,150,5425,SRX16132334,GSM6330113,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794356,SAMN29659409,simple,9606,Homo sapiens,GSM6330113,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3,UM-UC-3_siControl_Rep2,UM-UC-3,UM-UC-3,epithelial cells,WT,siC
SRR20096989,39627770,11888331000,150,4545,SRX16132335,GSM6330114,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794357,SAMN29659408,simple,9606,Homo sapiens,GSM6330114,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3,UM-UC-3_siControl_Rep3,UM-UC-3,UM-UC-3,epithelial cells,WT,siC
SRR20096988,40877597,12263279100,150,4745,SRX16132336,GSM6330115,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794358,SAMN29659407,simple,9606,Homo sapiens,GSM6330115,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3,UM-UC-3_siFL-AR_Rep1,UM-UC-3,UM-UC-3,epithelial cells,WT,si FL-AR
SRR20096987,38883531,11665059300,150,4467,SRX16132337,GSM6330116,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794359,SAMN29659406,simple,9606,Homo sapiens,GSM6330116,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3,UM-UC-3_siFL-AR_Rep2,UM-UC-3,UM-UC-3,epithelial cells,WT,si FL-AR
SRR20096986,44357956,13307386800,150,5185,SRX16132338,GSM6330117,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794360,SAMN29659405,simple,9606,Homo sapiens,GSM6330117,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3,UM-UC-3_siFL-AR_Rep3,UM-UC-3,UM-UC-3,epithelial cells,WT,si FL-AR
SRR20096985,42561403,12768420900,150,5029,SRX16132339,GSM6330118,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794361,SAMN29659404,simple,9606,Homo sapiens,GSM6330118,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3,UM-UC-3_siAR-v19_Rep1,UM-UC-3,UM-UC-3,epithelial cells,WT,si AR-v19
SRR20096984,42191347,12657404100,150,4878,SRX16132340,GSM6330119,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386053,PRJNA858017,36720985,"",SRS13794362,SAMN29659403,simple,9606,Homo sapiens,GSM6330119,"Biochemistry and Molecular Medicine, UC Davis School of Medicine",SRA1453711,01,2023,Katleba,UM-UC-3,UM-UC-3_siAR-v19_Rep2,UM-UC-3,UM-UC-3,epithelial cells,WT,si AR-v19
