Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,ecotype,age,dev_stage,geo_loc_name,tissue,sample_type,temp,treatment,Replica,BioSampleModel
SRR12266981,65686718,4729443696,72,1745,SRX8772025,ControlET0H_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042488,SAMN15581816,simple,3702,Arabidopsis thaliana,ControlET0H_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo  footprint samples of control seedlings at 0h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,0 hours control,1,Plant
SRR12266980,41173682,2964505104,72,1071,SRX8772026,ControlET0H_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042489,SAMN15581817,simple,3702,Arabidopsis thaliana,ControlET0H_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 0h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,0 hours control,2,Plant
SRR12266979,39296723,2829364056,72,1031,SRX8772027,ControlET15_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042490,SAMN15581826,simple,3702,Arabidopsis thaliana,ControlET15_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 15mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,15 minutes control,2,Plant
SRR12266978,37795524,2721277728,72,967,SRX8772028,ControlET1_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042491,SAMN15581827,simple,3702,Arabidopsis thaliana,ControlET1_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 1h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,1 hour control,1,Plant
SRR12266977,58499382,4211955504,72,1494,SRX8772029,ControlET1_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042492,SAMN15581828,simple,3702,Arabidopsis thaliana,ControlET1_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 1h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,1 hour control,2,Plant
SRR12266976,61620944,4436707968,72,1565,SRX8772030,ControlET1_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042493,SAMN15581829,simple,3702,Arabidopsis thaliana,ControlET1_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 1h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,1 hour control,2,Plant
SRR12266975,23576882,1697535504,72,629,SRX8772031,ControlET24_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042494,SAMN15581830,simple,3702,Arabidopsis thaliana,ControlET24_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 24h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,24 hours control,1,Plant
SRR12266974,13414791,965864952,72,358,SRX8772032,ControlET24_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042495,SAMN15581831,simple,3702,Arabidopsis thaliana,ControlET24_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 24h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,24 hours control,2,Plant
SRR12266973,45277539,3259982808,72,1175,SRX8772033,ControlET24_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042496,SAMN15581832,simple,3702,Arabidopsis thaliana,ControlET24_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 24h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,24 hours control,1,Plant
SRR12266972,51951994,3740543568,72,1357,SRX8772034,ControlET24_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042497,SAMN15581833,simple,3702,Arabidopsis thaliana,ControlET24_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 24h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,24 hours control,2,Plant
SRR12266971,40889491,2944043352,72,1059,SRX8772035,ControlET30_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042498,SAMN15581834,simple,3702,Arabidopsis thaliana,ControlET30_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 30mins-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,30 minutes control,1,Plant
SRR12266970,42712564,3075304608,72,1100,SRX8772036,ControlET30_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042499,SAMN15581835,simple,3702,Arabidopsis thaliana,ControlET30_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 30mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,30 minutes control,2,Plant
SRR12266969,53796467,3873345624,72,1401,SRX8772037,ControlETOH_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042500,SAMN15581818,simple,3702,Arabidopsis thaliana,ControlETOH_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 0h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,0 hours control,1,Plant
