Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,tissue lineage,treatment medium,treatment length,genotype,date experiment was sequenced,GEO Accession
SRR7073121,33762928,1688146400,50,956,SRX4003569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225372,SAMN08993040,simple,9606,Homo sapiens,GSM3118928,GEO,SRA696853,07,2018,Darnell,"HEK293T cells, ATCC CRL-3216",293t_rpC_arg_3h,"HEK293T cells, ATCC CRL-3216",HEK293T,embryonic kidney,DMEM + 10% dialyzed FBS −Arginine,3 hours,wild type,October 2017,GSM3118928
SRR7073122,28133484,1406674200,50,807,SRX4003570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225373,SAMN08993039,simple,9606,Homo sapiens,GSM3118929,GEO,SRA696853,07,2018,Darnell,"HEK293T cells, ATCC CRL-3216",293t_rpC_arg_6h,"HEK293T cells, ATCC CRL-3216",HEK293T,embryonic kidney,DMEM + 10% dialyzed FBS −Arginine,6 hours,wild type,October 2017,GSM3118929
SRR7073123,36114173,1805708650,50,1021,SRX4003571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225405,SAMN08993038,simple,9606,Homo sapiens,GSM3118930,GEO,SRA696853,07,2018,Darnell,"HEK293T cells, ATCC CRL-3216",293t_rpC_leu_3h,"HEK293T cells, ATCC CRL-3216",HEK293T,embryonic kidney,DMEM + 10% dialyzed FBS −Leucine,3 hours,wild type,October 2017,GSM3118930
SRR7073124,61476118,3073805900,50,1721,SRX4003572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225374,SAMN08993037,simple,9606,Homo sapiens,GSM3118931,GEO,SRA696853,07,2018,Darnell,"HEK293T cells, ATCC CRL-3216",293t_rpC_rich_3h,"HEK293T cells, ATCC CRL-3216",HEK293T,embryonic kidney,DMEM + 10% dialyzed FBS,3 hours,wild type,October 2017,GSM3118931
SRR7073125,15379800,768990000,50,388,SRX4003573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225375,SAMN08993036,simple,9606,Homo sapiens,GSM3118932,GEO,SRA696853,07,2018,Darnell,"HCT116 cells, NCI-60 panel",hct116_arg_3h,"HCT116 cells, NCI-60 panel",HCT116,colorectal carcinoma,DMEM + 10% dialyzed FBS −Arginine,3 hours,wild type,March 2017,GSM3118932
SRR7073126,17710723,885536150,50,450,SRX4003574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225376,SAMN08993035,simple,9606,Homo sapiens,GSM3118933,GEO,SRA696853,07,2018,Darnell,"HCT116 cells, NCI-60 panel",hct116_leu_3h,"HCT116 cells, NCI-60 panel",HCT116,colorectal carcinoma,DMEM + 10% dialyzed FBS −Leucine,3 hours,wild type,March 2017,GSM3118933
SRR7073127,16373758,818687900,50,409,SRX4003575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225377,SAMN08993014,simple,9606,Homo sapiens,GSM3118934,GEO,SRA696853,07,2018,Darnell,"HCT116 cells, NCI-60 panel",hct116_rich_3h,"HCT116 cells, NCI-60 panel",HCT116,colorectal carcinoma,DMEM + 10% dialyzed FBS,3 hours,wild type,March 2017,GSM3118934
SRR7073128,24052572,1226681172,51,770,SRX4003576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225378,SAMN08993047,simple,9606,Homo sapiens,GSM3118935,GEO,SRA696853,07,2018,Darnell,"HeLa cells, ATCC CCL-2",hela_arg_mono_3h,"HeLa cells, ATCC CCL-2",HeLa,cervical adenocarcinoma,DMEM + 10% dialyzed FBS −Arginine,3 hours,wild type,August 2013,GSM3118935
SRR7073129,18378503,937303653,51,582,SRX4003577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225379,SAMN08993046,simple,9606,Homo sapiens,GSM3118936,GEO,SRA696853,07,2018,Darnell,"HeLa cells, ATCC CCL-2",hela_leu_mono_3h,"HeLa cells, ATCC CCL-2",HeLa,cervical adenocarcinoma,DMEM + 10% dialyzed FBS −Leucine,3 hours,wild type,August 2013,GSM3118936
SRR7073130,18725731,955012281,51,589,SRX4003578,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP143452,PRJNA453915,30029003,"",SRS3225380,SAMN08993045,simple,9606,Homo sapiens,GSM3118937,GEO,SRA696853,07,2018,Darnell,"HeLa cells, ATCC CCL-2",hela_rich_mono_3h,"HeLa cells, ATCC CCL-2",HeLa,cervical adenocarcinoma,DMEM + 10% dialyzed FBS,3 hours,wild type,August 2013,GSM3118937
